Unnamed: 0,Albania,Advanced Economies,United Arab Emirates,Armenia,Austria,Azerbaijan,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,Fiji,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.","Lao, PDR",EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Montenegro,Mongolia,EMDE Middle East & N. Africa,Mozambique,Mauritius,Malaysia,Namibia,Nigeria,Nicaragua,Netherlands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Uruguay,United States,Viet Nam,World (WBG members),Kosovo,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,38.37612,74.94511,,17.73565,76.00644,,74.87185,39.7311,1.035685,,,0.047199,43.71954,,,74.0141,86.8072,53.03491,64.58034,23.70636,17.05106,65.81236,51.90011,79.49449,72.15601,20.99375,,58.82294,7.629612,5.694507,32.9912,39.4742,64.38652,33.43826,79.42737,,78.60193,72.74905,,,53.90175,33.82959,73.92492,82.81108,18.14341,60.09891,22.78244,18.27847,,67.50349,47.40255,54.57455,68.56266,17.33963,58.28052,100.8228,7.601713,31.56328,,,58.29302,,,,,,37.13233,73.52768,34.01416,,11.81658,19.89451,38.56386,64.09799,,,,,,40.36824,66.99363,,10.22022,,72.99255,72.04861,,29.21313,72.70976,51.66076,42.69627,32.93375,66.81981,28.07945,,,2.082947,2.21604,,82.16139,81.64738,53.85799,,26.21537,40.39964,39.81917,82.31651,59.9642,,43.23362,58.74369,0.688987,81.95835,,16.69663,68.15319,,64.07787,,40.63002,5.15983
1995.0,41.35086,76.71841,,46.69469,77.67713,,75.96884,43.82808,1.672168,,,0.370603,48.17587,37.53353,,75.59729,88.36758,57.39921,75.40247,28.65721,21.00387,67.54152,56.67752,80.9293,73.65475,23.6196,,67.85033,12.10912,7.000389,38.22092,46.34584,67.39353,43.04921,80.23235,,80.01488,74.70172,,,58.71646,36.67463,75.83786,90.29292,23.49225,61.27446,29.23103,19.99975,,69.24686,48.18715,60.05231,72.17407,20.77606,59.65902,100.7265,20.96717,32.05984,,,60.90494,,35.67494,,,,51.83098,75.01012,42.53813,,15.31749,26.86988,45.59493,74.39125,,,,,,42.77352,69.33266,,17.66802,,74.39841,73.83041,,32.81504,73.47075,57.3585,45.65637,42.18608,69.63923,31.87588,,,2.753165,6.565497,,86.36963,83.05584,59.26349,,31.07706,44.40723,45.21631,84.40068,63.43825,,45.52469,62.35269,1.304911,84.96421,,23.75553,70.06517,,67.25762,,44.15343,6.957325
1996.0,46.68908,78.45448,,54.82761,79.14654,,77.53481,44.87261,3.771209,,,0.562024,54.16434,43.44765,,76.79908,89.08361,61.62151,81.66036,34.61886,24.68338,69.56343,61.654,82.05055,75.23474,24.89227,,73.29455,15.74277,8.7145,40.9824,51.30165,69.78947,52.95834,80.72631,,81.59792,76.83212,40.28972,,63.52313,40.73131,77.6579,96.00363,29.08915,63.49314,36.08311,21.58891,,70.46722,49.27041,66.8194,74.99097,26.30298,63.57692,100.8666,29.17559,34.88878,,,63.90229,,41.77679,,,,64.571,75.89628,50.23602,,18.91765,36.09961,50.65876,76.19277,,,,,,45.60451,71.75553,,22.86057,,75.87029,74.75329,,36.21538,74.37107,63.94557,49.43157,50.55026,71.7745,34.96709,54.58912,,3.823368,9.667642,,86.59672,84.20111,65.06455,,34.87099,46.98035,49.69773,84.79879,67.13603,,46.99668,64.74116,2.352153,87.57139,,30.48719,72.12275,,69.93257,,47.40318,9.967492
1997.0,62.15363,80.12658,,62.5558,80.17311,,78.7954,47.20164,42.89678,,,0.922138,56.71228,46.45398,,78.04404,89.54551,65.39692,83.93813,41.01521,27.95072,72.07756,66.9743,83.60889,76.88696,26.95814,,75.52947,19.40639,11.38852,42.74194,54.32074,71.16311,58.56075,81.69594,,82.57946,78.52866,43.1572,11.82521,67.03743,44.49352,79.41823,101.6008,34.96512,65.79739,42.6785,22.93271,,71.46095,50.15718,72.8336,76.50776,28.80871,65.50154,102.5998,34.29693,38.83145,,,66.73528,,46.22302,,43.46274,,70.31888,76.9315,54.51162,,21.16448,43.53503,53.57974,77.23944,,,,,,48.70158,73.64185,,25.31126,,77.47056,76.67215,,40.33558,75.3091,69.40183,52.1879,58.16344,73.45391,37.40009,58.74832,,9.740318,11.09913,,86.38078,85.90456,67.98494,,38.00919,49.86604,53.84389,85.24218,70.91569,,48.72982,67.11911,4.369104,88.36597,49.81869,36.52747,73.80867,,71.99164,,51.47391,12.39363
1998.0,74.92869,81.3352,,67.84833,80.95813,,79.5443,51.11158,50.53335,,,1.59779,61.06232,47.93416,,78.80685,89.56238,68.73579,83.28765,48.66463,31.21028,73.68601,74.14043,84.39757,78.28638,28.26277,,76.84218,23.44399,15.508,44.55034,56.7583,72.46905,63.35988,82.83022,,83.11541,79.96316,44.67044,13.08427,70.23126,47.43989,80.71529,104.4732,39.74031,70.16088,48.70243,36.3594,,73.23047,51.00859,76.79249,78.03359,31.27148,67.52651,103.2738,36.7773,40.93045,,,71.74497,,49.80763,,42.99611,,73.89025,77.67134,57.00799,,22.80163,50.46422,55.90857,77.67877,,,,,,52.02214,77.54024,,27.30271,,78.99105,78.40826,,42.84462,75.78386,74.43584,57.07851,64.95456,75.34602,41.71368,62.02067,,15.48841,14.17331,,86.02291,85.6718,69.71615,,40.59633,53.1871,58.12023,85.13092,76.55947,,51.47198,69.21296,8.061013,89.85499,49.26639,40.47059,74.9505,,73.5559,,55.01666,15.44523
1999.0,75.21394,82.38829,,68.45781,81.43116,,80.44043,54.30694,51.8247,,,6.305503,62.37904,50.26241,41.99796,80.18854,90.28581,71.02692,82.12266,53.95743,34.34542,74.97004,75.74195,84.83466,80.21849,30.09542,,76.82031,31.66563,23.6044,45.84555,59.4607,74.14352,65.45883,83.84559,,83.56632,81.35291,53.23356,13.72888,72.08622,49.91253,81.81644,100.3179,44.39147,72.97319,53.57165,43.76164,,74.36367,52.65247,80.79074,79.30661,33.16151,67.92475,102.9062,39.84654,43.30044,,,72.32659,,53.90097,,45.88454,,74.43623,78.46915,58.39688,,31.76413,58.82373,58.64507,76.70678,,,,,,55.59813,79.64453,,29.10433,,80.69495,80.26316,,44.62201,76.75018,77.01975,60.60704,69.65536,77.11429,44.54631,65.45527,,22.59091,26.35061,,84.20012,85.69163,70.072,,42.99837,58.81335,61.68147,85.52103,76.74036,,53.20513,71.07534,13.28409,90.01539,52.10042,42.75903,76.59426,,75.09008,,57.87673,19.57644
2000.0,75.29544,84.0553,,67.95179,83.32327,51.22316,82.48719,55.59673,57.1652,,,16.87207,65.25238,53.80936,45.61672,82.35463,91.6953,73.75316,82.41526,58.93147,38.10936,78.1219,78.59211,86.06994,82.58397,32.43122,,77.41907,38.09076,46.27517,47.06745,62.1833,76.68791,68.08923,86.67216,,84.96953,82.31495,55.35926,19.28626,74.36172,52.89527,83.56147,96.58265,49.29845,76.32688,58.83101,45.38225,,78.53905,55.35013,81.70778,81.28386,35.82474,68.38847,102.1971,45.19986,47.61591,,,73.96177,49.3579,58.22273,,46.87994,,75.17214,80.94357,59.93101,,41.64156,64.40384,61.26659,81.79537,,,,,,57.96083,80.90208,,31.10945,,82.59877,82.73026,,46.56955,77.88456,79.91727,64.58601,76.66237,79.31672,48.54255,67.29241,,32.89836,31.82681,,83.33333,86.8472,71.66253,,45.73846,65.8685,67.19185,86.37799,78.03991,29.04135,55.10446,73.16919,20.57462,91.14097,53.86053,44.79858,79.17295,,77.05891,,60.96883,24.6797
2001.0,77.5978,85.76853,,70.10819,85.52738,51.65808,84.52303,56.67831,61.42386,,,27.13796,66.29792,57.49679,48.57288,84.44157,92.60355,76.38245,83.00048,63.62151,42.3999,79.66016,82.2747,87.83732,84.53413,35.3187,,78.58149,45.5315,63.59988,48.14272,65.33634,79.43969,72.00115,88.88584,,86.35679,83.60508,57.96114,27.23283,76.87544,56.74842,85.32183,95.06131,54.04651,79.21216,64.22538,50.58634,58.67718,82.32218,58.8874,82.62238,83.58613,38.24456,69.61275,101.4968,49.10778,50.37124,,,76.97133,53.17819,62.10925,,45.69169,,76.20393,83.10512,61.41975,,45.63404,68.50423,64.44878,86.05503,,,,,,61.08983,82.04225,59.00116,36.96957,,86.02858,85.21564,75.28986,48.237,78.14004,81.49774,68.07164,80.87417,82.78486,52.1039,68.11866,,44.22481,38.66247,57.74303,82.40065,87.7282,74.34459,,50.0035,70.5403,72.81992,88.48645,79.29377,40.23716,58.19088,74.61069,31.75979,91.14004,54.90516,46.75977,81.40296,50.6284,79.20818,,64.44464,29.9216
2002.0,81.63203,86.96094,,70.83599,87.06723,53.09281,85.91268,58.58388,65.02497,,,38.71233,66.91365,62.35871,52.47197,86.35579,93.19717,78.28128,82.38916,67.66124,46.28494,81.88666,83.82193,89.00608,86.5836,37.162,,78.83348,52.73214,71.50139,49.43793,68.19171,81.90458,74.56274,90.25796,,88.01867,84.85643,61.2078,29.77013,79.66566,61.36025,86.55282,92.14351,58.21318,80.53544,67.61963,56.60828,61.75162,86.13145,61.93676,87.31929,85.64464,40.96506,70.88879,100.5777,52.03426,51.37531,,,79.10078,58.82245,66.19694,,45.72975,,76.41134,84.83326,62.60893,,48.02943,71.95505,67.37331,86.97756,83.8861,,,,,65.02767,83.54292,63.24042,41.73423,,88.85496,86.28472,75.08152,50.01832,79.09681,81.65664,69.94852,82.40957,85.76468,57.53409,72.00649,,54.17799,44.76253,60.50983,82.4929,87.38478,75.73155,,54.76839,72.89015,78.26432,90.3906,79.81359,45.15661,60.58879,76.65194,46.01174,90.96388,54.73919,53.28632,82.70188,51.55684,80.92606,90.08028,70.34922,36.59368
