Unnamed: 0,Albania,Armenia,Belgium,Belarus,Brazil,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Ecuador,"Egypt, Arab Rep.",Spain,Fiji,France,United Kingdom,Georgia,Greece,Guatemala,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iraq,Iceland,Israel,Italy,Jordan,Japan,Kyrgyz Republic,"Korea, Rep.",Kuwait,"Lao, PDR",Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,North Macedonia,Malta,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,Senegal,Singapore,El Salvador,Slovakia,Slovenia,Sweden,Seychelles,Chad,Togo,Thailand,Trinidad and Tobago,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Uruguay,United States,Viet Nam,Kosovo,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,22.17195,77.82258,,,,,,,,,,,,,,,,,77.71175,,,,,,,,,,,,,58.75073,,,102.3749,,63.04639,,,,,,,,,20.73873,,,,,,,,,51.34716,,,,31.01918,,,,,79.26505,,,,,,,,75.97909,70.59206,,88.14759,,,,71.11614,,,
1995.0,,,,,37.98033,79.53256,,,,,,,,,,,,,,,,,79.56381,,,,,,,35.15982,,,,,,64.69824,,,103.051,,66.38717,,,,,,,,,27.91926,,,,,23.98342,,,,58.29995,,,,35.40767,,,,,81.00394,,,,,,,,79.15027,71.87268,,91.1974,,,,73.2441,,,
1996.0,,,83.16487,,44.82968,80.71983,,,,,,,81.95864,,86.12581,80.36419,,,,72.21055,,82.92024,81.45947,,63.7778,,,,,43.00863,,,73.25017,,52.07095,71.747,75.82237,,103.5497,,69.72277,,,,,75.45563,52.60635,,,37.19717,,75.52807,,,29.73753,,78.94688,80.64398,64.11183,,,72.94118,38.77698,,,,,82.46011,,,,84.77135,,,,82.04501,72.58723,,93.8405,,,,75.22438,,,
1997.0,,,84.02403,,48.07538,81.96685,,,,,,,83.56157,,87.2925,81.54826,,,,74.31408,,83.77587,83.06984,,68.10691,,,,,49.99746,,,73.9605,,52.65557,78.07375,77.66813,,105.1386,,72.15105,,,,,76.36122,61.37552,,,44.60451,,78.58071,,,31.97546,,79.86767,82.23564,69.76395,,63.64461,74.76827,41.23501,,,,,83.73055,,,,85.94258,,,,85.47935,73.51522,,95.1768,,,,77.01913,,,
1998.0,,,85.13964,,49.37448,83.05705,,,,,52.96066,,85.75354,90.41058,88.20622,82.6516,,,,76.29103,,84.53248,84.48969,,71.89175,,,,,56.60071,,,75.4158,,53.42846,82.30126,79.6144,,105.8908,,75.6025,,,,,77.30549,65.55962,,,51.80106,,81.93174,,,33.35609,,81.40848,84.02854,74.4671,,68.81557,76.08734,46.28297,,,,,84.06186,,,,86.86977,,,,91.39908,74.82368,,95.96786,,,,78.77981,,,
1999.0,,,86.28987,,51.41194,84.25179,,,,,56.24799,,86.89385,90.42854,88.70224,84.17653,,,,78.18179,,85.14186,85.3816,,73.76993,,,,,61.82141,,,77.17429,,54.32025,86.03634,81.1038,,105.764,,75.44305,,,,,77.94506,67.04149,,,60.68739,,83.98095,,,35.10401,,83.12049,85.64764,79.33476,,75.80085,78.18182,49.71223,,,,,84.47988,,,,87.30625,,,,92.93815,75.61247,,96.70439,,,,80.41553,,,
2000.0,,,87.26977,,54.29599,85.54361,,,,,60.57741,,89.35444,92.17841,88.97681,85.57589,36.79145,,,80.42268,,85.5853,85.65931,,75.0427,,,49.97188,,66.62354,,,80.88184,,56.17321,86.30683,82.76681,,105.3668,,76.81953,,,,79.72385,79.62324,67.53835,,,66.58774,,86.5074,,,37.81895,,84.15973,87.49543,82.24845,,82.75869,80.32086,52.63789,,,,,85.7358,,,70.2265,87.9098,,,,93.96598,76.5219,,97.73589,,,,82.3731,,,
2001.0,,,89.07701,,57.4601,87.22372,,,,,65.23464,,90.63433,94.4384,89.92114,87.33405,39.64751,,,82.47773,,86.72466,86.69055,,77.84784,64.02512,,54.27991,,72.74734,,,84.3122,,60.03765,87.19847,84.43896,,104.4456,,79.5143,,,,79.68953,81.88533,67.95676,,,70.89381,,88.52178,,,41.91126,,87.80122,89.86462,84.16547,,87.5304,83.26203,55.2518,,,,,87.06867,,,75.67416,89.67846,,,,95.6229,77.34781,,98.00046,,,,84.573,,,
2002.0,,,90.98065,48.49429,62.27695,89.59827,,,,,69.00621,,91.95899,94.96854,91.29758,89.49587,41.56536,,,85.57782,,88.59921,87.96539,,80.80704,68.36968,,58.8488,,76.45865,,,88.71275,,63.96155,92.38744,86.87865,,103.5497,,81.96664,,,,80.07062,84.13422,69.07252,,,74.07757,,90.87033,,,45.30148,,91.32519,91.23674,85.10968,,89.76592,87.19251,60.65947,,,50.76923,,87.02385,,82.18296,81.69164,91.1261,,,,96.04111,77.8118,,97.99331,,,,86.53435,,,76.96728
2003.0,,,92.43411,53.32295,70.42076,91.87575,,,,,73.45181,,94.46961,94.9602,92.13118,91.5052,51.42515,,,88.16347,,90.48983,89.12743,,83.29147,71.59056,,63.37863,,79.07915,,,92.72349,,65.48751,92.14181,89.23611,,103.2454,,84.62964,,,,80.66573,86.4614,69.59554,,,76.93336,,92.56843,,,54.27027,,93.33426,91.33736,85.95374,,90.33507,90.11586,68.71703,,,53.58974,,87.8421,,85.0178,86.45978,92.35943,,,,95.78239,78.11804,64.2137,97.31578,,,,87.79523,,,80.92282
