Unnamed: 0,Albania,Armenia,Belgium,Belarus,Brazil,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Ecuador,"Egypt, Arab Rep.",Spain,Fiji,France,United Kingdom,Georgia,Greece,Guatemala,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iraq,Iceland,Israel,Italy,Jordan,Japan,Kyrgyz Republic,"Korea, Rep.",Kuwait,"Lao, PDR",Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,North Macedonia,Malta,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,Senegal,Singapore,El Salvador,Slovakia,Slovenia,Sweden,Seychelles,Chad,Togo,Thailand,Trinidad and Tobago,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Uruguay,United States,Viet Nam,Kosovo,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,,,,,3.234626,78.49462,,,,,,,,,,,,,,,,,77.01319,,,,,,,,,,,,,54.38395,,,102.0284,,60.46902,,,,,,,,,19.89787,,,,,,,,,46.32332,,,,27.91367,,,,,77.8325,,,,,,,,74.58799,69.59911,,86.56012,,,,69.92721,,,
1994M01,,,,,4.538827,78.40502,,,,,,,,,,,,,,,,,76.7061,,,,,,,,,,,,,54.73868,,,101.3185,,61.13184,,,,,,,,,20.02876,,,,,,,,,47.05293,,,,28.48921,,,,,78.10079,,,,,,,,75.00266,70.04454,,86.5923,,,,70.10896,,,
1994M02,,,,,6.363436,77.59857,,,,,,,,,,,,,,,,,77.10419,,,,,,,,,,,,,55.01845,,,101.1156,,61.73013,,,,,,,,,20.19713,,,,,,,,,48.05436,,,,29.35252,,,,,78.63506,,,,,,,,75.10898,70.1559,,87.75072,,,,70.42701,,,
1994M03,,,,,9.043079,77.59857,,,,,,,,,,,,,,,,,77.37716,,,,,,,,,,,,,55.68761,,,101.5213,,62.39295,,,,,,,,,20.34552,,,,,,,,,48.86981,,,,29.78417,,,,,78.36793,,,,,,,,75.21531,70.04454,,86.95699,,,,70.79051,,,
1994M04,,,,,12.92075,77.59857,,,,,,,,,,,,,,,,,77.78662,,,,,,,,,,,,,56.94051,,,102.4341,,62.59238,,,,,,,,,20.47338,,,,,,,,,49.82833,,,,30.21583,,,,,78.80347,,,,,,,,75.32164,70.48998,,87.92234,,,,70.83595,,,
1994M05,,,,,18.85008,77.32975,,,,,,,,,,,,,,,,,77.94586,,,,,,,,,,,,,57.69802,,,102.8398,,62.85868,,,,,,,,,20.59072,,,,,,,,,50.71531,,,,30.64748,,,,,79.14842,,,,,,,,75.84264,70.48998,,88.59809,,,,70.88138,,,
1994M06,,,,,27.687,77.41935,,,,,,,,,,,,,,,,,77.91174,,,,,,,,,,,,,58.53541,,,102.8398,,63.32207,,,,,,,,,20.69859,,,,,,,,,51.1731,,,,30.93525,,,,,79.49221,,,,,,,,75.93833,70.48998,,88.69463,,,,70.97226,,,
1994M07,,,,,29.63617,77.59857,,,,,,,,,,,,,,,,,77.43403,,,,,,,,,,,,,59.19704,,,102.3327,,63.52268,,,,,,,,,20.77107,,,,,,,,,51.70243,,,,31.22302,,,,,79.63159,,,,,,,,76.04466,70.71269,,88.41575,,,,71.06313,,,
1994M08,,,,,30.16962,77.68817,,,,,,,,,,,,,,,,,77.80937,,,,,,,,,,,,,59.85727,,,102.1298,,63.72094,,,,,,,,,20.87538,,,,,,,,,52.40343,,,,31.65468,,,,,79.67688,,,,,,,,76.36364,70.71269,,87.86871,,,,71.33575,,,
