Unnamed: 0,Advanced Economies,Armenia,Belgium,Belarus,Brazil,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,France,United Kingdom,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Trinidad and Tobago,Turkey,"Taiwan, China",Uganda,United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,77.56696,,,,,77.47547,,,,,,,,,,,,,,,,,,77.31104,,,,,,,,,,,,58.50232,,,101.9529,,63.01924,,,,,,20.7519,,,,,,,,,,,51.27756,,,,31.01918,,,,,79.36334,,,,,,75.95033,70.50426,,87.8702,,70.93227,,,
1995.0,79.40157,,,,37.93702,79.17782,,,,,,,,,,,,,,,,,,79.14969,,,,,,,35.15364,,,,,64.42154,,,102.6347,,66.35982,,,,,,27.94546,,,,,,,23.86081,,,,58.22618,,,,35.38369,,,,,81.10451,,,,,,79.12105,71.78346,,90.9031,,73.07384,,,
1996.0,81.06456,,81.35483,,44.78102,80.34493,,,,,,,80.4292,,85.68153,79.68694,,,,,,71.04622,82.39007,81.03172,63.30756,,,,,,42.98753,,,72.51372,51.40845,71.43482,74.59547,,103.1397,,69.69425,,,,,74.54242,37.2282,,,72.52413,,,,29.58831,,77.84896,80.12541,64.02939,,,72.18695,38.77698,,,,,82.5629,,,,,84.10045,82.01367,72.50649,,93.53149,,75.03788,,,
1997.0,82.69475,,82.19347,,48.02343,81.60868,,,,,,,82.00403,,86.84041,80.83422,,,,,,73.11497,83.24113,82.63182,67.601,,,,,,49.97211,,,73.20816,51.96596,77.73597,76.43833,,104.7222,,72.12232,,,,,75.43521,44.63555,,,75.45287,,,,31.81495,,78.75876,81.68848,69.67424,,63.98129,73.96825,41.247,,,,,83.83494,,,,,85.25895,85.44567,73.44271,,94.86439,,76.82819,,,
1998.0,84.16872,,83.28206,,49.31976,82.67916,,,,,53.42975,,84.1621,89.9211,87.74942,81.94593,,,,,,75.05477,83.99202,84.04334,71.35661,,,,,,56.57134,,,74.63992,52.74844,81.94655,78.33513,,105.4714,,75.57118,,,,,76.36714,51.83238,,,78.66092,,,,33.1878,,80.28271,83.47874,74.37134,,68.72876,75.29101,46.25899,,,,,84.16569,,,,,86.17967,91.36199,74.74045,,95.65469,,78.5845,,,
1999.0,85.23964,,84.40636,,51.35498,83.86114,,,,,56.13522,,85.27516,89.82528,88.24646,83.45784,,,,,,76.91064,84.59752,84.93343,73.22776,,,,,,61.77872,,,76.39746,53.60915,85.67805,79.79144,,105.3451,,75.41062,,,,,76.99806,60.71604,,,80.63329,,,,34.92448,,81.97365,85.06907,79.23156,,75.69847,77.34568,49.71223,,,,,84.58424,,,,,86.61095,92.89864,75.5191,,96.3951,,80.21239,,,
2000.0,86.38957,,85.35944,,54.23804,85.15462,,,,,60.4534,,87.68652,91.22254,88.5232,84.86304,36.84186,,,,,79.1119,85.03723,85.21347,74.4921,,,,49.78525,,66.58807,,,80.0583,55.46753,85.95654,81.40956,,104.9579,,76.78643,,,,79.54693,78.6569,66.61349,,,83.04769,,,,37.61926,,83.00573,86.93202,82.1415,,82.63836,79.47972,52.64988,,,,,85.843,,,,69.44062,87.20973,93.92426,76.43678,,97.42418,,82.16888,,,
2001.0,87.86137,,87.1292,,57.4016,86.83467,,,,,65.10216,,88.93484,93.66601,89.46176,86.5973,39.70148,,,,,81.13119,86.17021,86.24029,77.28096,64.03594,,,54.07719,,72.69547,,,83.45336,59.26252,86.8461,83.06365,,104.0236,,79.47932,,,,79.51359,80.89354,70.92045,,,84.9821,,,,41.68769,,86.59202,89.2948,84.05367,,87.39805,82.38977,55.2518,,,,,87.17753,,,,74.82542,88.96352,95.58136,77.26177,,97.6888,,84.35955,,,
2002.0,89.45781,,88.99326,48.57916,62.21331,89.20607,,,,,68.86478,,90.23312,94.37539,90.82841,88.74066,41.62287,,,,,84.18221,88.0328,87.51037,80.21945,68.37668,,,58.6329,,76.40706,,,87.7915,63.12598,92.01061,85.46386,,103.1313,,81.93143,,,,79.88844,83.11619,74.10656,,,87.24826,,,,45.05271,,90.06059,90.62159,84.99905,,89.62937,86.26102,60.67146,,,50.76591,,87.13257,,,82.18981,80.7657,90.40144,95.99851,77.73452,,97.68167,,86.31604,,,76.54764
2003.0,90.70761,,90.41877,53.45668,70.34297,91.46595,,,,,73.2989,,92.69186,94.38345,91.65234,90.74173,51.50991,,63.2679,,,86.7315,89.91046,88.66636,82.68579,71.59874,,,63.14192,,79.03357,,,91.78669,64.61268,91.7668,87.77418,,102.8199,,84.59334,,,,80.48137,85.41806,76.9668,,,88.88347,,,,53.96413,,92.0326,90.71247,85.84441,,90.20065,89.15344,68.72902,,,53.67943,,87.95048,,,85.01096,85.47067,91.62762,95.73724,78.03115,63.88871,97.0072,,87.57756,,,80.47166
2004.0,91.99214,,91.71519,62.68866,75.91254,92.64793,,,,,77.4449,,92.92963,96.01923,93.31453,91.73782,75.74804,,68.41968,64.89455,,88.95131,92.16046,89.67338,85.38321,75.68605,,91.44504,67.96218,85.50989,82.82629,,,93.80144,65.97222,90.64731,89.79684,,102.2222,,86.61646,,,,81.00761,87.60438,79.91193,,,91.71909,,,,61.05559,,93.63502,90.90331,86.77549,,91.65131,91.43739,70.85132,,,59.41362,,89.70028,,,87.73624,88.15822,92.43899,95.9994,79.31961,70.11448,97.32617,,89.12614,,,78.52077
2005.0,93.31453,,92.94294,69.00003,81.56326,93.88938,96.48148,,98.35328,,81.02273,,93.51287,96.43636,94.31041,92.7339,79.43407,,73.44579,65.73624,,91.29655,93.44149,91.06227,88.11056,80.72053,,92.22074,73.31933,87.19216,84.37025,,,95.40466,67.14593,90.73738,91.7206,,101.8182,,88.62501,,70.86257,,81.95826,89.81119,82.74496,,93.30245,93.48537,,,92.22724,67.45901,,94.3687,92.11196,87.76968,,92.75237,93.19224,74.55635,,,65.34469,,90.82452,,,89.32484,89.16429,92.80867,97.54756,81.34965,76.32002,97.47675,70.82698,91.04108,,,79.68046
