Unnamed: 0,Advanced Economies,Armenia,Belgium,Belarus,Brazil,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,France,United Kingdom,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Trinidad and Tobago,Turkey,"Taiwan, China",Uganda,United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,76.73317,,,,,78.05531,,,,,,,,,,,,,,,,,,76.75945,,,,,,,,,,,,54.09503,,,101.4141,,60.90505,,,,,,20.10816,,,,,,,,,,,46.44949,,,,28.20144,,,,,78.03491,,,,,,74.60942,69.63293,,86.34663,,69.93514,,,
1994M01,76.81047,,,,,77.9661,,,,,,,,,,,,,,,,,,76.8726,,,,,,,,,,,,54.59058,,,101.4141,,61.27209,,,,,,20.11527,,,,,,,,,,,47.16388,,,,28.63309,,,,,78.16283,,,,,,74.99203,69.96663,,86.59254,,70.02579,,,
1994M02,76.91348,,,,,77.25245,,,,,,,,,,,,,,,,,,77.07626,,,,,,,,,,,,55.09356,,,101.5152,,61.8033,,,,,,20.21214,,,,,,,,,,,48.10687,,,,29.4964,,,,,78.37216,,,,,,75.16208,70.07786,,86.9026,,70.16176,,,
1994M03,77.08131,,,,,77.25245,,,,,,,,,,,,,,,,,,77.12152,,,,,,,,,,,,55.76832,,,101.6162,,61.9663,,,,,,20.27242,,,,,,,,,,,48.69267,,,,29.4964,,,,,78.55241,,,,,,75.33213,70.07786,,87.19128,,70.38838,,,
1994M04,77.1685,,,,,77.25245,,,,,,,,,,,,,,,,,,77.06495,,,,,,,,,,,,56.56125,,,101.7172,,62.202,,,,,,20.32954,,,,,,,,,,,49.56422,,,,29.92806,,,,,78.85128,,,,,,75.48092,70.1891,,87.4158,,70.47903,,,
1994M05,77.33691,,,,,77.16325,,,,,,,,,,,,,,,,,,77.13284,,,,,,,,,,,,57.31649,,,101.9192,,62.50689,,,,,,20.42443,,,,,,,,,,,50.42149,,,,30.5036,,,,,79.1234,,,,,,75.68286,70.30033,,87.73656,,70.66033,,,
1994M06,77.53045,,,,,77.25245,,,,,,,,,,,,,,,,,,77.16678,,,,,,,,,,,,58.27118,,,102.0202,,63.05686,,,,,,20.54841,,,,,,,,,,,50.92156,,,,30.79137,,,,,79.56647,,,,,,75.77851,70.41157,,87.92901,,70.88695,,,
1994M07,77.60903,,,,,77.25245,,,,,,,,,,,,,,,,,,77.20072,,,,,,,,,,,,59.04547,,,101.9192,,63.35823,,,,,,20.67555,,,,,,,,,,,51.59308,,,,31.22302,,,,,79.67578,,,,,,75.96982,70.63404,,88.29253,,71.02292,,,
1994M08,77.77913,,,,,77.34166,,,,,,,,,,,,,,,,,,77.43833,,,,,,,,,,,,59.6438,,,102.0202,,63.65374,,,,,,20.87508,,,,,,,,,,,52.36462,,,,31.65468,,,,,79.79672,,,,,,76.35243,70.63404,,88.35668,,71.20422,,,
