Unnamed: 0,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,"Lao, PDR",Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Eswatini,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Viet Nam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,39.28,6256.456,110.1237,3.676217,0.998,49.17,2.693913,1.483386,12.04461,0.026126,262.0954,35.74739,292.43,292.43,39.19758,0.032087,0.37787,1.0,,,2.0,4.442226,0.101435,1.999571,1.596435,31.45013,2.527493,291.7141,1.331522,1.463696,426.5109,5.980228,291.7141,292.43,2.488337,,803.3926,292.2304,85.51,150.9757,0.514827,29.9153,1.711478,177.721,2.7,6.709391,12.54519,24.08411,1944.087,3.37333,5.00441,140.5413,13.99027,4.928852,5.764087,1.536471,5.849435,1.0,292.43,0.67058,,0.066383,971.515,8.39987,292.433,292.43,245.5974,2.7,5.798487,130.16,7.723739,7.263113,6.307169,11.99979,100.1557,2103.174,31.45013,0.704638,1747.875,2002.3877,72.06957,2.957391,1689.652,31.06622,0.701391,109.933,5.646853,68.43348,8.090433,2305.0,1.48632,2.7,809.4109,0.299913,718.0,1713.401,46.4387,0.322554,2.7,49.16522,3.378522,3.913,35.74739,0.60462,9.396087,,380.5576,11.05782,3.10787,,292.43,0.384658,6.2301,,399.9005,5.200461,123.1891,18.42555,4.442487,2.573043,3.378522,292.43,21.89008,6.3144,1.916739,7.432217,45.99271,1.794763,0.386174,30.03913,1.0,2.16387,27.62261,,0.980258,2.143609,174.7535,1797.864,1.0,3.644913,0.114617,1.240652,142.9782,3.755522,0.216386,292.43,1.597348,3.201399,569.7987,8.73187,1689.64,7122.44,,0.494,,32.83196,132.4222,8.351783,3.378522,5.263435,11.225,292.43,292.43,25.41348,0.01378,1.99,1.484651,5.519357,1.03087,0.014087,26.745,480.4348,1146.967,0.167781,4.412574,1.0,,2.7,0.103633,10838.97,122.593,2.595625,,16.49539,3.378522,0.52125,
1994M01,38.86,4812.302,109.7667,3.676,0.999048,92.42,2.697143,1.435956,12.23462,0.026532,264.5246,36.20095,592.05,592.05,39.17333,0.035762,0.377143,1.0,,,2.0,4.475238,0.142,1.9997,1.603952,31.42524,2.570248,479.1312,1.317857,1.471,430.5671,8.617679,479.1312,592.05,0.001,,815.3495,443.7259,86.22,152.1882,0.521132,30.27114,1.742667,177.721,2.7,6.763333,12.50364,24.10173,2017.429,3.373762,5.00441,143.019,14.2541,4.915238,5.683333,1.52246,5.918381,1.0,592.05,0.66936,,0.070532,974.498,8.367286,592.045,592.05,249.9848,2.7,5.830048,130.65,7.725,7.345714,6.469492,11.97467,102.0571,2109.714,31.42524,0.697892,1748.434,2002.3877,73.1919,2.981095,1699.714,32.123,0.70519,111.3538,7.805944,67.92857,8.560865,2478.0,1.4376,2.7,810.5286,0.299429,717.0,1708.552,46.4387,0.325046,2.7,49.46429,3.405857,3.9006,36.20095,0.597542,9.498095,,384.094,11.05782,3.107429,,592.05,0.388111,6.20235,,399.4688,5.295833,121.0419,18.47514,4.459857,2.715238,3.405857,592.05,22.0,6.35419,1.950619,7.504905,45.99318,1.776434,0.385048,30.14476,1.0,2.167238,27.70381,,1.000437,2.200571,176.0152,1792.476,1.0,3.644,0.137214,1.416714,145.1514,3.753714,0.216386,592.05,1.603286,3.221049,566.8566,8.709381,1700.18,7258.587,,0.55,0.179672,33.36881,137.0218,8.115762,3.405857,5.253619,11.225,592.05,592.05,25.55714,0.0159,1.99,1.443501,5.507714,1.04,0.015429,26.46319,490.9524,1033.29,0.167781,4.47219,1.0,,2.7,0.106622,10821.57,119.9314,2.588226,,16.97881,3.405857,0.654118,
1994M02,38.86,9658.515,109.891,3.6761,0.99885,131.96,2.697,1.395138,12.19355,0.026938,266.4204,35.735,590.1,590.1,39.29988,0.0369,0.3772,1.0,,,2.0,4.504,0.19995,1.999821,1.5878,31.45475,2.580672,588.4055,1.34255,1.4563,428.59,8.6964,588.4055,590.1,0.001875,,817.677,442.2679,85.79,152.5258,0.519562,30.2237,1.7346,177.721,2.7,6.7628,12.82542,24.00525,2029.45,3.377475,5.00441,141.0315,14.20706,4.922525,5.57785,1.495684,5.8912,1.0,590.1,0.675799,,0.07717,974.8788,8.351475,590.1,590.1,250.088,2.7,5.855425,130.95,7.732,7.2951,6.333102,11.9878,103.1995,2121.75,31.45475,0.703179,1745.1,2002.3877,73.095,2.9761,1684.7,32.49818,0.70375,106.2575,11.1667,67.457,10.2514,2488.0,1.39649,2.7,808.545,0.29825,717.0,1703.375,46.4387,0.321752,2.7,49.113,3.44715,3.9038,35.735,0.583387,9.4926,,381.2903,11.09268,3.1215,,590.1,0.387178,6.1964,,399.5935,5.391725,120.0283,18.51073,5.20515,2.76335,3.44715,590.1,22.0,6.424625,1.94475,7.48345,46.00205,1.740225,0.385,30.223,1.0,2.17345,27.591,,0.990295,2.23675,175.15,1796.19,1.0,3.644,0.148325,1.5833,146.1326,3.7534,0.216386,590.1,1.58765,3.233151,568.818,8.743575,1686.49,7394.733,,0.598,0.179672,33.40625,137.8396,7.97445,3.44715,5.203875,11.225,590.1,590.1,25.39,0.01761,2.0,1.399335,5.52735,1.0705,0.01785,26.40905,505.95,923.9525,0.167781,4.546475,1.0,,2.7,0.109611,10850.6,117.7725,2.546637,,17.98025,3.44715,0.654118,
1994M03,38.81,21497.9,109.9004,3.676087,0.999174,198.86,2.697391,1.406189,11.90265,0.027344,264.8813,34.86348,576.46,576.46,39.64057,0.046935,0.377174,1.0,,,2.0,4.546087,0.281565,1.999946,1.581478,31.44822,2.574183,576.4331,1.36513,1.43013,430.4965,8.696435,576.4331,576.46,0.003565,,819.857,432.0449,84.6,152.7125,0.509892,29.62274,1.691087,177.721,2.7,6.623913,12.89948,24.98322,2078.0,3.368783,5.00441,138.7565,13.84404,4.924678,5.523609,1.494778,5.764783,1.0,576.46,0.669841,,0.078041,975.4404,8.693348,576.459,576.46,246.4904,2.7,5.821296,131.88,7.727913,7.456609,6.049403,11.98891,103.2239,2148.478,31.44822,0.696304,1743.083,2002.3877,72.18348,2.963478,1667.217,32.85391,0.703391,105.0609,15.27972,66.14522,11.73314,2479.0,1.40514,2.7,806.3,0.298739,717.0,1697.113,46.4387,0.318428,2.7,48.93435,3.453174,3.9286,34.86348,0.577321,9.456913,,374.8226,11.16985,3.305783,,576.46,0.381907,6.1324,,399.1854,5.459304,121.8296,18.31216,6.780152,2.716739,3.453174,576.46,22.0,6.482839,1.899783,7.337348,46.0,1.750622,0.385,30.491,1.0,2.172014,27.54609,,1.045883,2.222,173.9896,1796.32,1.0,3.644087,0.160496,1.717739,144.7374,3.753826,0.216386,576.46,1.581739,3.240472,566.8566,8.72637,1667.62,7530.88,,0.608,0.179672,33.16439,135.5383,7.900174,3.453174,5.14513,11.225,576.46,576.46,25.30565,0.0191,6.39,1.39942,5.517026,1.061696,0.021826,26.39752,504.5957,1001.262,0.167781,4.658957,1.0,,2.7,0.112601,10874.23,116.8913,2.563632,,17.35539,3.453174,0.697965,
1994M04,38.81,34954.88,110.0427,3.675714,0.999524,258.32,2.705714,1.396744,11.94119,0.090299,268.4014,34.9419,581.35,581.35,40.1,0.05519,0.377,1.0,,,2.0,4.583333,0.401095,2.0,1.563762,31.42605,2.628936,580.685,1.381667,1.43681,424.6238,8.693714,580.685,581.35,0.005984,,828.6571,435.7134,84.35,153.576,0.510908,29.4719,1.696952,177.721,2.7,6.655286,13.0385,31.20929,2158.476,3.378762,5.13452,138.051,13.88801,4.93267,5.483333,1.49278,5.812857,1.0,581.35,0.673927,,0.082044,975.7772,9.898063,581.354,581.35,248.8886,2.7,5.800319,134.18,7.726857,7.517063,6.110689,12.0046,103.3276,2156.905,31.42605,0.695948,1744.024,2002.3877,72.02524,2.967095,1626.238,32.84743,0.705952,103.4095,23.04659,62.54476,12.37715,2494.0,1.39571,2.7,805.3238,0.298381,717.0,1692.182,46.4387,0.317913,2.7,48.91738,3.569095,4.0,34.9419,0.57631,9.481143,,376.0061,11.27191,3.349762,,581.35,0.382787,6.1196,,399.4474,5.470762,121.8191,18.30499,6.484357,2.68919,3.569095,581.35,22.0,6.568724,1.905238,7.361905,46.95714,1.756972,0.385,30.53714,1.0,2.182889,27.40667,,1.045622,2.233048,173.58,1798.853,1.0,3.644381,0.167187,1.793667,145.7584,3.754095,0.216386,581.35,1.562238,3.2457,565.8758,8.715238,1626.5,7667.027,,0.612,0.179672,32.81571,136.8722,7.877524,3.569095,5.134762,11.225,581.35,581.35,25.26276,0.01993,10.0,1.400197,5.50244,1.058476,0.033,26.37567,505.4762,986.0905,0.167781,4.750929,1.0,,2.7,0.11559,10940.98,117.0071,2.57156,,41.5606,3.569095,0.695562,
1994M05,38.81,57774.43,110.1119,3.676136,0.9985,316.21,2.701364,1.379252,11.64736,0.153253,266.03,34.09636,568.1,568.1,40.11818,0.055455,0.377,1.0,,,2.0,4.602557,0.576636,2.0,1.547818,31.395,2.665269,567.512,1.381227,1.4125,424.6382,8.663955,567.512,568.1,0.007992,,841.3009,425.7762,83.15,154.1723,0.500651,29.09068,1.656409,177.721,2.7,6.483,13.03,36.5125,2168.0,3.379864,5.58492,136.5595,13.55873,4.955288,5.405364,1.47812,5.671409,1.0,568.1,0.664646,,0.088733,976.4078,8.928417,568.095,568.1,245.1595,2.7,5.745023,138.75,7.726227,7.958212,6.039024,12.00315,102.6864,2160.773,31.395,0.679052,1745.771,2002.3871,70.94977,2.991818,1594.455,32.84123,0.702364,103.8191,34.819,57.80636,12.352,2548.0,1.38114,2.7,803.5,0.298318,717.0,1686.705,46.4387,0.315497,2.7,49.11864,3.627227,4.0,34.09636,0.571255,9.343364,4.042581,367.3455,11.45911,3.318091,,568.1,0.376641,6.0731,,400.8418,5.471,122.8037,18.02977,6.914295,2.614727,3.627227,568.1,22.0,6.621773,1.858818,7.176818,49.35,1.712998,0.384909,30.61525,1.0,2.186909,26.94136,,1.051464,2.242227,171.2523,1827.549,1.0,3.644545,0.165712,1.875455,143.6897,3.753273,0.216386,568.1,1.546273,3.256127,566.8566,8.72,1594.64,7803.174,,0.618,0.179672,32.44186,134.6491,7.715136,3.627227,5.100636,11.225,568.1,568.1,25.21505,0.02089,10.0,1.385799,5.708371,1.041273,0.0335,26.75123,499.4318,937.2357,0.178824,4.836136,1.0,,2.7,0.135519,10952.32,116.3733,2.540805,,58.68486,3.627227,0.673205,
1994M06,38.81,89365.49,101.2487,3.675545,0.998182,316.22,2.698182,1.363642,11.44318,0.216208,259.1991,33.515,556.8,556.8,40.14227,0.054455,0.377,1.0,,,2.0,4.639261,0.828727,2.002273,1.535682,31.38586,2.711442,556.9135,1.383455,1.373273,420.5591,8.656864,556.9135,556.8,0.009318,,831.5568,417.309,82.15,154.9807,0.493413,28.76182,1.628,177.721,2.7,6.381318,13.0987,37.66036,2178.136,3.379227,5.66499,134.3155,13.35728,5.353455,5.410727,1.464203,5.561091,1.0,556.8,0.654946,,0.092091,976.9236,9.723636,556.798,556.8,244.8614,2.7,5.737932,141.41,7.731182,8.028409,5.950551,12.00523,102.8782,2166.5,31.38586,0.667618,1749.87,2002.3873,70.18227,3.025682,1592.182,33.07541,0.697182,102.4468,40.76872,55.89909,11.48107,2526.0,1.36369,2.7,803.4636,0.297818,717.0,1682.375,46.4387,0.312763,2.7,49.33409,3.630773,4.0,33.515,0.56721,9.227,4.04278,552.3686,11.67151,3.366864,,556.8,0.371875,6.0317,,400.0495,5.474568,122.4265,17.8612,7.105636,2.594364,3.630773,556.8,22.0,6.67625,1.8245,7.068909,49.25927,1.689873,0.385,30.64364,1.0,2.193,26.83,,1.056277,2.248955,168.8323,1907.955,1.0,3.643864,0.167068,1.956818,142.317,3.752545,0.216386,556.8,1.531,3.249407,571.7602,8.714318,1591.86,7939.32,,0.644,0.179672,32.2735,132.9896,7.788909,3.630773,5.059227,11.225,556.8,556.8,25.15936,0.02175,10.0,1.355501,5.765455,1.034727,0.031727,27.0035,522.4614,940.3807,0.221135,4.946955,1.0,,2.7,0.152459,10956.93,114.4108,2.519646,,58.13559,3.630773,0.673273,
1994M07,38.81,95128.13,99.86833,3.675857,0.998476,309.99,2.697143,1.359295,11.05214,0.247722,251.7326,32.38,538.71,538.71,40.15571,0.053905,0.377048,1.0,,,2.0,4.64619,0.933143,2.00881,1.533,31.37752,2.761036,537.9395,1.382238,1.326762,420.5005,8.639619,537.9395,538.71,0.010833,0.01,818.98,403.7482,78.63,156.1638,0.479157,28.07662,1.570952,177.721,2.7,6.170143,12.98404,38.3495,2194.405,3.37869,5.59493,129.8243,12.84495,5.484857,5.195667,1.448843,5.38219,1.0,538.71,0.647106,,0.094429,975.3917,9.663333,538.705,538.71,237.2352,2.7,5.671905,141.65,7.726857,8.478333,5.698264,11.98398,101.1167,2166.905,31.37752,0.654496,1762.656,2002.3871,68.45286,2.99019,1565.905,32.94395,0.690286,98.68476,43.63122,55.77429,11.03549,2511.0,1.36068,2.7,802.2095,0.297143,717.0,1678.155,46.4387,0.30639,2.7,49.03381,3.671571,4.0,32.38,0.555077,8.982381,4.032641,581.3531,11.80215,3.402,,538.71,0.363948,5.5873,,400.1945,5.656024,123.0029,17.54643,7.312667,2.595714,3.671571,538.71,22.0,6.745,1.762143,6.869524,49.2769,1.662099,0.385,30.59524,1.0,2.200381,26.29381,,1.061283,2.243857,161.431,1906.833,1.0,3.643,0.169024,2.025476,140.3127,3.752048,0.216386,538.71,1.514524,3.264182,569.7987,8.72,1564.48,8075.467,,0.743,0.189653,31.63819,128.2257,7.768286,3.671571,4.952024,11.225,538.71,538.71,24.98548,0.02261,10.0,1.354166,5.592262,0.993,0.031,26.62281,518.8333,950.756,0.259455,5.047381,1.0,29.90095,2.7,0.178367,10969.12,113.5364,2.525378,,57.30727,3.671571,0.676262,
1994M08,38.81,94956.39,100.0391,3.673957,0.999348,318.47,2.696087,1.350917,11.00904,0.279236,250.3774,32.22217,536.74,536.74,40.09565,0.055022,0.377087,1.0,,,2.0,4.65413,0.897522,2.008913,1.510435,31.37252,2.73687,535.8039,1.378087,1.318435,419.3639,8.588304,535.8039,536.74,0.008,0.01,814.8674,402.2752,78.35,156.667,0.47877,27.98883,1.564391,177.721,2.7,6.182217,12.79684,38.4945,2236.957,3.37613,5.57491,129.8917,12.79382,5.474978,5.132043,1.44823,5.359391,1.0,536.74,0.648196,,0.09537,977.0563,9.521217,536.739,536.74,236.6902,2.7,5.642391,141.263,7.727174,8.638696,5.667979,12.13352,107.5696,2163.739,31.37252,0.65563,1743.348,2002.3873,68.51826,2.994696,1581.283,32.93022,0.694957,99.9313,44.63749,55.40652,10.35787,2552.0,1.35054,2.7,800.3174,0.298348,717.0,1673.304,46.4387,0.306952,2.7,49.21304,3.599609,4.0,32.22217,0.556089,8.934565,4.117827,683.6739,11.86608,3.381348,,536.74,0.36344,5.9095,,399.0493,6.157087,122.1815,17.64304,7.353,2.562696,3.599609,536.74,22.0,6.808913,1.756217,6.859739,49.13304,1.662945,0.385,30.59196,1.0,2.248196,26.20391,,1.059619,2.277348,159.7411,1911.054,1.0,3.640826,0.168348,2.121739,140.0595,3.751,0.360212,536.74,1.504391,3.253548,576.6638,8.72,1582.56,8211.614,,0.807,0.189653,31.40552,127.7033,7.73113,3.599609,4.960391,11.225,536.74,536.74,25.01826,0.02358,10.0,1.35045,5.732543,0.987043,0.031652,26.39287,511.913,895.0435,0.269434,5.181826,1.0,36.26286,2.7,0.169399,10987.11,113.5,2.532427,,47.36522,3.599609,0.668717,
