Unnamed: 0,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",Mexico,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,Singapore,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,Viet Nam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,,0.472657,0.608114,0.549801,,,,,0.713992,,0.642733,0.292426,,,0.78558,0.987993,,,0.784865,,,,1.10511,1.403927,0.558818,,0.720823,0.330147,0.668455,0.29529,0.61756,,,1.183951,,0.690081,0.667623,59.91044,1.178113,,0.812483,
1994Q2,,0.480658,0.621194,0.557105,,,,,0.742663,,0.687192,0.317266,,,0.77973,0.993636,,,0.831345,,,,1.127151,1.432933,0.604496,,0.770375,0.357362,0.675371,0.307971,0.63005,,,1.209224,,0.712938,0.673066,32.30319,1.183756,,0.815244,
1994Q3,,0.494547,0.543556,0.586985,,,,,0.785309,,0.704152,0.346044,,,0.783844,1.007158,,,0.887205,,,,1.149648,1.452674,0.640158,,0.808701,0.378053,0.705042,0.333031,0.67785,,,1.246178,,0.742846,0.683199,32.94752,1.203185,,0.819387,
1994Q4,,0.516485,0.619946,0.628154,,,,,0.796092,,0.737437,0.361618,,,0.805793,1.01054,,,0.869557,,,,1.158596,1.475922,0.642835,,0.839816,0.383632,0.743887,0.350845,0.653306,,,1.272109,,0.786167,0.688695,29.70338,1.221145,,0.831814,
1995Q1,,0.529739,0.6056,0.643426,,,,,0.821409,,0.771738,0.393585,1.060787,,0.812984,1.017511,,,0.903211,1.047908,,,1.185128,1.508245,0.65121,,0.831941,0.407711,0.761263,0.370169,0.693263,,,1.297343,,0.828503,0.71116,28.03326,1.258876,,0.848937,
1995Q2,,0.536309,0.617328,0.65571,,,,,0.859242,,0.828179,0.416279,1.131852,,0.787518,1.031666,,,0.974606,1.049105,,,1.258541,1.549832,0.658867,,0.878703,0.429925,0.751677,0.373188,0.73556,,,1.319982,,0.868671,0.744087,28.47545,1.287706,,0.86385,
1995Q3,,0.539627,0.543968,0.668327,,,,,0.854311,,0.817046,0.416249,1.132942,,0.782751,1.043584,,,0.949345,1.024106,,,1.215125,1.525967,0.633451,,0.877401,0.408355,0.760678,0.387681,0.737186,,,1.291218,,0.895683,0.751557,26.48575,1.284001,,0.865783,
1995Q4,,0.530688,0.60272,0.671315,,,,,0.854826,,0.832021,0.441582,1.149348,,0.780765,1.035062,,,0.952794,1.044916,,,1.174753,1.511316,0.640187,,0.889418,0.413059,0.760516,0.380737,0.707057,,,1.289901,,0.934919,0.755028,22.64655,1.280494,,0.865507,
1996Q1,,0.538972,0.597393,0.659695,,,,,0.839158,,0.795644,0.455473,1.131528,,0.76675,1.032117,,,0.955529,1.000133,0.673354,,1.140827,1.484941,0.650606,,0.838509,0.420919,0.771458,0.380435,0.772413,,,1.27487,,0.905612,0.819714,18.15371,1.272712,,0.867716,
1996Q2,,0.546929,0.592579,0.666003,,,,,0.819564,,0.79301,0.442955,1.101915,,0.757916,1.029191,,,0.918633,0.971149,0.645977,,1.10531,1.411963,0.654319,,0.841167,0.425357,0.760873,0.385266,0.767995,,,1.258212,,0.893126,0.824229,14.98789,1.249773,,0.873239,
