Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,0.848523,,0.479596,0.54591,0.572048,,,,,0.759644,,,,,0.688737,0.328365,,,0.936239,0.869691,0.998543,,,0.857458,,,,1.120742,1.423217,0.737677,,0.598456,,,,0.775275,0.317728,0.654859,,,,1.216553,0.679867,,0.733967,0.676878,38.05241,1.184609,,0.816307,0.795408,0.447941
1995.0,0.927248,,0.521517,0.541395,0.650229,,,,,0.847703,,,,,0.807586,0.415487,1.11163,,0.939137,0.951878,1.030626,,,0.960788,1.04596,,,1.193432,1.504621,0.811834,,0.63196,,,,0.859253,0.373134,0.729338,,,,1.287675,0.720819,,0.882927,0.739027,26.02721,1.264988,,0.857387,0.867321,0.474156
1996.0,0.896012,,0.528008,0.533244,0.650556,,,,,0.82576,,,,,0.794083,0.450316,1.089113,,0.899289,0.920178,1.028243,,,0.930064,0.98681,0.657051,,1.079274,1.382582,0.80054,,0.642171,,,,0.842715,0.371303,0.791233,,,,1.236821,0.745868,,0.893838,0.821586,14.28094,1.239934,,0.862022,0.841447,0.470946
1997.0,0.827195,,0.5095,0.519864,0.646631,0.615552,,,,0.734431,,,,,0.718601,0.424523,0.938435,,0.869488,0.851493,1.010275,,,0.823876,0.906229,0.580995,0.569935,0.988169,1.256004,0.788294,,0.635908,,,,0.758793,0.379083,0.814377,,,,1.109836,0.728425,,0.789265,0.821084,7.346031,1.212253,,0.850345,0.786403,0.461594
1998.0,0.793478,,0.452886,0.527567,0.602797,0.565194,,,0.597211,0.722407,,,,,0.707649,0.426736,0.912905,,0.846317,0.817399,0.972347,,0.446985,0.831902,0.79996,0.57656,0.537728,0.9279,1.104798,0.731575,,0.598287,,54.41708,,0.728629,0.344003,0.876576,,,,0.973909,0.724618,,0.754438,0.716041,4.005044,1.098447,,0.822303,0.75849,0.429468
1999.0,0.771119,,0.43154,0.518516,0.525761,0.569968,,,0.550966,0.688083,,,,,0.671334,0.406946,0.835247,0.648868,0.819147,0.795311,0.943706,,0.509347,0.800348,0.739947,0.553414,0.517711,0.95963,1.057851,0.702408,,0.620771,,57.40328,,0.681563,0.321171,0.922288,0.538806,,,0.966909,0.712918,,0.719356,0.69331,2.350728,1.039861,,0.81197,0.738022,0.416887
2000.0,0.754404,,0.448914,0.527165,0.54318,0.621597,,,0.524711,0.614285,,,,,0.616772,0.380037,0.773888,0.607369,0.783724,0.778118,0.938092,,0.59849,0.706134,0.750507,0.504319,0.494487,0.963171,1.100052,0.728698,,0.667961,,67.51126,,0.627009,0.334307,0.895032,0.511908,,,1.004481,0.710349,,0.676919,0.674693,1.486397,1.064512,,0.825061,0.733806,0.423374
2001.0,0.724169,,0.440415,0.519731,0.523961,0.606367,,,0.534771,0.601902,,,,,0.601844,0.489174,0.716872,0.604833,0.738816,0.747969,0.916366,,0.55337,0.626989,0.710108,0.499961,0.501165,0.880384,0.927348,0.707123,,0.653345,,54.66338,,0.610663,0.322564,0.826889,0.520777,,,0.910474,0.660638,,0.610137,0.624321,0.78665,0.987301,0.47258,0.818148,0.70548,0.404743
2002.0,0.734882,,0.449346,0.559358,0.499755,0.584219,,,0.581984,0.633752,,,,,0.628772,0.513018,0.714986,0.636652,0.75124,0.759426,0.891451,,0.580826,0.633337,0.632263,0.533724,0.504336,0.844901,0.890367,0.698003,29.21937,0.668912,,47.19263,,0.624329,0.340631,0.817203,0.545214,,,0.844474,0.698508,,0.638252,0.629235,0.58635,0.951447,0.478415,0.810049,0.720406,0.411094
