Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,0.812082,,0.452439,0.588596,0.530913,,,,,0.715864,,,,,0.642694,,,,0.932775,0.834339,0.982986,,,0.829377,,,,1.068116,1.381798,0.673415,,0.539689,,,,0.727321,,0.62154,,,,1.175718,0.784451,,0.658033,0.660105,70.83847,1.173061,,0.80432,0.761614,0.423455
1994M01,0.799111,,0.458077,0.520339,0.536801,,,,,0.706418,,,,,0.632676,0.278786,,,0.955813,0.818855,0.988005,,,0.794006,,,,1.055285,1.371964,0.686408,,0.561054,,,,0.726038,0.289636,0.618283,,,,1.166282,0.600741,,0.678111,0.656959,67.18827,1.171808,,0.808307,0.745141,0.407702
1994M02,0.812501,,0.461122,0.531229,0.556428,,,,,0.711101,,,,,0.648621,0.284886,,,0.928103,0.832159,0.988405,,,0.792759,,,,1.089181,1.373076,0.676797,,0.546192,,,,0.743744,0.289671,0.621029,,,,1.176144,0.588759,,0.689169,0.668242,59.26601,1.162261,,0.807744,0.757506,0.402818
1994M03,0.821672,,0.463836,0.56771,0.54367,,,,,0.7261,,,,,0.652703,0.297825,,,0.933644,0.84154,0.991516,,,0.816128,,,,1.096514,1.383917,0.680753,,0.557929,,,,0.749944,0.290618,0.625441,,,,1.177991,0.583095,,0.697584,0.671627,49.23533,1.162431,,0.809456,0.762845,0.402116
1994M04,0.825085,,0.46467,0.565093,0.545633,,,,,0.726779,,,,,0.66212,0.304789,,,0.937188,0.845124,0.992946,,,0.80275,,,,1.114024,1.397624,0.681106,,0.566036,,,,0.751225,0.294878,0.631268,,,,1.196775,0.707851,,0.698619,0.671745,33.04096,1.167954,,0.808452,0.775061,0.465687
1994M05,0.829534,,0.467882,0.512707,0.552502,,,,,0.743279,,,,,0.682884,0.31735,,,0.913542,0.849643,0.994322,,,0.82778,,,,1.119896,1.416195,0.706173,,0.584867,,,,0.7706,0.299121,0.639197,,,,1.202941,0.714833,,0.717287,0.668528,32.27991,1.170488,,0.809528,0.779785,0.458224
1994M06,0.845699,,0.471923,0.578592,0.556428,,,,,0.75429,,,,,0.69217,0.326475,,,0.930536,0.865754,0.994978,,,0.871988,,,,1.130562,1.420795,0.722279,,0.611299,,,,0.772877,0.31554,0.64898,,,,1.207401,0.69665,,0.719325,0.668071,33.95626,1.175236,,0.81109,0.796749,0.457777
1994M07,0.858892,,0.476555,0.506244,0.564279,,,,,0.781365,,,,,0.71014,0.343623,,,0.949995,0.880002,0.999419,,,0.894168,,,,1.15206,1.43569,0.752701,,0.637983,,,,0.788298,0.323462,0.666983,,,,1.229337,0.698883,,0.728122,0.677279,34.45469,1.190991,,0.813667,0.808745,0.45269
1994M08,0.851668,,0.482433,0.515216,0.574092,,,,,0.78165,,,,,0.679437,0.345095,,,0.921062,0.872764,1.000673,,,0.895388,,,,1.134134,1.447833,0.755804,,0.621517,,,,0.790749,0.331628,0.675695,,,,1.237296,0.724361,,0.738542,0.673577,32.14931,1.190857,,0.81635,0.800058,0.46174
