Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,0.811189,,0.461011,0.539759,0.545633,,,,,0.71454,,,,,0.644667,0.287166,,,0.939187,0.830947,0.989309,,,0.800964,,,,1.080327,1.376319,0.681256,,0.555058,,,,0.739908,0.289975,0.621585,,,,1.173472,0.590003,,0.688288,0.66561,58.5632,1.1655,,0.808502,0.755255,0.404212
1994Q2,0.833554,,0.468158,0.552131,0.551521,,,,,0.741449,,,,,0.679058,0.316205,,,0.927089,0.853621,0.994082,,,0.834173,,,,1.121494,1.411538,0.702958,,0.587401,,,,0.7649,0.30318,0.639815,,,,1.202372,0.706027,,0.711743,0.669448,33.09238,1.171226,,0.80969,0.783977,0.460563
1994Q3,0.860088,,0.482769,0.52485,0.575728,,,,,0.78497,,,,,0.702814,0.347891,,,0.929255,0.881561,1.001545,,,0.899679,,,,1.141977,1.445028,0.759728,,0.625767,,,,0.789329,0.330556,0.67472,,,,1.236372,0.728946,,0.743652,0.680378,31.94534,1.192295,,0.816585,0.80908,0.460658
1994Q4,0.886549,,0.506445,0.566898,0.615309,,,,,0.797615,,,,,0.72841,0.3622,,,0.949426,0.9098,1.009237,,,0.895018,,,,1.139169,1.459984,0.805237,,0.625598,,,,0.806961,0.347202,0.683316,,,,1.253996,0.708187,,0.792185,0.692076,28.60872,1.209414,,0.83045,0.830753,0.466332
1995Q1,0.906436,,0.516995,0.538944,0.637553,,,,,0.821984,,,,,0.77275,0.386863,1.054123,,0.970665,0.929995,1.019218,,,0.919442,1.058737,,,1.159014,1.468897,0.821621,,0.643951,,,,0.852366,0.363811,0.69862,,,,1.284576,0.649939,,0.826984,0.707956,27.58044,1.244908,,0.844902,0.849184,0.430741
1995Q2,0.941613,,0.522055,0.547929,0.648348,,,,,0.858165,,,,,0.818612,0.414902,1.121819,,0.937364,0.966026,1.032061,,,0.979664,1.052266,,,1.252411,1.527163,0.826554,,0.639419,,,,0.873367,0.367458,0.743014,,,,1.312655,0.780128,,0.867515,0.739535,28.97635,1.274824,,0.857942,0.882926,0.505911
1995Q3,0.928456,,0.527201,0.526578,0.656853,,,,,0.853893,,,,,0.815913,0.417932,1.127771,,0.929215,0.953068,1.038362,,,0.962425,1.032231,,,1.2065,1.529067,0.795291,,0.621517,,,,0.858609,0.384376,0.735202,,,,1.281429,0.712112,,0.895934,0.748734,25.73143,1.273017,,0.862718,0.867042,0.470371
1995Q4,0.932393,,0.519817,0.552129,0.658162,,,,,0.856772,,,,,0.82307,0.44225,1.142809,,0.919303,0.958307,1.032865,,,0.98162,1.040605,,,1.155805,1.493357,0.805667,,0.622952,,,,0.85267,0.37689,0.740518,,,,1.272042,0.757402,,0.941276,0.759883,21.82061,1.267204,,0.863988,0.870134,0.4896
1996Q1,0.912841,,0.526272,0.532424,0.651946,,,,,0.839746,,,,,0.794871,0.448294,1.12477,,0.914383,0.936709,1.033805,,,0.9703,1.010491,0.672391,,1.117698,1.437487,0.792946,,0.641305,,,,0.857834,0.374234,0.7784,,,,1.261281,0.784514,,0.904324,0.8149,17.91266,1.25798,,0.863739,0.854371,0.502508
1996Q2,0.893514,,0.532357,0.525436,0.657834,,,,,0.81853,,,,,0.785051,0.441407,1.092215,,0.902656,0.917956,1.029588,,,0.925483,0.974076,0.649349,,1.096844,1.391487,0.802906,,0.63576,,,,0.837603,0.379548,0.775669,,,,1.251958,0.749324,,0.892575,0.818917,15.13983,1.238396,,0.867406,0.839754,0.466566
1996Q3,0.894589,,0.529221,0.529014,0.650638,,,,,0.827436,,,,,0.794464,0.453503,1.083469,,0.887215,0.918843,1.025128,,,0.92133,0.998244,0.657924,,1.06713,1.37234,0.797317,,0.64001,,,,0.847832,0.358702,0.797301,,,,1.223581,0.723966,,0.893299,0.824107,13.07177,1.234714,,0.862644,0.839239,0.456334
1996Q4,0.883668,,0.52418,0.546103,0.641806,,,,,0.817327,,,,,0.801948,0.458062,1.055997,,0.892902,0.907769,1.02445,,,0.903141,0.96443,0.648539,,1.035425,1.329015,0.808437,,0.651607,,,,0.827593,0.372727,0.81356,,,,1.210463,0.730402,,0.885154,0.828421,10.99949,1.228646,,0.854296,0.832863,0.458374
1997Q1,0.848083,,0.516145,0.529091,0.639189,0.635197,,,,0.761282,,,,,0.753714,0.430994,0.971207,,0.882288,0.872553,1.017405,,,0.846903,0.948756,0.602598,0.582828,0.993858,1.267809,0.800787,,0.651551,,,,0.788808,0.377255,0.856033,,,,1.165913,0.733537,,0.806969,0.828902,9.391467,1.222118,,0.853438,0.804713,0.462212
1997Q2,0.833688,,0.517187,0.516631,0.656853,0.613627,,,,0.73935,,,,,0.725481,0.42848,0.936988,,0.867602,0.857818,1.010857,,,0.82887,0.927726,0.583308,0.61495,0.997224,1.302268,0.788914,,0.632495,,42.52487,,0.765333,0.381286,0.843923,,,,1.138683,0.743182,,0.785574,0.836611,8.047708,1.21796,,0.851235,0.790672,0.475535
1997Q3,0.811087,,0.509662,0.511957,0.649329,0.608934,,,,0.707565,,,,,0.684909,0.41523,0.904143,,0.857453,0.834811,1.007062,,,0.793041,0.883527,0.560329,0.570961,0.992387,1.301599,0.782789,,0.631566,,39.07361,,0.734701,0.389869,0.803686,,,,1.08949,0.720624,,0.774477,0.823701,6.46626,1.212115,,0.851061,0.773031,0.455395
1997Q4,0.817483,,0.495006,0.521777,0.641151,0.604448,,,,0.729526,,,,,0.710299,0.42339,0.941403,,0.870608,0.842358,1.005774,,,0.826688,0.864908,0.577747,0.511001,0.969205,1.152339,0.781853,,0.628019,,41.82667,,0.746329,0.367922,0.753864,,,,1.045257,0.716584,,0.790038,0.795123,5.478689,1.196817,,0.845645,0.778566,0.453232
1998Q1,0.793514,,0.478066,0.512761,0.634282,0.589021,,,0.572197,0.702266,,,,,0.690243,0.410639,0.902041,,0.852741,0.817021,0.99212,,0.445495,0.811424,0.868029,0.561085,0.558701,0.942769,1.139876,0.750048,,0.610989,,48.53207,,0.724802,0.353267,0.796549,,,,0.999834,0.741755,,0.755168,0.730883,4.63513,1.160263,,0.83314,0.759237,0.450642
1998Q2,0.78896,,0.45621,0.526583,0.609748,0.57481,,,0.58434,0.709834,,,,,0.699616,0.417831,0.901899,,0.846897,0.812689,0.978581,,0.435046,0.818239,0.820079,0.566305,0.532804,0.911872,1.110037,0.737872,,0.6017,,56.41893,,0.724825,0.355532,0.867883,,,,0.984556,0.749234,,0.765556,0.710233,4.137883,1.115233,,0.825264,0.755284,0.441247
1998Q3,0.785538,,0.440978,0.523734,0.590121,0.55171,,,0.606358,0.71979,,,,,0.706709,0.43085,0.912628,,0.840464,0.808967,0.963057,,0.425248,0.841436,0.799413,0.574244,0.535017,0.897677,1.093325,0.725188,,0.595113,,55.36073,,0.724621,0.343123,0.911,,,,0.946486,0.676243,,0.747834,0.715066,3.769546,1.067048,,0.817176,0.751348,0.401728
1998Q4,0.805876,,0.436292,0.547191,0.577036,0.545234,,,0.62595,0.757739,,,,,0.734028,0.447623,0.935052,,0.845166,0.83089,0.955631,,0.482151,0.856509,0.712319,0.604604,0.52439,0.959283,1.075953,0.714185,,0.585346,,57.07426,,0.740266,0.324089,0.930873,,,,0.96476,0.737528,,0.749191,0.707982,3.477618,1.051243,,0.813632,0.768095,0.424256
1999Q1,0.777947,,0.42586,0.515887,0.54825,0.548225,,,0.570729,0.719689,,,,,0.699216,0.417656,0.872365,0.67996,0.823862,0.802142,0.947972,,0.467987,0.84482,0.746832,0.574331,0.511499,0.946536,1.020354,0.689675,,0.58802,,56.51349,,0.703065,0.318813,0.852788,,,,0.939455,0.692996,,0.734373,0.714478,2.929269,1.040819,,0.810363,0.74127,0.407009
1999Q2,0.759359,,0.425087,0.494836,0.519791,0.564914,,,0.533203,0.678816,,,,,0.662531,0.394912,0.822739,0.641528,0.810723,0.782642,0.942286,,0.484366,0.787609,0.744262,0.5463,0.523172,0.924296,1.049178,0.680902,,0.608343,,54.92455,,0.676875,0.311007,0.887263,0.52934,,,0.948676,0.719204,,0.701565,0.704329,2.440505,1.027895,,0.80877,0.725857,0.415497
1999Q3,0.767774,,0.43077,0.524418,0.512267,0.577113,,,0.547138,0.677316,,,,,0.659706,0.398544,0.82308,0.636842,0.814069,0.791473,0.941041,,0.514233,0.792052,0.734303,0.546618,0.518051,0.956564,1.06662,0.701043,,0.631031,,62.43594,,0.677791,0.317258,0.9637,0.53527,,,0.976594,0.709331,,0.716914,0.678179,2.148713,1.037057,,0.811653,0.735972,0.409052
