Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,4168180.0,,96492.75,241062.0,74977.02,,,,,565158.8,,,,,105533.8,3599.769,,,171618.8,4266680.0,151269.8,,,40419.05,,,,349696.9,66469.21,241394.2,,99511.03,,,,275652.7,95834.33,17460.53,13737.22,20792.45,,,,78650.32,,,83428.21,66913.87,521.1743,96010.16,,625109.1,5357901.0
1995.0,4501611.0,,99382.24,296618.4,70384.23,,,,,617771.4,,,,,112758.7,3816.057,35968.43,,194676.1,4607989.0,168254.0,,,47180.19,16908.65,,,366274.0,82038.43,266959.4,,123256.7,,,,245271.6,101217.5,17983.1,14518.59,24255.19,,,,91012.51,,,90333.58,76536.7,837.4794,95370.93,,679022.4,5804072.0
1996.0,4797220.0,,111499.0,298832.2,72327.33,,,,,635143.6,,,,,127656.8,3817.308,37062.82,,221199.5,4910585.0,175562.1,,,53245.8,19106.33,385153.2,,376532.5,92821.33,300202.5,,146101.7,,,,255064.1,112726.5,18740.28,15651.52,26297.25,,,,100194.2,,,95021.43,68001.05,1677.784,89478.34,,722192.0,6184205.0
1997.0,5229340.0,,120556.3,301105.5,80638.82,355403.9,,,,698529.1,,,,,143921.1,5028.441,43416.12,,231476.2,5352916.0,185904.6,,,66007.5,22525.86,414934.0,3263.713,420624.7,107672.8,344169.3,,169961.0,,,,273092.1,119265.1,19818.7,17763.53,31535.04,,,,111750.8,,,105087.6,71105.17,3721.353,97731.34,,807117.2,6761954.0
1998.0,5479787.0,,120819.3,309769.2,83602.36,389997.4,,,43698.06,752602.6,,,,,153230.7,5893.395,46992.36,,233057.3,5609281.0,178813.6,,108373.5,78542.26,26024.87,427057.2,3385.114,413174.9,118277.9,375102.3,,192252.7,,3385.114,,295196.7,119548.8,19807.35,16628.05,34038.51,,,,111915.0,,,112676.9,75959.67,6731.052,133301.2,,826166.3,7080508.0
1999.0,5719097.0,,126807.3,314615.7,90175.89,434904.1,,,48097.36,790515.2,,,,,162793.6,5836.826,49794.37,496188.6,251469.4,5855697.0,184182.8,,94115.37,90689.56,30928.36,426722.1,3554.333,431984.0,133778.2,414673.4,,214450.1,,3554.333,,315309.3,122510.7,20513.94,18712.38,38398.65,,,,117329.4,,,118303.6,84439.91,11575.68,118580.3,,853250.0,7400663.0
2000.0,6276809.0,,138731.5,325717.0,99637.55,463946.9,,,55794.18,897364.0,,,,,182692.1,8329.52,58582.38,456615.7,277953.8,6434775.0,215112.5,,102336.7,111201.3,37928.25,477303.0,3865.579,491473.1,154728.6,465874.3,,243065.2,,3865.579,,364631.7,126491.2,21607.2,20559.1,43339.89,62618.08,,,135820.2,,,129858.4,103340.4,18581.61,120056.7,,943662.1,8161443.0
2001.0,6278292.0,,140234.2,334769.0,109212.1,446580.7,,,62857.62,949590.2,,,,,190385.3,6836.143,59396.62,443672.2,256485.1,6444010.0,207189.2,,100367.6,134843.3,36396.37,490107.0,4596.808,452084.0,160049.3,472579.5,,237753.0,,4596.808,,379012.3,134336.2,22124.38,21525.05,39599.13,70135.73,,,132475.6,,,128089.5,104201.8,43179.56,142359.5,,887192.0,8202570.0
2002.0,6420330.0,,141167.7,352571.1,118455.1,449913.9,,,66624.49,971649.1,,,,,195422.9,6698.115,62066.44,467127.1,223902.2,6594018.0,224512.2,,96917.23,142965.6,40805.73,477645.2,5540.463,486964.9,179767.7,482373.5,1000.611,235349.9,,5540.463,,377177.2,136356.2,23501.68,22322.0,43885.58,75826.93,,,148105.9,1000.611,,130385.3,107974.1,61248.26,179880.1,1000.611,852055.2,8412401.0
2003.0,6709412.0,,138962.9,350293.6,136948.4,437891.4,53249.0,,72134.41,993625.5,,,,,208973.1,6868.455,63658.17,550480.1,214533.1,6903044.0,254203.8,,94068.61,128713.2,40774.49,471579.1,6152.361,531651.0,209215.6,495150.5,1066.835,229567.2,,6152.361,,385923.7,137390.2,24096.63,24085.8,45193.67,90087.25,,,191228.5,1066.835,,136730.9,119755.8,70007.82,196698.2,1066.835,876980.9,8808389.0
2004.0,7297864.0,56141.1,145759.8,353544.5,158756.4,451131.2,60972.98,,87401.58,1087597.0,,,,,219908.4,8022.61,66754.01,632642.3,214815.6,7524528.0,291090.8,60171.4,98150.41,131137.1,46311.67,495059.5,6902.256,602880.2,247862.2,536869.3,1265.354,234236.8,,6902.256,,418942.8,136372.3,25758.63,26762.04,48850.1,106002.8,,,228406.4,1265.354,,150194.3,136047.0,76686.77,212523.7,1265.354,949328.6,9601667.0
2005.0,7640763.0,62646.38,150830.3,356430.3,176553.0,446580.7,62360.11,1035820.0,96413.46,1158646.0,,,,,220371.4,10149.57,70852.03,649588.0,220705.7,7889815.0,320139.4,67279.04,101700.3,130966.9,46467.68,499212.4,6688.262,634824.6,266653.6,578577.7,1463.447,246402.2,,6688.262,195466.1,444602.8,135529.2,25562.7,30616.12,51235.05,119771.0,,,254620.5,1463.447,,155783.5,145788.2,79319.49,229578.6,1463.447,1017399.0,10246913.0
2006.0,8271690.0,65499.84,153890.8,359044.2,181997.6,447180.8,64716.22,1250570.0,111785.7,1293205.0,,1796397.0,,3007235.0,233228.4,12151.21,81398.22,708765.5,237939.2,8552397.0,346741.1,78957.03,118229.8,128213.0,47884.11,525494.9,7275.996,706018.9,309324.7,610232.0,1480.842,267661.8,2724797.0,7275.996,210857.9,487744.7,132606.2,26333.98,30356.58,54502.15,137284.4,280335.0,,282926.3,1480.842,,166614.5,162237.4,95272.89,247698.2,1480.842,1118483.0,11280028.0
2007.0,8721613.0,69438.33,157565.8,366235.4,191492.8,445249.8,68983.74,1420107.0,127678.8,1381476.0,105854.2,1982214.0,640632.0,3269299.0,242846.5,11768.5,86452.19,781850.7,259333.7,9032874.0,370214.3,91949.73,122932.3,132129.6,53919.64,549530.0,6882.494,771467.8,350944.5,637702.9,1867.529,276857.3,2956171.0,6882.494,204768.1,518234.6,134351.0,27544.7,30930.65,52932.58,150327.8,302790.2,,306882.4,1867.529,,168295.1,181474.3,95564.22,178517.8,1867.529,1193213.0,11990913.0
2008.0,8960334.0,68633.69,166063.0,368188.7,184930.8,411562.3,67795.86,1402543.0,133623.5,1383864.0,106316.9,1958820.0,666951.3,3259489.0,247858.2,11909.4,85878.53,836369.8,276045.8,9289463.0,374716.9,97756.45,124078.1,121063.3,46993.05,526844.4,6302.024,790164.7,383611.2,625433.1,1982.519,270604.8,2928377.0,6302.024,194045.6,532888.2,134946.6,27198.5,33467.91,48302.02,163577.1,303986.2,,320031.0,1982.519,,171373.2,189852.0,101631.5,241747.1,1982.519,1261018.0,12219824.0
2009.0,7845229.0,61361.5,159379.8,381872.5,166807.7,360207.0,65718.63,1241514.0,115439.5,1155486.0,95136.71,1743271.0,648748.2,2975924.0,223399.1,9477.336,64631.08,690665.2,223006.2,8145846.0,323946.6,85147.09,129777.3,133824.9,45434.15,424321.7,5406.962,592027.2,386442.4,575771.0,2726.781,248693.6,2672580.0,5406.962,168985.1,484288.7,130560.7,28699.13,33189.6,40790.01,149752.1,301499.5,,286126.8,2726.781,56.26358,139237.5,162205.0,112349.5,306356.2,2726.781,1085206.0,10821153.0
2010.0,8829220.0,69772.94,178062.0,375063.9,181711.3,388130.8,66000.97,1568673.0,137882.8,1328633.0,100929.2,2145601.0,716169.1,3510852.0,258037.8,12022.29,71920.61,732061.9,262725.4,9165062.0,379924.8,99608.08,150736.5,128524.2,50488.77,462570.0,6887.815,755611.0,463018.1,639787.8,2406.937,288514.6,3172603.0,6887.815,186175.4,551481.6,127152.9,29485.0,33787.94,51243.28,170232.8,328709.8,,345935.7,2406.937,67.60101,160521.9,188772.8,117618.4,276511.0,2406.937,1252458.0,12340072.0
2011.0,9336570.0,71303.39,179091.3,367709.2,186816.8,411095.3,68935.53,1638641.0,153939.2,1434518.0,108741.4,2243166.0,755426.2,3666105.0,283960.6,15053.54,74457.22,799938.6,300027.5,9700951.0,387604.3,109481.3,168135.9,136852.0,51925.58,481330.2,6976.356,751309.6,526999.5,658025.2,2510.792,295231.8,3299213.0,6976.356,182615.2,572580.4,122791.9,30017.93,35737.61,48076.49,185964.5,320250.2,,367757.6,2510.792,73.60593,171145.8,205697.4,139730.2,263052.1,2510.792,1344597.0,13002675.0
