Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,342357.1,,8057.89,18088.44,6305.046,,,,,47440.78,,,,,8056.889,,,,13968.92,350447.4,12443.2,,,3213.995,,,,29672.68,5791.384,20707.71,,8553.853,,,,23720.96,7623.518,1359.235,,1677.595,,,,5637.016,,,6491.016,5083.264,26.12146,8405.086,,51371.56,440246.5
1994M01,315722.8,,7020.302,19320.32,5060.528,,,,,40722.64,,,,,7694.371,256.2675,,,13595.39,323183.7,10758.28,,,2964.057,,,,23881.14,4347.398,17187.03,,7272.093,,,,27354.16,7243.218,1109.042,1068.829,1550.876,,,,5461.485,,,6260.164,4628.607,18.81018,7796.205,,46260.74,403689.0
1994M02,320486.1,,7325.92,18333.97,4954.018,,,,,42631.39,,,,,8515.541,271.2113,,,13607.66,328059.6,9539.159,,,3187.836,,,,27396.26,4421.682,18277.23,,8238.145,,,,25337.27,7831.497,1435.068,1059.369,1485.279,,,,4520.812,,,6366.356,4413.345,19.80267,9099.292,,45725.1,410219.8
1994M03,362127.6,,8471.589,17826.53,6137.591,,,,,50051.63,,,,,9817.897,314.6436,,,13646.94,370685.1,11392.37,,,3516.303,,,,32743.3,5386.919,20996.89,,9139.116,,,,26313.0,8205.267,1698.943,1095.458,1684.584,,,,6102.578,,,7514.995,6101.401,26.59479,6438.114,,56710.07,465757.0
1994M04,338734.7,,7834.529,19060.16,6575.748,,,,,45226.63,,,,,8774.631,278.8256,,,14096.22,346739.4,11934.84,,,3278.084,,,,29563.42,5376.2,20126.85,,7966.708,,,,22875.49,7229.637,1461.861,1151.3,1542.724,,,,6519.426,,,6704.669,5006.485,38.6544,7628.012,,51115.47,435123.0
1994M05,341683.0,,8864.795,20205.12,6924.014,,,,,48000.31,,,,,8163.434,309.9084,,,14379.35,349757.4,12202.27,,,3202.052,,,,24876.87,5469.98,21298.43,,8434.536,,,,22226.73,7698.466,1860.561,1248.736,1721.691,,,,6586.469,,,6804.828,5377.856,38.88249,8544.072,,51729.81,440947.9
1994M06,357291.3,,7984.887,18948.91,6648.156,,,,,50601.94,,,,,9954.213,329.0662,,,14408.49,365734.5,12982.52,,,3409.24,,,,30253.86,5782.668,20801.89,,8506.922,,,,22549.06,8219.575,1507.575,1065.035,1744.511,,,,7109.498,,,7307.937,5722.972,40.96932,8036.186,,53210.93,459323.0
1994M07,335113.2,,8147.741,20813.82,6538.244,,,,,44380.23,,,,,8461.189,221.1339,,,13860.63,343032.4,13461.11,,,3019.546,,,,30299.34,5256.436,19351.05,,7309.335,,,,20699.51,7742.465,1369.285,1241.251,1806.478,,,,6652.079,,,5873.734,5481.642,44.98387,8078.479,,47959.72,431078.3
1994M08,334577.7,,7971.699,21043.44,7311.442,,,,,45542.61,,,,,6356.167,298.263,,,13933.79,342484.2,13936.37,,,2823.78,,,,27259.87,5230.329,21538.09,,8290.071,,,,19607.08,6750.954,1359.439,1192.649,1724.098,,,,7108.488,,,5612.989,5657.824,45.32973,7870.539,,53197.09,433333.7
1994M09,359796.2,,7889.478,20868.65,6895.459,,,,,47813.79,,,,,8706.095,333.7104,,,14285.87,368298.6,13841.35,,,3620.903,,,,31467.03,5697.988,20614.95,,7945.428,,,,24294.6,8342.233,1385.649,1233.461,1821.611,,,,7311.701,,,7231.869,6233.008,56.77048,8040.73,,53305.92,463009.8
1994M10,362135.0,,8347.393,20626.16,6132.541,,,,,48643.19,,,,,9453.31,308.3052,,,15169.72,370692.7,14441.71,,,3623.968,,,,29993.81,6030.318,20441.11,,8704.08,,,,21391.86,9152.274,1284.532,1102.179,1993.0,,,,7065.457,,,7645.84,5921.265,54.54561,8120.551,,54858.09,465321.1
1994M11,361803.0,,8419.009,21140.07,5982.032,,,,,49681.84,,,,,9055.636,352.5287,,,15402.94,370352.8,13722.49,,,3882.834,,,,29426.01,6253.185,21205.34,,9499.157,,,,21120.9,8450.263,1465.055,1053.512,1726.026,,,,7106.379,,,7488.895,6253.498,55.92358,8035.91,,54908.52,465992.5
1994M12,378709.8,,8215.406,22874.86,5817.248,,,,,51862.59,,,,,10581.31,325.9047,,,15231.82,387659.2,13057.28,,,3890.447,,,,32536.01,7216.106,19555.34,,8205.436,,,,21883.06,8968.483,1523.524,1225.44,1991.571,,,,7105.946,,,8615.931,6115.967,79.9072,8322.066,,56127.65,484106.1
