Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,998336.5,,22817.81,55480.81,16152.14,,,,,133405.7,,,,,26027.81,842.1224,,,40849.99,1021928.0,31689.81,,,9668.195,,,,84020.69,14156.0,56461.15,,24649.35,,,,79004.43,23279.98,4243.053,3223.656,4720.739,,,,16084.87,,,20141.51,15143.35,65.20764,23333.61,,148695.9,1279666.0
1994Q2,1037709.0,,24684.21,58214.2,20147.92,,,,,143828.9,,,,,26892.28,917.8002,,,42884.06,1062231.0,37119.63,,,9889.376,,,,84694.15,16628.85,62227.17,,24908.17,,,,67651.28,23147.68,4829.996,3465.071,5008.926,,,,20215.39,,,20817.43,16107.31,118.5062,24208.27,,156056.2,1335394.0
1994Q3,1029487.0,,24008.92,62725.9,20745.14,,,,,137736.6,,,,,23523.45,853.1074,,,42080.3,1053815.0,41238.84,,,9464.229,,,,89026.24,16184.75,61504.09,,23544.83,,,,64601.19,22835.65,4114.373,3667.361,5352.187,,,,21072.27,,,18718.59,17372.47,147.0841,23989.75,,154462.7,1327422.0
1994Q4,1102648.0,,24981.81,64641.1,17931.82,,,,,150187.6,,,,,29090.26,986.7386,,,45804.48,1128705.0,41221.49,,,11397.25,,,,91955.84,19499.61,61201.79,,26408.67,,,,64395.82,26571.02,4273.112,3381.131,5710.597,,,,21277.78,,,23750.67,18290.73,190.3764,24478.53,,165894.3,1415420.0
1995Q1,1104292.0,,22963.47,73459.18,15114.34,,,,,152299.7,,,,,28433.46,926.3484,8603.772,,46659.32,1130388.0,36930.21,,,11238.4,4097.391,,,90096.74,17349.53,60837.13,,28846.39,,,,69263.84,25526.88,4529.659,3476.542,5359.287,,,,20296.53,,,23174.63,18499.36,169.6706,22565.51,,166284.4,1416640.0
1995Q2,1124631.0,,23879.97,75048.3,17862.39,,,,,157228.4,,,,,28357.51,947.8055,9566.043,,47742.63,1151207.0,41669.36,,,11414.31,4142.376,,,92778.71,20678.99,65805.83,,29822.58,,,,58477.45,24031.17,4868.037,3626.617,5844.059,,,,22141.56,,,22892.58,18769.55,182.7506,23795.31,,170227.7,1447990.0
1995Q3,1099812.0,,25646.21,73946.8,19043.55,,,,,147162.3,,,,,25332.53,936.8225,8269.723,,47475.23,1125802.0,45819.41,,,11477.82,4168.562,,,89718.47,21020.22,69909.58,,31710.73,,,,57987.78,24908.44,4225.208,3757.166,6483.11,,,,24036.85,,,20435.7,19527.64,199.8428,23501.78,,165283.3,1425984.0
1995Q4,1172876.0,,26892.6,74164.11,18363.95,,,,,161081.0,,,,,30635.24,1005.08,9528.896,,52798.95,1200592.0,43835.03,,,13049.65,4500.325,,,93680.03,22989.7,70406.86,,32876.99,,,,59542.55,26750.97,4360.191,3658.27,6568.735,,,,24537.57,,,23830.68,19740.15,285.2154,25508.33,,177227.0,1513458.0
1996Q1,1165218.0,,26592.58,74861.89,15591.92,,,,,154984.9,,,,,30570.98,845.9184,8490.222,,54291.05,1192754.0,38502.38,,,12873.14,4711.317,92044.9,,89201.31,21222.92,67897.04,,33608.43,,,,66771.54,28545.73,4360.44,3741.842,6061.697,,,,24035.67,,,23578.09,17223.01,307.2196,21049.53,,177295.8,1496834.0
1996Q2,1191102.0,,27916.92,74652.1,18943.56,,,,,155380.1,,,,,33277.96,926.2482,9450.749,,54774.47,1219249.0,43046.41,,,13092.37,4486.252,98826.04,,90161.6,23522.21,75441.26,,36081.07,,,,62316.25,27336.03,5042.09,3800.111,6374.843,,,,24495.14,,,24254.47,16631.88,347.1779,23235.59,,179847.3,1535809.0
1996Q3,1169182.0,,27649.26,75150.63,19596.49,,,,,155504.3,,,,,28596.55,965.2838,8700.976,,54190.08,1196812.0,48065.42,,,12582.32,4615.047,90690.02,,94991.46,21747.63,78165.78,,37237.24,,,,60902.88,27106.93,4499.982,4115.429,6698.199,,,,25231.15,,,21654.51,16792.54,429.8121,22232.23,,173001.8,1513646.0
1996Q4,1271718.0,,29340.22,74167.62,18195.36,,,,,169274.3,,,,,35211.34,1079.858,10420.88,,57943.91,1301770.0,45947.89,,,14697.97,5293.715,103592.2,,102178.1,26328.58,78698.44,,39175.01,,,,65073.48,29737.85,4837.773,3994.139,7162.516,,,,26432.21,,,25534.36,17353.63,593.5746,22960.98,,192047.1,1637917.0
1997Q1,1227580.0,,28069.39,74816.93,16434.4,85162.59,,,,161320.8,,,,,32677.66,1047.239,9797.363,,56465.27,1256589.0,39909.02,,,15123.17,5483.291,95188.53,682.3267,98386.89,22599.25,75106.65,,37913.2,,,,68204.28,29268.48,4554.267,4216.226,6526.989,,,,25150.7,,,24831.02,16831.2,639.5078,21351.69,,192400.2,1579979.0
