Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,4037851.0,,98817.07,263734.2,75859.58,,,,,564806.2,,,,,106451.4,3608.271,,,144677.1,4133818.0,151264.0,,,39690.65,,,,353681.7,67123.12,241009.7,,101640.3,,,,278619.8,13928.81,20442.36,,,,79086.49,64382.19,,83318.33,66895.8,661.9991,78264.89,,627737.4,5343468.0,63667.42
1995.0,4381931.0,,101682.8,324191.2,71290.25,,,,,617366.6,,,,,113662.9,3823.461,36167.81,,163965.6,4486075.0,168470.6,,,46358.49,16837.25,,,369900.6,82960.14,266790.5,,125940.1,,,,248002.0,14675.49,23851.87,,,,91681.65,68252.48,,90124.38,76632.97,1022.428,88221.25,,681905.8,5812830.0,67494.75
1996.0,4661738.0,,114079.7,329088.2,73532.42,,,,,635128.1,,,,,128480.1,3829.188,37227.36,,186265.4,4772533.0,175674.8,,,52329.13,19008.44,381783.8,,380934.4,94012.44,299650.3,,148657.4,,,,258098.2,15815.76,25913.21,,,,101075.3,69879.49,,94911.72,68274.97,1961.347,93401.77,,725218.2,6179496.0,69103.7
1997.0,5107131.0,,123329.3,330522.3,81673.0,355065.0,,,,698339.8,,,,,144740.5,5038.034,43676.64,,194931.4,5228511.0,185814.3,,,64941.87,22443.89,412299.6,3228.685,438530.3,108747.9,343815.6,,173475.6,,,,276426.8,17936.43,31083.65,,,,112566.3,77135.23,,105039.8,71200.73,3790.89,100567.7,,810523.5,6791332.0,76278.89
1998.0,5302964.0,,123516.9,339306.2,84926.17,389520.4,,,43382.48,752615.8,,,,,154452.3,5927.366,47328.82,,193610.0,5428999.0,179282.9,,110209.9,77320.75,25931.68,422891.9,3356.943,421012.5,120012.7,375248.8,,196377.9,,3356.943,,298537.2,16747.66,33706.88,,,,113044.3,69495.9,,112575.2,76183.2,6961.923,100789.8,,829595.2,7044083.0,68724.37
1999.0,5567308.0,,129611.2,345403.5,91263.99,434314.6,,,47774.02,790552.4,,,,,163902.2,5868.375,49987.07,497508.7,203223.7,5700987.0,184044.6,,95503.59,89317.08,30825.71,420980.3,3541.813,437563.1,135326.4,414415.7,,218951.7,,3541.813,,318777.2,18945.48,37852.05,,,,118234.5,73729.54,,118299.5,84433.95,13712.02,116645.6,,856823.7,7408033.0,72911.01
2000.0,6161462.0,,142007.2,356626.3,101021.1,463326.9,,,55361.88,897776.6,,,,,184083.7,8362.6,58875.97,458809.3,239134.2,6316789.0,215092.9,,103920.3,109375.2,37750.68,476407.5,3848.371,499084.9,156943.8,466374.5,,248579.5,,3848.371,,368863.0,20830.27,42576.62,62015.75,,,136934.3,81435.57,,129792.1,103560.6,24132.53,139158.1,,947652.2,8235819.0,80531.48
2001.0,6157887.0,,143672.1,366782.5,110736.4,446187.4,,,62349.43,950843.7,,,,,191884.5,6881.363,59717.25,445864.1,258159.9,6320781.0,208037.3,,102021.2,132540.1,36226.28,488507.7,4570.624,456855.3,162751.4,472974.6,,243119.3,,4570.624,,383395.1,21817.44,38914.1,69426.9,,,134006.6,83786.77,,128061.7,104471.0,64201.52,124336.8,,890830.1,8292857.0,82808.07
2002.0,6298008.0,,144611.0,386391.6,119575.3,449307.4,,,66061.94,972114.1,,,,,197265.1,6705.179,62362.0,468921.1,249918.0,6468838.0,224267.8,,98371.7,140926.1,40716.69,477061.5,5496.269,493539.6,182353.0,481231.4,1010.515,240110.8,,5496.269,,381472.8,22545.25,43121.01,75119.82,,,149453.1,83473.71,,130368.9,108107.5,105134.8,136777.5,1010.515,855597.2,8528086.0,82463.19
