Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,322307.4,,7897.225,18931.5,6392.208,,,,,46457.77,,,,,7949.831,,,,11280.6,329967.6,12122.98,,,3127.57,,,,27307.9,5197.21,20737.4,,8882.89,,,,24100.92,,1522.419,,,,5692.005,5415.535,,6695.027,4988.674,27.23966,6198.141,,51496.94,427981.2,5355.412
1994M01,322358.0,,8020.48,20719.75,5986.022,,,,,43621.74,,,,,8370.116,289.9533,,,11022.04,330019.4,11496.85,,,3072.817,,,,28313.67,5291.211,19208.45,,8162.852,,,,26988.61,1107.969,1703.053,,,,5770.843,5199.85,,6620.223,5112.31,27.93197,5892.175,,49291.93,426349.0,5142.122
1994M02,320325.2,,8196.379,20141.68,6003.393,,,,,44590.01,,,,,8497.537,301.5171,,,11442.46,327938.3,12227.6,,,3308.621,,,,28493.9,5194.47,19932.58,,8686.33,,,,25286.52,1142.283,1585.748,,,,5346.541,5664.956,,6495.732,4966.987,31.1159,6371.545,,47407.34,425202.1,5602.065
1994M03,331294.8,,8281.591,19780.1,6156.511,,,,,47289.72,,,,,8930.622,316.2285,,,11519.56,339168.7,12177.8,,,3204.514,,,,28782.13,5330.533,20009.8,,8555.921,,,,24423.31,1180.903,1672.428,,,,5893.783,7062.357,,6773.05,5837.874,39.86639,6100.063,,52488.33,442122.7,6983.952
1994M04,327085.6,,8235.466,19731.57,6672.511,,,,,45668.75,,,,,8735.542,295.8238,,,11746.48,334859.4,12129.75,,,3330.215,,,,28930.26,5438.814,20569.35,,8408.12,,,,23552.6,1257.145,1611.872,,,,6524.87,4592.149,,6622.407,5400.313,60.39784,6258.466,,51024.66,433105.7,4541.167
1994M05,334431.8,,8553.528,22761.11,6555.356,,,,,48030.62,,,,,7863.783,303.6942,,,12223.82,342380.2,12160.15,,,3158.331,,,,28926.81,5415.743,20387.71,,8402.246,,,,22923.14,1235.904,1707.965,,,,6621.114,4556.986,,6795.827,5422.423,60.32317,6723.435,,51114.97,441712.5,4506.395
1994M06,338749.3,,8350.594,20458.24,6496.538,,,,,48768.5,,,,,9539.953,317.7159,,,12154.55,346800.3,12904.6,,,3204.017,,,,29943.53,5428.403,19872.48,,8340.275,,,,22680.67,947.4526,1695.296,,,,6961.671,5173.238,,6927.321,5589.337,52.8853,6250.742,,52830.14,447393.7,5115.806
1994M07,332006.6,,8218.022,23396.81,6336.743,,,,,45639.31,,,,,8603.089,262.2419,,,12009.56,339897.3,12428.74,,,3114.787,,,,29531.46,5461.588,19497.35,,7955.692,,,,21731.52,1193.876,1742.131,,,,6477.953,5268.896,,6962.349,5429.492,53.67427,6409.452,,51562.86,438889.5,5210.401
1994M08,349359.7,,8183.28,24273.97,6740.897,,,,,49779.01,,,,,9455.657,291.8198,,,12532.58,357662.9,13235.35,,,3287.026,,,,30194.86,5528.912,20186.26,,8119.976,,,,23084.91,1172.625,1679.583,,,,7124.641,5305.325,,6660.359,5567.378,59.89903,6455.853,,54360.27,460536.1,5246.426
1994M09,344130.2,,8170.859,22729.22,6724.895,,,,,47340.3,,,,,8990.54,310.5702,,,12700.89,352309.1,12927.27,,,3368.798,,,,30021.78,5703.919,20252.16,,8119.281,,,,23999.64,1241.663,1730.378,,,,7126.845,5146.121,,6833.318,5835.35,68.40716,6737.54,,53678.2,454700.2,5088.99
1994M10,336228.3,,8129.372,22591.58,6025.108,,,,,45164.22,,,,,8703.502,267.4843,,,12442.75,344219.4,13255.56,,,3302.395,,,,30169.36,5770.388,20055.95,,8746.999,,,,20700.54,1157.888,1833.175,,,,6980.441,4900.262,,6818.863,5727.363,64.83393,7001.741,,53586.33,444672.3,4845.86
1994M11,344001.9,,8417.111,23295.04,6200.966,,,,,47845.18,,,,,8235.777,311.2916,,,12521.03,352177.8,13506.58,,,3577.685,,,,30241.86,6051.856,21022.41,,9396.563,,,,21002.0,1100.1,1654.242,,,,7087.653,5567.477,,6941.78,5995.063,68.37777,7287.401,,54224.07,456357.6,5505.667
