Unnamed: 0,Advanced Economies,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Sweden,Thailand,Turkey,"Taiwan, China",Uganda,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,973978.0,,24498.45,60641.53,18145.93,,,,,135501.5,,,,,25798.27,907.6988,,,33984.06,997126.4,35902.26,,,9585.952,,,,85589.7,15816.21,59150.83,,25405.1,,,,76698.44,3431.155,4961.229,,,,17011.17,17927.16,,19889.01,15917.17,98.91426,18363.78,,149187.6,1293674.0,17728.14
1994Q2,1000267.0,,25139.59,62950.92,19724.41,,,,,142467.9,,,,,26139.28,917.2338,,,36124.85,1024040.0,37194.5,,,9692.564,,,,87800.59,16282.96,60829.54,,25150.64,,,,69156.41,3440.501,5015.133,,,,20107.65,14322.37,,20345.55,16412.07,173.6063,19232.64,,154969.8,1322212.0,14163.37
1994Q3,1025496.0,,24572.16,70399.99,19802.54,,,,,142758.6,,,,,27049.29,864.6319,,,37243.03,1049869.0,38591.36,,,9770.612,,,,89748.09,16694.42,59935.77,,24194.95,,,,68816.08,3608.163,5152.093,,,,20729.44,15720.34,,20456.03,16832.22,181.9805,19602.84,,159601.3,1354126.0,15545.82
1994Q4,1038110.0,,24606.88,69741.8,18186.71,,,,,144078.2,,,,,27464.53,918.7064,,,37325.13,1062782.0,39575.91,,,10641.52,,,,90543.29,18329.52,61093.6,,26889.58,,,,63948.89,3448.99,5313.906,,,,21238.23,16412.31,,22627.74,17734.34,207.498,21065.62,,163978.7,1373456.0,16230.1
1995Q1,1088142.0,,24559.94,80469.35,17253.76,,,,,155196.9,,,,,28361.72,997.5744,9027.773,,38871.39,1114004.0,41742.79,,,11208.77,3969.254,,,91957.4,19440.45,63408.82,,29397.73,,,,67288.37,3712.725,5603.45,,,,21635.65,18985.45,,22845.47,19400.31,226.204,21314.39,,167007.2,1443118.0,18774.67
1995Q2,1087804.0,,24359.72,81600.18,17327.44,,,,,155496.7,,,,,27530.05,947.0907,9378.469,,40240.95,1113658.0,41723.72,,,11163.21,4230.183,,,94295.07,20218.84,64423.89,,30267.07,,,,60007.98,3575.961,5910.211,,,,22008.61,15378.81,,22428.36,19137.87,226.724,21752.2,,168262.6,1438363.0,15208.08
1995Q3,1099681.0,,26282.78,82543.09,17965.54,,,,,152477.0,,,,,29007.79,951.1221,8633.097,,41747.72,1125817.0,42782.73,,,11839.23,4288.286,,,90388.83,21630.82,68622.21,,32858.83,,,,61662.17,3680.721,6222.274,,,,23688.71,17799.33,,22430.99,19039.89,257.1427,22480.74,,171604.8,1462038.0,17601.73
1995Q4,1106303.0,,26480.36,79578.61,18743.52,,,,,154196.0,,,,,28763.37,927.6734,9128.474,,43105.53,1132596.0,42221.32,,,12147.28,4349.527,,,93259.31,21670.02,70335.63,,33416.43,,,,59043.44,3706.08,6115.935,,,,24348.68,16088.88,,22419.56,19054.91,312.3573,22673.91,,175031.2,1469311.0,15910.27
1996Q1,1146573.0,,28389.03,82416.49,18197.9,,,,,158436.6,,,,,30761.43,910.7275,8896.083,,45440.46,1173824.0,43524.82,,,12946.14,4554.775,91703.31,,91932.04,23876.36,71792.04,,34806.9,,,,64799.08,4018.021,6307.082,,,,25690.9,16315.25,,23361.21,18074.49,378.2493,22671.0,,176908.6,1518015.0,16134.12
