Unnamed: 0,Angola,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Ethiopia,Finland,France,United Kingdom,Ghana,"Gambia, The",Greece,Guatemala,Guyana,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kenya,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Mali,Malta,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Namibia,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,Rwanda,EMDE South Asia,Saudi Arabia,Sudan,Singapore,Sierra Leone,El Salvador,EMDE Sub-Saharan Africa,Suriname,Slovakia,Slovenia,Sweden,Seychelles,Syrian Arab Republic,Thailand,Tajikistan,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,949.8,,271887.5,1111.0,,3718.0,3413.5,,6.05,10554.7,,356.0741,,,,4.49,,3410.0,9.72,,17.91,12887.99,4951.9,745.3,13515.0,603.792,,43.82485,1058.86,33826.0,3.2,3209.0,,815.2861,26033.32,,241.61,444.0,,5240.99,,14.55,1884.0,20834.47,11065.3,,1.596,,,,286325.6,12215.0,,0.3074,947.5,3194.7,60.27,2594.0,128.7,1225.9,16123.0,,224.6578,32343.0,116.1769,8097.83,0.841305,13842.66,41.73,,,,452.0,129.254,,,,,4679.1,,,15.78,,,,10291.72,,,4268.95,,,29.2,17906.24,2573.0,,880.0,,671.1,1364.787,307.17,1000.3,232.4,1315.8,1314.0,,,454.0,,,,,,6724.82,12.58,91.5,,,0.414863,0.52973,4243.0,,280.43,3352.14,,3.8992,130.1,329.8186,1925.0,9950.4,,16.3384,,0.13788,41412.2,309.0,,417240.1,,2088.815,66.60003
1994M01,199.2,7.233526,242346.8,963.0,,3293.0,2835.8,,4.98,10291.3,,686.0816,,,,11.24,,2747.0,11.27,,13.24,12235.01,4646.8,798.0,4881.0,533.128,189.3,59.30669,966.97,28722.0,3.4,2965.0,,759.2018,15979.78,,242.327,298.8,,4800.7,72.977,10.23,2084.0,17853.73,10675.52,,6.787,,,,254617.2,10629.0,,0.1346,543.1,2666.5,65.45,2273.0,99.6,1143.8,12058.0,,116.3671,26084.0,84.73386,6067.78,0.823794,11771.16,36.05,,,122.3,488.0,123.2249,,,,,4089.1,,,17.18,,,,8937.695,,,4004.46,,,27.0,19161.54,2379.0,,736.0,,577.2,892.7133,312.71,947.9,158.3,1080.9,1359.0,,,387.1,4098.0,,,,,6441.1,11.64,81.7,,,0.433091,0.446354,4270.0,,332.38,3035.16,,0.4611,137.0,312.0192,1313.0,9253.9,,23.98926,,0.121806,37560.5,239.0,,360528.2,,1929.239,31.30006
1994M02,170.8,9.445723,251793.6,966.0,,3464.0,3252.8,,4.83,10576.7,,355.4252,,,,11.35,,2778.0,9.08,,7.6,12312.14,4892.2,769.6,5733.0,600.515,225.8,57.65874,1091.64,30304.0,3.3,3061.0,,750.3291,16528.09,9147.576,254.001,99.0,,5549.59,78.902,17.96,1951.0,18468.7,10671.41,,3.408,,,,264287.0,9416.0,,0.2321,483.8,2799.6,64.15,2494.0,104.4,1349.8,14295.0,,100.2686,30338.0,102.6427,6202.55,0.82706,12382.7,39.54,,,138.4,473.6,104.3043,,,,,4531.3,,,28.85,,,,9203.604,,,3614.32,,,28.7,18079.85,2574.0,,960.0,,558.1,760.5135,314.74,917.9,199.2,1163.0,1335.0,,,392.7,4498.0,,,,,5368.49,8.12,97.7,,,0.445421,0.473336,4395.0,,584.22,2967.73,,0.5351,175.2,336.6651,1194.0,10689.7,,27.15259,,0.130236,37125.6,338.0,240.5959,374354.8,,2149.315,50.30929
1994M03,234.8,8.989955,293152.7,1127.0,,4033.0,3764.0,,3.54,12742.1,,1658.888,,,,13.94,,3350.0,24.18,,8.64,12602.42,5879.7,1069.8,8488.0,587.063,248.6,94.59098,1254.28,36329.0,4.9,3665.0,,743.1254,21808.73,11389.52,303.455,136.0,,6406.89,94.892,26.18,2187.0,23761.35,10744.07,,1.765,,,,307598.5,11266.0,,0.2603,526.3,3032.3,71.79,2832.0,167.9,1307.0,16911.0,,89.30022,36532.0,121.8663,7613.31,0.851105,14164.55,33.07,,,165.6,593.4,118.4253,,,,,5155.5,,,29.44,,,,8772.745,,,4460.38,,,36.6,19692.73,2735.0,,1143.0,,563.1,601.9646,324.47,1050.3,232.2,1404.2,1634.0,,,465.3,4697.0,,,,,7231.43,10.84,101.8,,,0.548347,0.580912,5244.0,,494.85,4116.53,,0.3293,182.7,324.1984,1320.0,7549.2,,29.32815,,0.149068,46138.6,439.0,355.8333,439361.2,,2726.153,72.59504
1994M04,220.7,8.296779,272564.8,1222.0,,3738.0,3428.6,,3.54,11100.2,,1003.602,,,,7.35,,3635.0,5.16,,6.47,13627.22,4897.4,930.5,8935.0,650.114,249.1,76.99911,1200.37,32897.0,4.3,3169.0,,737.5907,21756.99,10573.8,270.766,208.6,,5893.98,85.899,28.15,2244.0,21110.63,11084.58,,2.484,,,,286192.5,11835.0,,0.2673,441.1,3133.8,63.68,2597.0,137.1,1124.8,14729.0,,126.1841,33228.0,110.266,7668.38,0.939425,13997.97,45.03,,,138.7,519.3,117.8531,,,,,4655.1,,,35.03,,,,10133.72,,,4684.64,,,27.3,17254.27,2525.0,,979.0,,576.3,812.3705,341.01,957.5,201.1,1347.7,1340.0,,,498.0,4827.0,,,,,7844.7,5.23,88.6,,,0.49924,0.525195,4705.0,,650.04,3383.54,,0.2945,128.7,335.5768,1233.0,9011.7,,26.9663,,0.150266,41586.9,384.0,388.4342,411377.8,,2078.087,50.47551
1994M05,267.3,5.65788,278174.8,1598.0,,4259.0,3635.2,,2.64,11821.2,,813.6083,,,,13.41,,3862.0,13.7,,11.5,13952.73,5142.2,994.9,9450.0,645.186,243.3,59.01243,1193.55,35750.0,4.5,3469.0,,733.7249,22648.45,11552.88,313.115,313.3,,5648.27,98.626,32.89,2465.0,21812.19,11167.51,,3.097,,,,292133.7,12117.0,,0.2443,461.2,3209.8,57.6,2656.0,117.6,1469.8,16105.0,,117.6257,27958.0,118.5527,7857.58,0.972403,15455.28,46.7,,,165.6,502.5,127.3097,,,,,5096.7,,,37.53,,,,10502.51,,,4637.43,,,36.9,17204.27,2753.0,,1255.0,,619.6,906.4576,380.05,1082.5,240.8,1296.9,1557.0,,,472.9,5955.0,,,,,7968.12,6.52,110.3,,,0.547053,0.544633,4896.0,,599.33,3608.22,,0.3667,152.1,368.8755,1220.0,10093.2,,29.82852,,0.163347,42215.3,437.0,343.6709,422801.8,,2035.252,93.54036
1994M06,260.1,12.58288,298214.7,1458.0,,3868.0,3790.5,,3.19,13191.2,,542.0487,,,,10.88,,3728.0,18.08,,11.8,14100.34,5584.0,830.3,10900.0,745.01,240.4,117.2529,1246.49,38246.0,4.2,3678.0,,731.5282,25057.31,12439.31,292.04,257.2,,6947.74,107.105,33.2,2453.0,24947.85,11183.91,,3.544,,,,312833.3,12934.0,,0.42,490.1,3567.8,57.98,2974.0,137.0,1300.3,17056.0,,119.973,34297.0,140.7872,8303.63,0.993538,14993.59,53.67,,,168.8,600.3,112.093,,,,,5316.0,,,25.5,,,,10450.66,,,4936.44,,,25.7,17651.88,3002.0,,1028.0,,745.9,799.3547,344.4,1117.8,237.4,1489.0,1601.0,,,526.1,6572.0,,,,,8635.34,14.88,90.7,,,0.62413,0.623568,5244.0,,595.76,3848.27,,0.3904,121.2,410.6396,1378.0,9551.5,,34.36519,,0.1699,43424.0,341.0,365.5,452380.4,,2329.584,59.88747
1994M07,285.1,,283346.7,1430.0,,3982.0,3879.6,,13.48,10697.3,,669.7726,,,,11.45,,3738.0,7.69,,9.44,13558.77,5479.1,957.4,10346.0,686.303,228.7,213.7945,1031.77,34706.0,4.1,3209.0,,731.0004,24658.74,11914.47,356.385,456.9,,6051.78,76.003,37.6,2525.0,23950.26,10829.06,,0.722,,,,297768.7,13523.0,,0.52,497.2,3514.9,59.7,2659.0,117.4,1304.6,17847.0,,116.249,34857.0,141.5352,7610.75,1.000097,14829.68,64.46,,,190.0,511.2,108.8831,,,,,4757.6,,,24.13,,,,11667.57,,,5130.76,,,22.1,16574.2,2891.0,,950.0,,569.0,971.4989,405.88,1215.1,222.4,1441.3,1894.0,,,559.6,5789.0,,,,,8232.41,5.57,142.4,,,0.520205,0.58812,4278.0,,618.87,3745.78,,0.329,139.7,433.9376,1578.0,9694.7,,45.70914,,0.180261,39218.1,349.0,401.0976,432556.3,,2552.002,72.17584
1994M08,267.9,,268746.4,1470.0,,3940.0,3144.5,,13.9,10000.0,,410.8206,,,,10.9,,4282.0,8.29,,9.32,13734.05,4733.5,1045.6,10210.0,873.816,257.2,85.15844,1117.98,35628.0,2.7,3716.0,,732.1416,24929.53,12076.36,359.585,525.6,,4228.89,102.012,24.74,2245.0,18985.14,10940.99,,1.707,,,,282613.9,14036.0,,0.332,496.6,3592.2,68.1,2490.0,122.7,1184.6,11382.0,,108.1607,31190.0,203.1498,7601.02,0.999591,16048.18,49.73,,,216.9,474.2,155.3817,,,,,5271.4,,,22.5,,,,11410.99,,,5302.5,,,23.4,15922.84,2556.0,,958.0,,567.1,781.6524,398.63,1173.3,257.5,1505.0,1145.0,,,552.6,6196.0,,,,,8856.5,10.1,100.7,,,0.552137,0.462002,4141.0,,655.77,3825.92,,0.5923,130.8,296.7448,1517.0,9464.1,,49.74506,,0.171224,43589.0,359.0,484.2353,416017.8,,2618.28,65.5872
1994M09,391.8,,308462.0,1357.0,,3950.0,4493.8,,26.62,13387.4,,506.4197,,,,5.85,,4162.0,9.65,,11.79,14114.89,6116.7,973.8,10456.0,764.708,273.3,32.41626,1274.87,37850.0,3.5,4020.0,,734.9518,25583.84,13173.61,396.681,375.1,,6371.96,117.605,36.27,2650.0,26600.07,11214.95,,1.498,,,,324154.7,13976.0,,0.512,544.1,3481.2,66.45,3256.0,152.2,1078.2,17497.0,,118.8017,36324.0,144.571,8301.23,0.989289,15819.51,58.7,,,223.3,637.0,136.4912,,,,,5035.1,,,19.24,,,,11632.02,,,5381.11,,,28.0,19758.85,3188.0,,993.0,,600.3,1143.238,416.74,1239.4,231.3,1585.3,1826.0,,,589.4,6703.0,,,,,9176.62,10.06,114.9,,,0.592899,0.656267,5514.0,,686.27,4301.08,,0.3744,127.1,440.2243,1720.0,9705.3,,51.6058,,0.180664,43766.5,345.0,407.9091,468411.1,,2391.365,68.84174
1994M10,270.9,,316077.2,1355.0,,4261.0,4168.6,,16.21,13374.2,,384.5866,,,,9.1,,3842.0,4.76,,18.22,15227.89,6261.1,944.8,10430.0,782.664,255.6,42.30677,1291.72,39298.0,3.3,3943.0,,739.4309,25778.11,12098.38,368.558,325.4,,7077.86,112.221,57.04,2860.0,29073.02,12010.51,,0.674,,,,331959.8,14582.0,,0.386,552.9,3646.3,71.13,3226.0,137.2,1627.5,17620.0,,142.6674,34853.0,148.1556,8867.1,0.928834,15841.11,50.89,,,116.9,612.2,147.0436,,,,,5555.7,,,21.22,123.6,,,11067.8,,,5601.82,,,19.9,18140.81,3469.0,,943.0,,626.7,1071.125,381.37,1299.3,201.0,1628.6,1813.0,,,590.4,5871.0,,,,,8945.67,9.43,100.0,,,0.627198,0.641483,6073.0,,590.47,4049.16,,0.7663,112.4,448.1063,1670.0,9812.5,,45.9284,,0.164357,45313.6,371.0,463.6463,477037.3,,2484.809,51.77812
1994M11,284.3,,315993.1,1421.0,,4351.0,4343.4,,15.02,13711.5,,383.4637,,,,6.25,,3706.0,16.42,,10.79,15624.94,6613.2,1107.5,12669.0,847.281,244.0,36.80067,1435.02,39693.0,3.2,4275.0,,745.5791,27911.6,12534.22,346.444,274.3,,6633.51,127.605,39.3,2954.0,27794.98,12338.88,,2.833,,,,332364.1,13871.0,,0.564,622.6,3640.9,65.17,3406.0,161.7,1442.0,17453.0,,122.3353,34216.0,159.4339,9225.33,0.929207,16793.61,48.85,,,210.4,616.3,125.3606,,,,,6108.3,,,18.08,159.6,,,11623.65,,,5408.22,,,21.6,17788.33,3236.0,,1091.0,,644.9,1195.588,377.89,1123.5,210.1,1648.6,1992.0,,,607.2,6163.0,,,,,9051.56,9.73,100.3,,,0.697357,0.676351,5875.0,,766.61,4312.55,,2.954,181.1,454.696,1658.0,9813.2,,47.46099,,0.170027,45673.7,407.0,451.131,481578.8,,2577.174,44.37405
1994M12,164.9,,323943.2,1472.0,,4290.0,4386.5,,12.88,12874.6,,216.4751,,,,7.1,,3714.0,10.04,,11.33,15832.62,6024.8,1225.7,18508.0,821.739,222.9,48.68401,1289.64,40528.0,4.7,3980.0,,753.3962,34286.46,13490.8,339.329,205.3,,7735.62,116.964,28.94,3086.0,27257.42,12559.62,,3.389,,,,340949.3,13202.0,,0.387,750.9,3768.0,73.84,3273.0,157.8,1520.7,18531.0,,145.5098,37449.0,121.8758,10694.6,0.950051,16353.29,46.04,,,171.9,533.4,144.0718,,,,,5310.4,,,15.62,125.2,,,10629.56,,,5679.82,,,37.7,18145.61,3488.0,,1147.0,,752.1,1264.154,426.24,1308.6,248.9,1620.6,1610.0,,,579.7,6456.0,,,,,9070.68,13.02,120.4,,,0.622339,0.606783,6718.0,,583.02,4236.1,,3.4058,278.6,472.6908,2305.0,10268.7,,50.84062,,0.162276,47013.3,413.0,419.1,500026.1,,2532.605,60.82249
