Unnamed: 0,Angola,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Ethiopia,Finland,France,United Kingdom,Ghana,"Gambia, The",Greece,Guatemala,Guyana,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kenya,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Mali,Malta,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Namibia,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,Rwanda,EMDE South Asia,Saudi Arabia,Sudan,Singapore,Sierra Leone,El Salvador,EMDE Sub-Saharan Africa,Suriname,Slovakia,Slovenia,Sweden,Seychelles,Syrian Arab Republic,Thailand,Tajikistan,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,604.8,25.6692,787293.1,3056.0,,10790.0,9852.6,,13.35,33610.1,,2700.395,,,,36.53,,8875.0,44.53,,29.48,37149.57,15418.7,2637.4,19102.0,1720.706,663.7,211.5564,3312.89,95355.0,11.6,9691.0,,2252.656,54316.6,,799.783,533.8,,16757.18,246.771,54.37,6222.0,60083.78,32091.0,,11.96,,,,826502.7,31311.0,,0.627,1553.2,8498.4,201.39,7599.0,371.9,3800.6,43264.0,,305.9359,92954.0,309.2429,19883.64,2.501959,38318.42,108.66,,,426.3,1555.0,345.9545,,,,,13775.9,,,75.47,,,,26914.04,,,12079.16,,,92.3,56934.11,7688.0,,2839.0,,1698.4,2255.191,951.92,2916.1,589.7,3648.1,4328.0,,,1245.1,13293.0,,,,,19041.02,30.6,281.2,,,1.426859,1.500602,13909.0,,1411.45,10119.42,,1.3255,494.9,972.8827,3827.0,27492.8,,80.47,,0.40111,120824.7,1016.0,,1174244.0,,6804.707,154.2044
1994Q2,748.1,26.53754,848954.3,4278.0,,11865.0,10854.3,,9.37,36112.6,,2359.259,,,,31.64,,11225.0,36.94,,29.77,41680.29,15623.6,2755.7,29285.0,2040.31,732.8,253.2644,3640.41,106893.0,13.0,10316.0,,2202.844,69462.74,34565.99,875.921,779.1,,18489.99,291.63,94.24,7162.0,67870.67,33436.0,,9.125,,,,891159.5,36886.0,,0.9316,1392.4,9911.4,179.26,8227.0,391.7,3894.9,47890.0,,363.7828,95483.0,369.606,23829.59,2.905366,44446.84,145.4,,,473.1,1622.1,357.2558,,,,,15067.8,,,98.06,,,,31086.9,,,14258.51,,,89.9,52110.42,8280.0,,3262.0,,1941.8,2518.183,1065.46,3157.8,679.3,4133.6,4498.0,,,1497.0,17354.0,,,,,24448.16,26.63,289.6,,,1.670423,1.693396,14845.0,,1845.13,10840.03,,1.0516,402.0,1115.092,3831.0,28656.4,,91.16,,0.483513,127226.2,1162.0,1097.605,1286560.0,,6442.923,203.9033
1994Q3,944.8,,860555.1,4257.0,,11872.0,11517.9,,54.0,34084.7,,1587.013,,,,28.2,,12182.0,25.63,,30.55,41407.71,16329.3,2976.8,31012.0,2324.827,759.2,331.3692,3424.62,108184.0,10.3,10945.0,,2198.094,75172.11,37164.45,1112.651,1357.6,,16652.63,295.62,98.61,7420.0,69535.47,32985.0,,3.927,,,,904537.3,41535.0,,1.364,1537.9,10588.3,194.25,8405.0,392.3,3567.4,46726.0,,343.2114,102371.0,489.256,23513.0,2.988977,46697.37,172.89,,,630.2,1622.4,400.756,,,,,15064.1,,,65.87,,,,34710.58,,,15814.37,,,73.5,52255.89,8635.0,,2901.0,,1736.4,2896.39,1221.25,3627.8,711.2,4531.6,4865.0,,,1701.6,18688.0,,,,,26265.53,25.73,358.0,,,1.665241,1.706389,13933.0,,1960.91,11872.78,,1.2957,397.6,1170.907,4815.0,28864.1,,147.06,,0.532149,126573.6,1053.0,1293.242,1316985.0,,7561.647,206.6048
1994Q4,720.1,,956013.5,4248.0,,12902.0,12898.5,,44.11,39960.3,,984.5253,,,,22.45,,11262.0,31.22,,40.34,46685.45,18899.1,3278.0,41607.0,2451.684,722.5,127.7915,4016.38,119519.0,11.2,12198.0,,2238.406,87976.17,38123.4,1054.331,805.0,,21446.99,356.79,125.28,8900.0,84125.42,36909.0,,6.896,,,,1005273.0,41655.0,,1.337,1926.4,11055.2,210.14,9905.0,456.7,4590.2,53604.0,,410.5125,106518.0,429.4653,28787.03,2.808093,48988.01,145.78,,,499.2,1761.9,416.476,,,,,16974.4,,,54.92,408.4,,,33321.01,,,16689.86,,,79.2,54074.75,10193.0,,3181.0,,2023.7,3530.867,1185.5,3731.4,660.0,4897.8,5415.0,,,1777.3,18490.0,,,,,27067.91,32.18,320.7,,,1.946894,1.924617,18666.0,,1940.1,12597.81,,7.1261,572.1,1375.493,5633.0,29894.4,,144.23,,0.49666,138000.6,1191.0,1333.877,1458642.0,,7594.588,156.9747
1995Q1,851.4,38.4537,976906.6,4536.0,,12169.0,14190.2,,44.7,44550.2,,1159.3,,,,42.06,,9731.0,33.91,,21.21,46850.27,18316.6,4148.3,30944.0,2363.702,861.0,185.3879,4864.2,125310.0,10.8,12629.0,,2372.922,76019.54,38555.49,1056.922,773.4,,22010.25,365.578,78.75,9144.0,90055.22,37927.0,,7.652,,,,1027362.0,37573.0,,1.166,2127.1,10175.0,243.1,10173.0,440.2,4294.2,54783.0,,356.3683,107130.0,458.1653,26192.04,3.179932,49888.35,162.23,,,553.0,1955.5,380.3438,,,,,18786.8,,,59.5,,,,32863.83,,,15863.92,,,144.4,57572.73,10414.0,,3449.0,,1938.1,2467.403,1286.67,3717.2,640.4,5264.7,5835.0,1.189899,,1718.6,19059.0,,,,116.0,26344.04,13.95,426.0,,,1.965517,2.057093,19232.0,,1891.98,13179.53,,1.4345,700.8,1263.101,4757.0,28385.9,,191.27,,0.555244,141209.2,1202.0,1244.103,1471757.0,,7685.611,172.4525
1995Q2,983.8,,1040455.0,6316.0,,12807.0,14852.1,,27.94,46316.8,,1316.1,,,,43.11,,11719.0,57.59,,24.08,49443.78,19952.5,4012.9,38842.0,2579.523,903.8,192.4226,5566.42,135089.0,14.3,13039.0,,2483.703,89087.01,41931.11,1136.521,1212.1,,23471.98,394.574,161.69,10831.0,99524.28,37598.0,,4.076,,,,1094146.0,42996.0,,1.1986,2213.0,11069.9,229.38,11123.0,469.1,4345.2,59820.0,,411.8069,116797.0,416.8002,32049.57,3.363996,55421.02,191.0,2678.538,,653.9,2048.8,398.7042,,,,,19631.4,,,96.69,,,,35734.7,,,18388.07,,,123.6,51368.65,10333.0,,3659.0,,2534.0,2960.84,1356.45,4299.7,682.0,5656.9,5882.0,1.361765,,2025.1,20650.0,,,,147.4,29225.46,4.16,407.4,,,2.231587,2.155554,19895.0,,1676.04,13971.59,,1.1124,604.2,1441.215,5200.0,30638.8,,110.39,,0.536644,147054.8,1232.0,1535.031,1581588.0,,7579.566,197.9828
1995Q3,836.8,,989038.3,5273.0,,13839.0,13909.4,,15.31,40222.5,,1419.3,,,,33.06,,12729.0,32.63,,25.36,46468.97,18792.1,3925.9,37215.0,2603.716,875.1,237.7238,5255.32,125690.0,10.6,12421.0,,2619.891,90553.3,42623.84,1079.099,752.4,,20735.22,389.352,110.13,9353.0,86301.56,37146.0,,2.668,,,,1041246.0,47816.0,,1.177,2609.2,11668.6,239.82,10894.0,414.0,4269.6,55838.0,,490.0961,108961.0,522.1759,32072.26,3.046737,55526.88,224.28,2765.705,,727.2,1910.5,425.403,,,,,20087.2,,,75.89,469.1,,,34847.0,,,19668.75,,,96.0,50838.14,10171.0,,3214.0,,1645.7,2864.317,1455.22,4779.1,676.5,5776.5,5609.0,1.482322,,2065.0,20494.0,,,,130.0,31030.26,1.83,428.0,,,2.121648,1.993339,18312.0,,1832.71,14670.2,,1.2905,497.1,1312.501,5288.0,30178.4,,131.87,,0.533476,143085.0,1210.0,1571.355,1518687.0,,8705.904,202.538
1995Q4,969.8,,1070861.0,4837.0,,14272.0,14678.1,,17.69,44674.7,,1218.9,,,,24.69,,12328.0,43.71,,26.05,50616.97,20995.6,3997.9,41778.0,2654.123,836.0,111.7448,6000.64,137714.0,7.7,13379.0,,2781.484,96243.74,47155.01,1108.164,711.7,,25502.9,442.902,72.07,10953.0,99232.59,41222.0,,1.96,,,,1127750.0,45373.0,,1.091,2944.9,12504.7,282.25,12430.0,478.6,4701.5,63601.0,,512.0268,110030.0,495.0436,34744.12,3.186172,56458.8,245.1,2854.894,,770.9,1918.4,448.2255,,,,,21036.2,,,52.23,555.3,,,36943.11,,,19875.79,,,101.8,52954.29,11048.0,,3316.0,,1911.7,3587.617,1393.07,4645.3,645.6,6196.7,6494.0,1.303198,,2165.6,22710.0,,,,162.3,31649.48,5.32,390.7,,,2.270106,2.108924,22288.0,,1940.26,14903.98,,5.9441,653.4,1476.362,6394.0,32662.1,,122.89,,0.480594,153391.4,1093.0,1562.914,1636530.0,,7873.593,177.8863
1996Q1,,,1031145.0,4738.0,42.5,14337.0,14471.2,,23.81,44732.6,,2794.9,,,,46.76,,10286.0,53.77,,46.14,49171.68,19444.1,4308.3,28242.0,2439.258,940.4,187.3166,5421.51,130051.0,7.3,12676.0,,3123.719,79253.3,45096.02,1109.708,975.1,,24315.51,385.256,86.58,9606.0,96252.57,41623.0,,,,,,1084698.0,39739.0,,1.0828,2459.4,11240.9,312.09,12297.0,489.3,4709.9,61951.0,,382.7184,101692.0,538.1285,31495.95,3.451687,54079.05,225.13,2151.184,,760.8,1883.6,454.5099,,,,,21870.4,,,61.11,423.6,,,34762.99,,,18599.71,,,160.2,56009.14,12017.0,,3364.0,,2436.4,2425.501,1424.03,4685.03,566.3,5932.8,6440.0,1.074311,,1975.1,20872.0,,,,188.1822,30636.72,8.95,473.0,,,2.064728,2.059801,21352.0,,1205.58,14118.99,,0.9653,524.5,1301.783,5541.413,26794.0,,186.97,3312.9,0.549482,153832.0,1006.0,1534.646,1559427.0,,7722.073,123.8887
