Unnamed: 0,Albania,Advanced Economies,Armenia,Australia,Austria,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,Gabon,United Kingdom,Georgia,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,0.391281,,,0.227936,0.317686,,0.110908,,,,,,,,1.185084,,0.0811,3.25939,0.461784,,0.218296,,0.417954,0.21933,,,,,0.459371,,1.43625,0.096658,0.47572,0.298569,0.440003,0.12973,,0.184941,,,,,,,0.280621,0.464249,0.413305,0.872495,0.232092,0.221769,,0.222035,0.184064,,0.442573,,,,0.250438,,,,,,0.18034,,,,,,,0.467302,,,,,,,0.446117,,0.199084,,0.694627,0.313087,,,,1.265551,0.336556,,0.606032,,,1.941821,0.129138,0.825378,0.333916,0.826955,,,0.338652,0.317996,0.457562,,0.556002,0.225662,,,,,,,0.115599,,,0.17814,,,
1995.0,0.321049,,,0.208568,0.30253,,0.108535,,0.263832,,,,,,1.036457,,0.090199,2.552481,0.572624,,0.247772,,0.554558,0.205385,,,,,0.45667,,1.495694,0.116023,0.308771,0.25991,0.353643,0.110639,,0.162631,0.421857,,,,,,0.271017,0.781929,0.364102,0.635439,0.249186,0.194042,,0.177062,0.153063,,0.542592,,,,0.241684,,,,,,0.146542,,,,,,0.217475,0.462939,,,,,,,0.320355,,0.180612,,0.684274,0.316492,,,,1.0169,0.293679,,0.512782,0.12087,,0.771328,0.275691,0.573773,0.324994,0.779261,,,0.511504,0.303982,0.379153,,0.52334,0.205615,,,,,,,0.121759,,,0.193343,,,
1996.0,0.302512,,,0.237223,0.355479,,0.108331,,0.078558,,,,,,1.132093,,0.117618,2.119333,0.766953,,0.214179,,0.447489,0.198566,,,,,0.552557,,1.449085,0.116967,0.494773,0.2304,0.227105,0.109532,,0.142811,0.259585,,,,0.321544,,0.314495,0.53549,0.449321,0.634617,0.223679,0.243485,,0.250541,0.236925,,0.622752,0.458799,,,0.220468,,0.678747,,,,0.123155,,,,,,0.196092,0.508565,,,,,,,0.359446,,0.185048,0.160678,0.746544,0.403854,,,,1.225554,0.362854,,0.486175,0.097235,,0.56868,0.224685,0.539746,0.545628,0.816735,,,0.41369,0.339727,0.290946,,0.53545,0.248976,,,,,0.111576,,0.09746,,,0.194162,,,
1997.0,0.633393,0.291457,,0.274096,0.316162,,0.106448,,0.430814,,,,,0.645633,0.865889,,0.089224,2.164093,1.000907,,0.229542,,0.360204,0.189128,,0.4318,,,0.589398,,1.539477,0.131408,0.577199,0.224182,0.277493,0.130724,,0.108635,0.201775,,,0.163936,0.445382,,0.286726,0.398236,0.416252,0.659739,0.17604,0.20636,,0.312064,0.178885,,0.651615,0.540117,,,0.140859,,0.605546,,,,0.144238,,,,,,0.255694,0.513571,,,,,,,0.274835,,0.267459,0.151327,0.656175,0.306268,,,,1.304083,0.244702,,0.478109,0.09263,,0.473473,0.248506,0.573797,0.543192,0.899878,0.390198,,0.353554,0.46861,0.167981,,0.424593,0.254054,,,,,0.137796,,0.08202,,,0.203625,,,
1998.0,0.480174,0.298143,,0.242538,0.342372,,0.114842,,0.588817,,,,,0.599441,0.75723,,0.114381,1.881766,1.062016,,0.159013,,0.443961,0.170876,,0.331706,,,0.779778,,1.223589,0.144057,0.425481,0.213568,0.301986,0.174138,,0.104611,0.141925,,,0.174333,0.483888,,0.345852,0.363595,0.858045,0.699389,0.212448,0.186866,,0.16038,0.178282,,0.768846,0.461261,,,0.555922,,0.511166,,,,0.194903,,,,,,0.240736,0.562047,,,,,,,0.448284,,0.239143,0.123771,0.509629,0.336671,,,,1.211267,0.364776,0.605437,0.433746,0.121987,,0.261602,0.210437,0.602168,0.472499,1.215627,0.444683,,0.315584,0.466095,0.209435,,0.686584,0.225805,,,,,0.053961,,0.093923,,,0.217467,,,
1999.0,0.440481,0.289854,,0.326749,0.226099,,0.068839,,0.579849,,,,,0.696487,0.722282,,0.128236,1.887052,0.953492,,0.231336,,0.458143,0.140286,,0.505948,,,0.774591,0.424161,0.98525,0.150007,0.235005,0.258438,0.262287,0.153878,,0.127186,0.196345,,,0.172581,0.537311,,0.376427,0.394008,1.134526,0.743919,0.112916,0.207937,,0.119017,0.157194,,0.92549,0.538222,,,0.618618,,0.464405,,,,0.21742,0.007415,,,,,0.217197,0.61018,,,,,,,0.472469,,0.276082,0.056449,0.698784,0.312362,,,,1.340898,0.489062,0.597713,0.221041,0.263261,,0.190674,0.335342,0.64661,0.640306,1.149675,0.481007,,0.428222,0.392812,0.221987,,0.692384,0.269525,,,,,0.092827,,0.071525,,,0.218526,,,
2000.0,0.581966,0.280174,0.361703,0.269049,0.215247,0.229544,0.058529,,0.572048,0.000352,0.148663,,0.269486,0.633547,0.578812,2.770503,0.131991,1.540136,0.745684,,0.237863,,0.408982,0.125048,0.200179,0.34273,,,0.614313,0.461728,1.018613,0.126345,0.207453,0.211159,0.236788,0.135892,0.137733,0.138079,0.158107,,0.295614,0.156594,0.50564,0.304859,0.43063,0.351668,0.879509,0.777292,0.105924,0.165073,0.66081,0.122257,0.303063,1.436403,0.939198,0.417072,0.429489,0.403351,0.59947,1.007246,0.396947,1.022071,,,0.243307,0.007456,0.339724,0.429591,,0.316094,0.192724,0.53632,0.200021,0.097821,,,,0.459978,0.350711,1.058754,0.275392,0.051788,0.803681,0.284026,,,0.211663,1.162223,0.436086,0.558871,0.231808,0.189067,,0.161808,0.667324,0.672304,0.677167,1.028185,0.383219,,0.46696,0.305698,0.205813,0.11667,0.52867,0.207218,0.429046,0.767334,0.652024,0.643351,0.105978,0.716444,0.05632,0.931108,0.221957,0.197188,0.605982,,0.231412
2001.0,0.570571,0.301695,0.369957,0.296851,0.184147,0.127675,0.065,,0.534756,0.000396,0.369036,,0.250085,0.660953,0.631753,3.220322,0.150596,1.317749,0.88173,,0.251958,,0.395969,0.115733,0.2401,0.389469,,1.799534,0.70847,0.484264,1.101852,0.146851,0.19686,0.191884,0.250123,0.119289,0.007054,0.129896,0.214785,,0.337635,0.168233,0.549774,0.322326,0.50243,0.318814,0.898888,0.955774,0.110537,0.162877,0.714144,0.11792,0.54733,1.261271,1.133635,0.393455,0.411452,0.494554,0.726768,1.272558,0.427557,0.743927,4.557425,,0.265713,0.009645,0.413165,0.787652,,0.244846,0.242529,0.619898,0.430045,0.147283,0.259363,0.030526,,0.369139,0.404904,0.892478,0.215838,0.049312,0.707203,0.267919,,,0.366028,1.223506,0.475265,0.526495,0.251863,0.195036,,0.145368,0.718165,0.841885,0.590624,1.190687,0.340959,,0.404657,0.437601,0.221122,0.07754,0.533591,0.209041,0.477826,1.12627,0.680549,1.008227,0.195894,1.013126,0.060552,0.594996,0.229631,0.217848,0.440155,,0.174923
2002.0,0.571284,0.338443,0.446916,0.299674,0.139547,0.453378,0.061679,,0.660643,0.000355,0.336205,0.069789,0.219414,0.505075,0.782495,2.263522,0.163112,1.382183,0.991064,,0.251748,,0.582345,0.115033,0.222147,0.551894,,1.920309,0.790452,0.529194,1.150039,0.157718,0.215682,0.203258,0.277651,0.105778,0.12436,0.142995,0.253943,0.264284,0.312099,0.178143,0.539767,0.341323,0.545179,0.274994,1.023698,1.259121,0.104586,0.211782,0.73971,0.130859,0.446801,1.457034,1.367922,0.484095,0.492598,0.543591,0.797341,1.03743,0.484189,1.18836,4.983544,,0.321062,0.013337,0.372378,0.853534,,0.346736,0.284622,0.712929,0.353928,0.205764,0.354169,0.030534,,0.238097,0.423836,0.59595,0.256146,0.052467,0.918148,0.330418,,0.809126,0.390381,1.310945,0.41868,0.540781,0.283257,0.17481,,0.134346,0.823399,1.126742,0.670799,1.206144,0.306548,,0.773626,0.633273,0.256661,0.162059,0.602791,0.240027,0.546478,1.422501,0.925101,0.899565,0.264358,0.390835,0.069306,0.765584,0.212405,0.236469,0.464308,,0.514446
