Unnamed: 0,Albania,United Arab Emirates,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Ghana,Greece,Guatemala,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Maldives,Mexico,North Macedonia,Malta,Mongolia,Mozambique,Malaysia,Namibia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,Saudi Arabia,Singapore,Serbia,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,452601.6,955427.0,,,,,,,2030.3,18045.68,677329.0,72230.18,1157480.5,453460.4,,11429821.0,,,13209795.5,,,2290180.0,1403340.0,34539.182,,,,132208.0,1545747.0,1323443.0,,,,1338471.0,,,,3610000000.0,,,,,1456094.0,10490.35,446534400.0,,,623950200.0,,,,,,,,14514641.0,,,,,,,,,456847.0,2074784.0,122775.0,,5670336.0,,,97467021.0,,,,137297.7,,,,2989885.0,4686203.0,,570497.2,6955940.0,,,11114800.0,,953000000.0,2389241.0
1995.0,,,439763.9,983664.0,241170.0,286245.0,57913.57,,,,2043.3,18883.21,705993.0,78326.49,1188662.75,456016.9,,12687480.0,,,13744376.7,11387.0,,2326850.0,1445828.0,35143.065,,716150.0,9245.5,137790.0,1579949.0,1355023.0,,151838.0,,1370243.0,,,22155200.0,3910000000.0,,99549.0,1206302.0,558774.0,1499211.0,11114.65,458235800.0,,,683940300.0,,,16139.5,27583.6,11128.7,,,13657261.0,,,,,,,,,471710.0,2164121.0,127853.0,,5932273.0,605102.9,145127.4,104000000.0,81297.2,65331549.0,,147140.0,2311413.0,36450.49,22782.2,3114187.0,5066573.0,,614029.2,7407974.0,,,11413000.0,,1040000000.0,2463307.0
1996.0,,,463831.7,1023245.0,246727.0,290015.0,61790.84,,,,2064.9,19700.5,719394.0,80198.22,1207909.25,458103.5,81591000.0,13947971.0,,,13929489.7,11529.1,2969498.0,2346730.0,1487758.0,35987.213,,735204.0,9692.1,142847.0,1600961.0,1390010.0,,156229.0,,1428595.0,,,22171707.0,4220000000.0,23734810.0,106556.0,1261396.0,588781.0,1517992.0,11315.73,472689800.0,,,737908000.0,,,16947.0,27978.7,11417.0,,,14474363.0,,,,,,,,,485797.0,2272572.0,132655.0,,6278728.0,869753.1,150213.1,106000000.0,84531.2,63014389.0,,158236.9,2449187.0,38844.76,23503.1,3163689.0,5354752.0,,659132.4,7865538.0,,,11843600.0,,1140000000.0,2569231.0
1997.0,,,501436.8,1070559.0,252190.0,301018.0,52854.04,,,,2139.2,20669.97,746200.0,85938.3,1259608.25,468366.5,87738000.0,15246416.0,,,14699818.3,11833.6,2953543.0,2390340.0,1536273.0,37445.031,,762399.0,10957.9,151826.0,1638631.0,1458467.0,,163400.0,,1501450.0,,,22868390.0,4420000000.0,32783550.0,117696.0,1334199.0,613679.0,1547785.0,11741.07,477476000.0,,,783441000.0,,,18352.3,29485.4,12447.8,,,15551016.0,,,,,,,,,507690.0,2392614.0,136703.0,,6603846.0,923721.8,156823.6,110000000.0,81229.9,63799494.0,,171377.9,2622810.0,41117.12,24652.7,3267038.0,5209186.0,,707975.1,8341508.0,,1061317.0,12370400.0,41913.68,1240000000.0,2636030.0
1998.0,,,520557.0,1120337.0,260911.0,306926.0,55187.94,,,,2222.3,21707.13,748858.0,84565.24,1308684.5,482074.5,91407000.0,16436776.0,,,15746630.8,12556.8,2943258.0,2433430.0,1570350.0,38237.219,,795901.0,11461.1,160107.0,1697632.0,1508263.0,,169747.0,,1413126.0,,,23748830.0,3840000000.0,34757750.0,128240.0,1432434.0,635713.0,1572767.0,12118.26,471179300.0,,,743254800.0,,,19736.6,31447.9,13244.3,527088.0,,16516086.0,,,,,,,,,530834.0,2456325.0,137760.0,,6575625.0,965668.1,164363.7,111000000.0,79556.1,60534324.0,,167686.3,2718177.0,42789.58,25415.9,3405015.0,4809143.0,,711105.3,8692254.0,,1109404.0,12924800.0,42063.97,1320000000.0,2649210.0
1999.0,,,503158.3,1169135.0,269730.0,317799.0,50643.35,,,,2421.8,21792.93,752362.0,91491.2,1376250.75,489927.0,90989000.0,17713369.0,9899900.0,,16419231.1,13184.4,2979978.0,2475980.0,1616643.0,35828.481,,831640.0,11402.3,167121.0,1753360.0,1554509.0,,174781.0,,1448548.0,,,24451148.0,3870000000.0,37166710.0,141165.0,1490231.0,661007.0,1597337.0,12499.69,470022100.0,4222273.0,,828483400.0,,,19512.2,34019.2,13553.0,529879.0,,16969058.0,,,,,,,,,556987.0,2508596.0,144170.0,,6778279.0,1009469.0,170784.7,109000000.0,79121.3,64128410.0,,177210.5,2460272.0,42741.22,26734.0,3541110.0,5032057.0,,687737.3,9277419.0,,1088238.0,13543800.0,39511.1,1390000000.0,2712791.0
2000.0,,,499309.4,1205286.0,279654.0,329634.0,53558.37,,18816.94,,2737.1,22336.59,784803.0,95150.69,1447508.0,510069.3,95864000.0,19222524.0,10251900.0,432079000.0,17055341.6,13970.9,3108071.0,2553610.0,1677218.0,37726.41,,875275.0,12527.5,176742.0,1825920.0,1621644.0,,181850.0,,1559557.0,106654.1,35749.58,25602196.0,4060000000.0,39273830.0,153085.0,1564519.0,716376.0,1663121.0,13032.08,482795600.0,4634765.0,,903550900.0,,,20239.5,36375.4,14341.7,538319.0,,17778600.0,280127.6,6042.123,,,,72767.53,,,580832.0,2590358.0,149967.0,,6989755.0,1056531.0,177302.1,106000000.0,81160.4,70577452.0,,193221.0,2617827.0,43217.37,27855.2,3715560.0,5256169.0,54640.89,735869.6,9863229.0,,1067209.0,14096000.0,40928.12,1470000000.0,2826729.0
2001.0,,,477201.8,1237289.0,283087.0,333236.0,55658.55,,19272.37,,2874.3,22721.13,796430.0,97468.08,1473418.0,518374.3,98932000.0,20831018.0,10699500.0,439329000.0,17649506.5,14522.8,3202307.0,2599870.0,1691023.0,39241.363,1627200.0,909694.0,13275.7,181354.0,1861072.0,1663462.0,,189472.0,275856.4,1568303.0,109558.9,36856.12,26655985.0,4210000000.0,40801580.0,161749.0,1627312.0,718380.0,1692110.0,13689.41,484720900.0,5258751.0,,947394800.0,,,21571.5,37490.1,15215.7,578972.0,,17735394.0,271159.4,5972.771,,,,74186.41,,,594376.0,2643387.0,153559.0,,7202199.0,1071801.0,180748.2,106000000.0,84927.6,74137934.0,,191183.4,2789271.0,44628.64,28782.1,3773949.0,5436821.0,56715.2,692794.4,9724993.0,1869624.0,1026186.0,14230700.0,42341.92,1570000000.0,2903050.0
2002.0,,,425595.6,1288817.0,287987.0,338922.0,58846.81,,20232.93,,3021.6,23296.51,820512.0,104613.4,1517886.5,518046.0,101886000.0,22723599.0,11153000.0,450330000.0,18256842.3,15063.6,3250333.0,2595640.0,1698910.0,40848.994,3343700.0,934517.0,14182.6,184448.0,1883018.0,1693271.0,,196995.0,286517.6,1594285.0,113671.8,38985.84,27921824.0,4400000000.0,42682840.0,170946.0,1636417.0,717130.0,1696326.0,14587.81,484747200.0,5772781.0,,1020582300.0,,,23024.2,38702.9,16297.2,598171.0,,17692491.0,274521.3,6126.081,,,,77353.05,,,595672.0,2680592.0,161422.0,,7461242.0,1092572.0,182141.7,106000000.0,89685.8,77649187.0,,198596.7,2966208.0,46636.0,29761.5,3857833.0,5770899.0,57465.34,737165.3,10258057.0,1968204.0,947266.6,14472700.0,38680.78,1680000000.0,3010474.0
