Unnamed: 0,Albania,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Mongolia,EMDE Middle East & N. Africa,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Portugal,Paraguay,West Bank and Gaza,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,,7630491.0,65678.71,172759.6,,,,,,,2548.95,300284.3,1693.21,260185.4,109245.1,,305766.1,,,4369.397,,,724291.4,63510.23,491861.3,,10324.19,,2020927.0,,,39600.57,506130.0,434431.6,,,,,7887204.0,32406.89,,,,93307.93,,,,,466378.8,2835.186,1227005.0,,,121502.5,,683394.1,,,,,,,190288.7,1812490.0,,,,,,,,148641.9,72767.3,21799.48,,25262.63,,,4148.19,,,,,,22940.48,3621.603,,,,,78917.18,45559.95,,101085.3,49881.69,,,2434979.0,9741866.0,58630.4
1994Q2,,7690645.0,66636.64,174814.1,,,,,,,2544.555,304350.6,1706.491,263987.5,108178.0,,315767.6,,,4499.693,,,726026.1,64596.61,505156.6,,10328.39,,2047429.0,,,39944.27,511223.4,438421.0,,,,,7949381.0,32657.63,,,,95637.83,,,,,469754.1,2798.0,1220171.0,,,123484.9,,694609.7,,,,,,,194629.9,1836259.0,,,,,,,,150352.3,74469.67,21927.57,,25473.24,,,4114.893,,,,,,23202.72,3698.781,,,,,79725.0,45719.48,,94234.8,51511.24,,,2468012.0,9826215.0,59202.52
1994Q3,,7753070.0,69249.55,176174.4,,,,,,,2637.289,315638.8,1675.199,267362.4,109269.1,,325722.2,,,4533.122,,,731039.1,64968.34,515862.7,,10756.45,,2102423.0,,,40856.31,515757.4,442846.6,,,,,8013906.0,32929.77,,,,95814.07,,,,,472685.2,2840.809,1234363.0,,,125562.2,,713371.6,,,,,,,195723.4,1885581.0,,,,,,,,151490.9,73453.55,21963.36,,25255.84,,,4400.479,,,,,,23914.68,3822.502,,,,,80406.08,46034.09,,100445.3,52144.22,,,2482436.0,9933384.0,59868.24
1994Q4,,7821207.0,70400.82,178034.2,,,,,,,2601.22,328230.2,1690.135,269313.2,109888.6,,332648.5,,,4516.941,,,739917.0,66072.08,525778.9,,10759.6,,2145482.0,,,41884.96,520357.9,444778.1,,,,,8084336.0,33360.4,,,,96176.99,,,,,477122.6,2912.643,1229197.0,,,130497.3,,732199.9,,,,,,,197830.0,1924199.0,,,,,,,,152925.3,76369.19,22170.89,,25963.08,,,4526.694,,,,,,24268.63,3910.54,,,,,81835.19,47510.97,,99654.34,53185.39,,,2510839.0,10038240.0,60980.71
1995Q1,,7861812.0,66796.52,178057.0,74679.31,90323.28,7913.939,,,,2670.593,331223.7,1836.163,271816.4,109240.4,,341101.2,,,4675.784,3886.901,,737212.8,66630.69,541568.6,,10522.8,,2157062.0,244261.2,2642.537,41538.8,521913.5,447075.4,,,53607.3,,8126307.0,33586.41,,,24573.46,100851.1,,27826.96,1985.093,32983.29,483111.6,3022.088,1242989.0,,,133225.3,,720773.8,,,4898.862,8012.849,3302.498,,188722.8,1934585.0,,,,,,,,153966.1,75815.67,22475.03,,26472.24,,46651.31,4547.672,,28562.81,229279.2,,,24170.32,3897.619,6161.602,,12054.86,7813.469,82884.81,48959.57,,100844.7,53747.73,,,2519742.0,10090671.0,61133.16
1995Q2,,7905882.0,64249.17,178804.7,75262.0,90703.2,8846.22,,,,2664.46,326375.9,1734.689,271926.2,109603.4,,350979.7,,,4649.669,3961.724,,742621.2,66440.11,555130.3,512549.9,10823.77,,2162339.0,245781.7,2616.404,42654.61,525194.8,448005.2,,,54114.3,,8171645.0,33518.5,,,24529.49,102723.6,,28166.88,2032.498,33687.67,483450.9,3055.568,1254682.0,,,135918.9,,699277.9,,,5003.141,8096.893,3316.605,,177349.1,1939367.0,,,,,,,,155173.3,76480.58,22867.19,,26495.33,59088.56,47201.5,4672.674,,28697.26,230500.6,,,24897.12,3989.32,6403.218,,12329.85,7853.919,83272.99,50141.59,,107477.7,55070.6,,,2527221.0,10141834.0,61308.88
1995Q3,,7967134.0,66254.96,182847.5,75438.3,91247.02,8890.011,,,,2718.88,320910.6,1823.866,272284.5,110159.1,,360485.4,,,4649.345,3952.06,,743960.6,66717.11,565850.8,523811.7,10811.81,,2189937.0,246783.5,2607.542,42461.89,526002.5,452997.6,,,54405.64,,8242439.0,33461.87,,,24526.11,103527.4,,28368.1,2014.339,34068.01,485601.0,2986.797,1269391.0,,,138740.4,,699568.2,,,5003.761,8181.054,3280.329,,181135.8,1955663.0,,,,,,,,156393.7,78291.9,22938.76,,26635.49,66605.5,47406.21,4592.265,,29351.34,230011.9,,,25884.37,3947.307,6048.655,,12016.18,7880.011,83541.41,49933.74,,110338.4,55717.14,,,2548768.0,10229266.0,61715.67
1995Q4,,8005821.0,66951.01,182813.7,76181.05,91435.07,9677.608,,,,2757.604,322829.4,1941.294,273400.4,110039.2,,368170.0,,,4669.517,3918.929,,744253.9,67205.36,576739.8,514629.6,10747.53,,2201871.0,248637.1,2638.105,42482.76,525794.0,454407.6,,,54721.26,,8282417.0,33905.95,,,24425.58,104961.8,,28811.48,2015.513,34282.82,489622.6,2999.821,1272360.0,,,141335.6,,707496.4,,,5106.179,8268.639,3293.369,,185279.8,1966466.0,,,,,,,,157508.5,79262.49,23214.27,,27061.46,67538.0,47727.46,4576.297,,29060.37,223989.1,,,26136.58,3953.16,5809.77,,12392.95,7904.447,84524.7,50791.44,,106931.5,55621.0,,,2566042.0,10280000.0,61923.26
1996Q1,,8055251.0,66260.99,185824.5,76474.89,91250.83,9787.209,,,,2763.51,323411.9,1829.841,273588.5,110375.4,28246.08,377141.0,,,4667.847,3992.509,37036.08,738182.3,67215.34,588895.2,519087.3,10985.5,,2229568.0,250120.5,2661.738,43248.72,529638.5,457409.9,,,55018.32,,8334290.0,34434.32,,,24613.65,106688.6,,30015.42,2106.215,34702.07,491614.6,2988.144,1282932.0,,,144032.5,,712828.2,,,5171.648,8366.848,3284.834,,189605.7,1991274.0,,,,,,,,157689.4,80417.06,23337.36,,27882.86,68415.99,48104.45,4644.967,,29458.48,224197.9,,,27025.72,3958.921,6302.066,,12741.46,7986.728,85077.31,50884.8,,108705.5,57079.54,,,2585273.0,10354988.0,63070.39
