Unnamed: 0,Albania,Argentina,Armenia,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,North Macedonia,Malta,Mongolia,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,Saudi Arabia,Singapore,Serbia,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,Uzbekistan,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,,69475.88,,117987.0,,48248.0,,,,,6534.457,20068.22,2775.449,193164.0,102953.8,5791108.0,1081427.0,,18222000.0,390245.9,,,451160.0,242866.0,,,104296.0,,21769.0,289499.0,199797.0,,,,,254251.7,,,,107000000.0,,,,57366.87,223534.0,,1037.384,128000000.0,22385.58,,87852800.0,,,,,,,,440076.8,,,,,49271.69,,,77219.0,217887.0,21889.0,,462333.6,,18437.7,3408517.0,,101783.2,,26930.77,,,,430382.0,886948.0,,988.3,1631721.0,,,1778900.0,,131687.0
1994Q2,,71421.16,,119524.0,,49195.0,,,,,6618.762,67437.71,2836.578,195915.0,102163.8,6072393.0,1169292.0,,19457000.0,407250.6,,,453280.0,247083.0,,,105696.0,,22230.0,293373.0,200690.0,,,,,259666.8,,,,113000000.0,,,,59322.47,226912.0,,1074.399,127000000.0,68649.06,,91060000.0,,,,,,,,458455.1,,,,,51537.5,,,78291.0,222852.0,22013.0,,477680.7,,19015.9,3562171.0,,144581.1,,27429.7,,,,436629.0,902561.0,,1280.89,1683688.0,,,1811700.0,,133897.0
1994Q3,,72602.19,,123077.0,,49618.0,,,,,7155.319,126075.2,2803.118,200196.0,103152.8,6344172.0,1253289.0,,21004000.0,416009.2,,,458250.0,248687.0,,,107662.0,,22992.0,296396.0,203292.0,,,,,264835.5,,,,118000000.0,,,,62466.07,229758.0,,1131.692,128000000.0,132671.5,,94624000.0,,,,,,,,474857.9,,,,,54883.32,,,79283.0,225206.0,22323.0,,487723.8,,19164.0,3898536.0,,173658.8,,28749.85,,,,442879.0,923958.0,,1451.19,1711548.0,,,1832800.0,,136277.0
1994Q4,,74198.02,,122383.0,,50625.0,,,,,7332.074,128713.7,3004.775,202697.0,103741.2,6639618.0,1324231.0,,22041000.0,434586.4,,,466260.0,254651.0,,,109128.0,,23758.0,299976.0,207015.0,,,,,269950.3,,,,124000000.0,,,,68673.11,234098.0,,1190.703,128000000.0,210579.5,,98956500.0,,,,,,,,495675.5,,,,,56916.42,,,80444.0,231298.0,22834.0,,502539.2,,19932.1,4084215.0,,225838.6,,29358.94,,,,454445.0,975220.0,,1794.97,1752439.0,,,1863800.0,,143232.0
1995Q1,,73991.32,,124622.0,43461.0,52217.0,285.3936,,,,7652.31,166709.9,3287.098,205993.0,103267.8,7015597.0,1397676.0,,23572000.0,504827.6,1870.7,379714.0,466920.0,257437.0,,,112760.0,659.2,24022.0,301578.0,208657.0,,,22966.0,,273340.8,,3943.289,1310795.0,130000000.0,,13195.0,112824.0,74710.51,239204.0,,1195.111,129000000.0,205103.4,,103000000.0,,,1733.2,3597.0,991.5,,,531710.0,,,,,57944.75,,,81444.0,237804.0,23122.0,,513743.5,81145.86,21804.4,4257139.0,1744.6,274296.4,,29667.79,12191.27,4665.379,2522.1,466598.0,1025763.0,,2264.19,1768603.0,,,1880600.0,,148563.0
1995Q2,,70851.73,,126234.0,43989.0,52427.0,296.2322,,,,7801.743,173117.6,3264.956,207214.0,104068.7,7471035.0,1491962.0,,24694000.0,490797.2,1935.3,392093.0,473950.0,258016.0,,,114401.0,694.1,24804.0,304437.0,210748.0,,,23469.0,,276816.5,,3914.597,1421411.0,135000000.0,,13595.0,113776.0,77921.21,244655.0,,1204.609,130000000.0,245547.3,,108000000.0,,,1861.1,3809.5,1000.2,,,582999.4,,,,,60164.81,,,81085.0,239211.0,23628.0,,530749.3,84279.58,22156.2,4456880.0,1836.3,359554.7,,30586.64,13880.46,5245.093,2600.4,474989.0,1050494.0,,2626.23,1825788.0,,,1895300.0,,152472.0
1995Q3,,71435.1,,128895.0,44342.0,52944.0,314.9179,,,,8255.548,176880.0,3351.93,208244.0,105023.4,7744708.0,1576795.0,,25770000.0,510119.9,1930.5,406827.0,476650.0,258632.0,,,115628.0,726.9,24809.0,305934.0,214616.0,,,23989.0,,280781.4,,3755.67,1487581.0,139000000.0,,13797.0,116048.0,81332.16,250117.0,,1175.715,131000000.0,262922.4,,112000000.0,,,2027.2,3818.4,1017.1,,,634640.6,,,,,60724.11,,,83211.0,241335.0,23826.0,,555950.5,89066.21,22401.6,4512425.0,1925.9,432002.6,,31742.74,15190.34,4890.857,2688.0,479865.0,1058697.0,,2979.79,1882093.0,,,1920800.0,,158234.0
1995Q4,,72392.68,,131470.0,44802.0,52906.0,370.7928,,,,8537.34,188626.5,3401.144,210170.0,105052.0,8004368.0,1632432.0,,26896000.0,568824.2,1941.8,416356.0,477710.0,262399.0,,,117799.0,778.7,24914.0,307401.0,217824.0,,,24498.0,,287140.7,,4129.689,1603675.0,145000000.0,,14048.0,118192.0,83147.38,256198.0,,1214.119,132000000.0,327334.4,,113000000.0,,,2137.1,4009.8,1045.2,,,691726.2,,,,,63315.39,,,83913.0,244788.0,24206.0,,572664.9,88027.64,22666.4,4542174.0,2056.2,452654.7,,32383.12,17916.99,4951.04,2784.3,485497.0,1081222.0,,3429.43,1914578.0,,,1943200.0,,163632.0
1996Q1,,74195.0,,133169.0,44975.0,53186.0,379.4749,,,,8946.416,200161.9,3554.298,211052.0,105009.1,7819586.0,1686602.0,,28404000.0,575150.2,1970.8,443105.0,473950.0,264504.0,,,119460.0,831.9,25139.0,311166.0,221433.0,951.2723,,25140.0,,295462.4,,4120.622,1676909.0,149000000.0,,14593.0,123704.0,86711.12,258708.0,67832.61,1221.458,132000000.0,316509.1,,118000000.0,,,2256.0,4118.1,1095.3,,,748553.5,,,,,66425.17,,,84409.0,256521.0,24559.0,,595781.4,99302.31,22931.5,4821483.0,2425.0,497561.0,,33656.88,23773.96,5262.894,2884.8,491864.0,1101754.0,,3971.52,1930776.0,,,1967100.0,,167178.0
