Unnamed: 0,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,Uzbekistan,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,,22967936.0,287985.5,,353606.0,,238235.1,,,,,5986.25,501247.8,4275.107,579805.3,302123.1,59204.65,561110.1,,97666.02,10545.21,,,2203683.0,156695.6,1077184.0,761356.1,,,4243059.0,514341.0,,109433.5,1420931.0,1242717.0,,,,,23535388.0,135690.8,,,,213744.3,,,,82908.98,1101841.0,,6342.964,5005497.0,11257.36,,464970.5,,,,,,,,,,552296.1,3791330.0,,,,,,81198.72,,,379875.1,127499.3,52919.76,,73593.97,,92283.74,7997.22,,293409.3,,,73789.03,7672.696,,,,,229226.8,146648.7,,187435.5,256486.6,,,7287200.0,,27503986.0,153638.5
1995.0,,25377268.0,288445.6,,378884.1,234147.2,279073.1,18835.81,,,,6706.21,769325.2,4810.163,606235.3,353628.8,76286.83,730549.7,,110662.6,11549.39,10181.85,60316.61,2512880.0,185139.1,1326833.0,919898.1,,,4896414.0,610725.9,3792.779,130680.3,1616673.0,1344658.0,,,125876.2,,26015633.0,144553.5,,20871.78,46333.1,244750.7,,72453.46,7124.517,105377.9,1313090.0,,6842.563,5568133.0,17018.62,,568759.2,,1785815.0,,,10295.39,20207.94,5375.492,,,380627.7,4365701.0,,,,,,96626.9,,,437062.5,152076.6,62225.4,,84608.67,141897.8,118048.7,9481.28,37375.08,333055.7,,,87812.33,8918.071,,,26202.81,14051.74,267784.2,169203.1,,244501.4,279349.1,,,7639900.0,,30560726.0,171768.0
1996.0,,25509667.0,304147.1,,424859.5,235571.2,276710.5,13731.15,,,,7384.342,849442.4,4894.608,630652.6,340386.3,78497.54,860300.8,,116303.8,11656.37,10303.53,67349.87,2482683.0,187709.2,1525625.0,1036264.0,,,5450366.0,631677.2,4743.671,131814.4,1617658.0,1422403.0,3155.152,,135259.9,,26168802.0,159496.8,,22327.87,46702.07,276636.4,287155.1,77562.28,7423.071,115024.6,1350244.0,7456.47,7043.859,4924946.0,20136.24,,612411.8,,1953981.0,,,12527.64,20717.27,6033.211,,,431646.3,4877703.0,,,,,,109845.5,,,444993.7,163421.9,69111.06,,94617.03,159073.4,121829.6,9846.777,36407.13,419741.1,,,96317.46,9585.25,,,28425.22,15704.81,291905.2,182968.0,,249361.2,292622.6,,,8073200.0,,31170269.0,163901.2
1997.0,,24998273.0,327360.2,,425706.5,213672.2,253533.2,11333.61,,,,7929.07,883740.9,5030.991,654886.2,295018.0,85652.59,959656.3,,127698.8,12572.56,9472.849,62373.63,2222262.0,173656.6,1594687.0,1070164.0,,,5905156.0,587421.2,5161.265,125318.0,1463222.0,1562627.0,3602.65,,131289.2,,25658142.0,177253.2,,22195.08,47223.58,271646.9,407935.9,78366.52,7583.729,119409.3,1237164.0,8439.535,7393.805,4494175.0,21274.15,,576713.1,,2136833.0,,,13248.19,19622.44,6099.908,,,523205.5,5306040.0,,,,,,110338.6,,,417758.5,161412.0,68755.56,,94744.62,160073.3,115762.3,10018.95,35066.7,434542.7,423669.0,,100206.5,10220.37,6944.156,,27627.56,15632.86,268414.0,156986.3,,266212.8,304087.1,,26780.02,8577600.0,,31052869.0,169054.9
1998.0,,25108975.0,334260.9,,381151.6,218731.2,259192.9,15015.97,,,,8489.554,865052.8,4795.283,634542.6,303522.6,81996.97,1027463.0,,118128.8,13675.8,10099.2,67051.12,2242368.0,177239.9,1413341.0,1013697.0,,,5642766.0,619891.0,5684.47,134274.8,1507115.0,1654681.0,3718.461,,140791.9,,25791244.0,169037.7,,24212.45,48586.56,116556.3,411569.4,89844.85,8505.609,120699.0,1267885.0,8873.074,8153.955,4119003.0,21206.93,,386712.1,,2151013.0,,,14504.73,20217.71,6707.235,43107.67,,558044.5,5030151.0,,,,,,78776.86,,,439660.3,154133.4,56768.51,,74735.08,175455.7,124134.7,9341.502,41322.18,331968.5,427442.7,,85946.23,10933.63,24143.21,,29712.11,17053.7,270857.8,114644.2,,272816.0,280659.3,,28249.89,9062800.0,,30929381.0,153973.3
1999.0,,26422731.0,317282.4,,411775.7,216935.3,258284.7,13587.52,,,,8312.915,600175.2,5444.291,678785.9,297691.9,75484.63,1092785.0,11556.76,103518.8,14314.1,10373.23,64951.82,2191242.0,177962.1,1562592.0,834311.8,,,5395229.0,634965.8,5759.822,135309.3,1492460.0,1687885.0,2902.543,,144745.7,,27102742.0,165709.3,,23787.75,48915.21,170268.0,439817.8,98776.27,8978.728,121155.6,1251011.0,8919.451,8391.277,4660601.0,17696.05,,497892.0,,1908607.0,,,13550.85,21884.31,6675.909,42714.31,,632605.8,4810976.0,,,,,4566.361,86138.99,,,447076.6,162306.4,58862.1,,85556.01,170994.8,127502.6,8836.607,35619.43,206382.7,456780.5,,86334.05,11283.6,20492.58,,30429.36,18200.56,273752.3,126556.0,,252319.5,304048.0,,26750.76,9631300.0,,32053143.0,151428.6
2000.0,,26863103.0,318030.4,2105.325,399300.9,197268.8,236668.1,13258.57,,5616.096,,8442.653,655276.1,5684.571,744760.7,279406.6,78263.55,1210043.0,10554.32,99232.18,15060.62,9778.695,61871.75,1948056.0,164287.6,1704215.0,929022.9,18318.601,,5857360.0,597780.6,5687.934,125889.5,1366495.0,1668224.0,3146.914,,132718.3,,27553386.0,171661.4,7196.146,22094.07,47124.46,180427.4,461904.6,99697.16,9022.32,136195.6,1147810.0,9129.129,8696.855,4969890.0,18153.97,,575998.0,,2080657.0,,,12309.23,21210.86,6336.334,39782.69,,740951.3,5250919.0,3816.03,3832.176,,,4910.427,102118.3,,,417249.6,171517.2,53982.13,,83825.13,174958.1,118518.9,8838.908,36921.4,277982.2,479719.2,,96022.82,11782.8,11745.45,,29130.48,17439.85,263225.2,126396.2,22582.48,272905.9,330765.4,,25411.43,10251000.0,,32927447.0,151943.9
2001.0,,26589293.0,300746.3,2323.312,377506.1,197454.1,236738.7,14208.11,,5822.625,,8146.057,564039.0,5507.103,739134.4,286928.2,71751.45,1338954.0,10944.26,97598.65,15967.14,10223.86,67923.42,1948529.0,164819.4,1815667.0,947711.9,24468.324,50961.85,5936696.0,627795.8,6253.898,129537.2,1378644.0,1650958.0,3310.611,,137387.2,18452.08,27296650.0,169398.4,7658.722,23054.48,53684.43,175044.6,472899.0,109175.5,8227.873,134650.9,1167639.0,9250.707,9244.099,4379903.0,21467.59,,548243.0,,2023302.0,,,12697.9,21381.09,6682.666,40560.61,,797090.4,5305771.0,3748.367,3836.788,,,4849.446,101065.8,,,431710.8,174346.6,53077.67,,78938.37,194128.3,121596.0,8541.116,39865.17,327762.2,491137.6,,89897.01,12280.23,12973.9,,30707.44,19040.39,242611.2,120167.3,23191.95,205895.9,299583.4,37795.61,23375.51,10582000.0,,32720065.0,136481.4
2002.0,,27765363.0,116411.6,2570.239,425494.7,214550.2,258486.6,16519.2,,6790.529,,7914.5,521726.3,5421.358,760432.5,310987.6,70272.07,1469089.0,12417.74,97644.18,16584.38,11237.05,82655.73,2082456.0,179475.3,2012449.0,1062210.0,28548.945,98677.28,6113512.0,709296.9,7406.619,140430.3,1503610.0,1791774.0,3492.996,,155582.9,20458.84,28503019.0,166314.2,7860.298,26762.01,67858.33,213459.6,495358.3,128627.6,9378.856,125113.4,1276650.0,9724.238,9974.6,4194996.0,22981.76,,629085.7,,1799972.0,,,14373.88,23632.41,7961.261,43490.48,,810002.7,5459029.0,4044.961,4269.542,,,5085.686,109752.8,,,474111.9,197352.4,62121.69,,84251.51,199069.8,134816.9,7260.542,45530.69,368999.4,514463.1,,92578.57,12655.48,17131.08,,35280.81,22350.75,268618.3,134237.8,24347.68,237363.0,307891.3,42145.44,16028.95,10929200.0,,34086879.0,130363.1
