Unnamed: 0,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia,Brazil,Botswana,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Georgia,Ghana,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Ukraine,Uruguay,United States,Uzbekistan,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,,5463382.0,69543.77,,83534.89,,54833.3,,,,,1449.383,96556.84,1077.83,143953.9,70881.54,13471.31,124729.6,,22286.42,2559.401,,,512738.2,36158.63,244890.8,199198.1,,,1014111.0,118531.2,,24740.22,329012.3,297464.5,,,,,5593087.0,32898.77,,,,50304.03,,,,19292.34,254043.8,,1473.325,1185706.0,1960.645,,108667.1,,,,,,,,,,138465.7,907820.9,,,,,,18036.51,,,87758.51,29278.41,12466.96,,16742.95,,20954.23,1898.9,,64723.53,,,16928.1,1792.0,,,,,53819.31,34895.04,,53804.89,61753.22,,,1778900.0,,6547263.0,38332.43
1994Q2,,5637377.0,71511.61,,86619.18,,58009.52,,,,,1436.244,111994.3,1062.967,141750.0,72583.88,14346.26,134842.9,,23334.26,2640.318,,,534496.5,37974.59,260165.7,195587.7,,,1054436.0,124634.1,,26213.06,345938.2,302013.5,,,,,5771678.0,33600.39,,,,52101.98,,,,19808.06,267569.0,,1530.848,1232768.0,2087.987,,113245.2,,392629.5,,,,,,,,137060.7,943503.6,,,,,,19575.46,,,92318.81,30940.73,12798.64,,17653.08,,22423.08,1930.94,,77097.07,,,17736.59,1864.722,,,,,56022.2,35798.31,,39120.19,63035.56,,,1811700.0,,6762197.0,37100.53
1994Q3,,5871817.0,72667.01,,90976.77,,61831.82,,,,,1536.54,140323.0,1023.951,145978.1,78636.79,15166.92,145919.4,,25574.36,2652.693,,,571051.5,40424.27,277754.3,212020.8,,,1140446.0,134163.8,,28651.64,369356.0,315297.8,,,,,6011938.0,34273.59,,,,54638.26,,,,20855.15,286314.6,,1631.274,1293507.0,2965.276,,118270.5,,430934.2,,,,,,,,139909.3,1020893.0,,,,,,21340.15,,,98799.07,32917.65,13440.7,,18676.98,,23881.35,2040.768,,80236.2,,,19132.91,1967.029,,,,,57716.39,36972.39,,45043.68,64824.33,,,1832800.0,,7077128.0,37763.5
1994Q4,,5981450.0,74263.12,,92475.19,,63560.5,,,,,1564.084,152373.6,1110.36,148123.2,80020.85,16220.16,155618.2,,26470.98,2692.802,,,585396.9,42138.08,294288.3,206759.4,,,1179395.0,137012.0,,29828.55,376624.7,327941.4,,,,,6124993.0,34918.01,,,,56700.06,,,,22953.43,293913.8,,1707.517,1293517.0,4243.449,,124787.7,,444642.6,,,,,,,,136860.3,1055104.0,,,,,,22246.6,,,100998.7,34362.47,14213.46,,20520.96,,25025.07,2126.611,,71352.54,,,19991.43,2048.945,,,,,61668.93,38983.0,,49466.69,66873.45,,,1863800.0,,7223384.0,40442.03
1995Q1,,6128813.0,73952.95,,93225.86,55905.31,67168.45,4291.536,,,,1617.493,194221.2,1213.15,146486.6,83150.04,17133.2,165708.8,,27591.54,3012.94,2406.343,14056.94,600614.6,43921.76,308712.3,203006.8,,,1192445.0,145046.9,847.9507,30900.29,387929.7,330262.6,,,29541.92,,6276429.0,35343.61,,5072.382,11582.14,58510.31,,16973.16,1704.898,25055.19,307696.0,,1719.014,1339494.0,3569.642,,131712.8,,440594.1,,,2229.472,4626.939,1275.399,,,88802.57,1065879.0,,,,,,22726.82,,,104764.1,36483.9,14811.86,,20445.06,33807.48,28047.72,2369.148,9705.701,64165.93,,,20582.15,2144.395,,,6001.23,3244.26,63274.85,41091.0,,55057.31,67453.29,,,1880600.0,,7388544.0,41663.65
1995Q2,,6494937.0,70791.95,,91846.37,59198.87,70554.43,4506.227,,,,1634.874,191137.9,1186.165,151119.4,90180.47,19566.07,178753.4,,28228.47,2786.915,2604.459,15104.02,637825.4,47167.6,327382.4,221967.0,,,1241971.0,153956.9,934.0957,33380.36,409700.7,336768.5,,,31583.76,,6651314.0,35789.97,,5268.128,11544.48,60712.19,,18295.68,1796.665,26161.8,329248.2,,1745.847,1537098.0,3874.815,,142034.5,,444227.3,,,2504.604,5126.693,1346.034,,,95345.49,1108614.0,,,,,,24433.45,,,109121.4,38337.58,15799.42,,20582.97,35761.19,29817.04,2506.505,9614.733,72819.63,,,21910.92,2235.175,,,7058.664,3499.528,65104.61,42656.2,,61073.62,71437.88,,,1895300.0,,7811933.0,41899.41
1995Q3,,6389783.0,71373.63,,95488.22,59060.32,70517.56,4684.561,,,,1708.797,188147.7,1201.192,153633.0,89007.41,20031.66,189762.9,,27702.03,2777.903,2571.286,15392.18,634863.2,46523.26,340287.9,253363.8,,,1300844.0,154008.1,968.178,33043.79,407481.9,337728.8,,,31951.61,,6546061.0,36281.74,,5002.279,11431.84,61711.12,,18376.6,1799.414,26951.04,333137.7,,1666.463,1394039.0,4313.422,,147071.0,,448727.0,,,2700.083,5085.831,1354.703,,,102140.7,1164167.0,,,,,,24480.78,,,110831.0,38288.14,15784.37,,21627.65,36773.33,29837.3,2295.264,9413.946,96664.64,,,22447.11,2251.52,,,6514.266,3580.221,66824.86,42451.65,,64088.64,69898.26,,,1920800.0,,7750907.0,43406.45
1995Q4,,6363844.0,72327.08,,98323.66,59982.69,70832.65,5353.488,,,,1745.046,195818.4,1209.656,154996.3,91290.92,19555.89,196324.5,,27140.6,2971.633,2599.759,15763.47,639577.1,47526.47,350346.0,256597.9,,,1319074.0,157714.0,1042.554,33355.85,411560.6,339898.3,,,32798.89,,6517656.0,37138.2,,5528.991,11774.64,63817.12,,18808.02,1823.54,27209.89,343008.0,,1711.24,1297501.0,5260.742,,147940.9,,448797.6,,,2861.234,5368.479,1399.355,,,94338.97,1184400.0,,,,,,24985.85,,,112346.0,38967.01,15829.75,,21953.0,35555.83,30346.67,2310.363,8640.703,99405.53,,,22872.15,2286.981,,,6628.648,3727.731,72579.89,43004.26,,64281.81,70559.69,,,1943200.0,,7738925.0,44798.53
1996Q1,,6317475.0,74152.22,,100737.9,58995.69,69766.42,5057.571,,,,1796.529,204173.8,1222.191,154146.8,88242.48,19058.47,202700.2,,27628.17,2894.541,2585.185,16354.26,621701.1,46622.98,360042.4,262373.0,,,1356898.0,156700.9,1091.24,32975.93,408170.1,339253.4,775.4457,,32977.24,,6473798.0,38217.39,,5405.201,11640.21,64586.51,,19142.28,1872.494,27855.54,339358.7,1718.105,1721.51,1251197.0,4910.479,,151413.6,,465517.9,,,2959.294,5401.893,1436.753,,,99627.88,1217299.0,,,,,,26080.25,,,110723.0,40001.43,16519.79,,22768.84,39055.03,30080.26,2421.871,8810.417,104485.0,,,23813.87,2332.89,,,6903.569,3784.119,72585.32,43638.03,,61496.64,70453.0,,,1967100.0,,7721846.0,44323.1
