Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Thailand,Turkey,"Taiwan, China",United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,0.747586,,0.786673,,,,0.70559,,,,,0.737252,,,,,,0.715196,,,,,,0.963763,,,0.885823,,,,0.652491,,0.637533,0.987457,,0.694086,,,,0.828275,0.816746,0.807898,0.5685,0.723591,,,,0.882824,,,0.56329,32.43291,0.782681,0.752411,1.153633,,0.610818
1995.0,0.814952,,0.825113,,0.486857,,0.721794,,,,,0.813332,,0.969743,,,,0.821707,,0.7945,,,,1.011798,,,1.016991,1.160871,,,0.708503,,0.702766,1.042291,,0.732195,,,,0.891727,0.912988,0.891547,0.62254,0.795846,,,,0.949901,,,0.639934,23.4399,0.861722,0.786357,1.230836,,0.651881
1996.0,0.800034,,0.825254,,0.495243,,0.724709,,,,,0.795831,,0.996776,,,,0.802683,,0.771921,,,1.61531,0.999341,,,0.978764,1.088744,0.642167,,0.669869,,0.678557,1.020439,,0.734886,,,,0.873128,0.888866,0.910209,0.641771,0.856426,,,,0.916887,,,0.750963,12.63781,0.809584,0.794371,1.288609,,0.60229
1997.0,0.754917,,0.781773,,0.474038,,0.690758,0.766295,,,,0.722396,,0.865466,,,,0.728502,,0.68231,,0.977899,1.457541,0.974855,,,0.862004,0.963653,0.566922,0.518123,0.647193,,0.63421,1.009406,,0.739204,,,,0.777247,0.79745,0.866138,0.615459,0.908056,,,,0.842352,,,0.741669,6.251312,0.76491,0.774629,1.259254,1.315033,0.593502
1998.0,0.719231,,0.71708,,0.479886,,0.652606,0.737713,,,0.594307,0.688519,,0.845489,,,,0.700513,0.629039,0.647521,,0.941277,1.321774,0.926753,,0.357901,0.867549,0.826813,0.53863,0.513165,0.570789,,0.545623,0.977893,,0.734253,,,,0.735351,0.740005,0.728156,0.578787,0.846307,,,,0.741172,,,0.670938,3.414427,0.661198,0.728043,1.086433,1.201153,0.549018
1999.0,0.702568,,0.720077,,0.471055,,0.651492,0.732587,,,0.563248,0.655769,,0.740979,,,,0.670161,0.604367,0.623661,0.616803,0.904327,1.260741,0.90649,,0.463777,0.856013,0.734345,0.516584,0.499088,0.596397,0.218991,0.564601,0.929737,,0.727804,,,,0.691122,0.687348,0.734287,0.576625,0.871024,0.580491,,,0.742708,,,0.644903,2.014132,0.656367,0.734232,0.931174,1.145735,0.547954
2000.0,0.70898,,0.706656,,0.496117,,0.653035,0.745107,,,0.565459,0.625783,,0.689818,,,,0.654613,0.555247,0.603755,0.58409,0.871302,1.353389,0.909943,,0.474081,0.718115,0.768338,0.510394,0.510873,0.656742,0.259695,0.638078,0.918065,,0.749075,,,,0.639484,0.630627,0.734907,0.606813,0.814034,0.562757,,,0.794911,,,0.669535,1.400048,0.709054,0.781991,0.947129,1.221669,0.570914
2001.0,0.680242,,0.666348,,0.484964,0.787599,0.631687,0.737221,,,0.565361,0.610661,,0.657593,,,,0.629633,0.54208,0.569126,0.576634,0.814788,1.297248,0.880654,,0.43641,0.664659,0.734727,0.4979,0.522474,0.596978,0.326668,0.579361,0.907382,,0.753389,,,0.713827,0.610234,0.610984,0.689764,0.588402,0.742249,0.564146,,,0.757258,,,0.674493,0.762345,0.647562,0.754235,0.891143,1.174772,0.5339
2002.0,0.681116,,0.667881,,0.511387,0.671203,0.611111,0.729004,,,0.603336,0.631011,,0.633955,,,,0.643668,0.569978,0.582882,0.587316,0.820116,1.366978,0.846416,,0.464985,0.651026,0.651084,0.521536,0.533701,0.571439,0.337292,0.561273,0.862841,,0.750483,,173.8833,0.704517,0.614957,0.643005,0.713706,0.578563,0.740162,0.573923,,,0.741484,,,0.676605,0.568867,0.635815,0.735536,0.863002,1.232019,0.53468
