Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Thailand,Turkey,"Taiwan, China",United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,0.712987,,0.765748,,,,0.690672,,,,,0.691106,,,,,,0.673627,,,,,,0.948103,,,0.830886,,,,0.61069,,0.603356,0.994229,,0.684881,,,,0.778126,0.77576,0.769837,0.547704,0.670218,,,,0.839435,,,0.532422,45.72415,0.749711,0.736252,1.118846,,0.595989
1994Q2,0.734313,,0.78381,,,,0.701646,,,,,0.720951,,,,,,0.697209,,,,,,0.954626,,,0.865242,,,,0.640973,,0.622715,0.993449,,0.689053,,,,0.814626,0.795381,0.792218,0.555456,0.736165,,,,0.867885,,,0.55245,27.24392,0.770463,0.746938,1.143147,,0.592343
1994Q3,0.760895,,0.793604,,,,0.727023,,,,,0.762313,,,,,,0.735005,,,,,,0.968611,,,0.914797,,,,0.67534,,0.654599,0.997206,,0.695888,,,,0.861577,0.838166,0.820407,0.579606,0.763196,,,,0.904415,,,0.587465,29.6831,0.793524,0.761272,1.165697,,0.622992
1994Q4,0.778799,,0.803531,,,,0.703018,,,,,0.77464,,,,,,0.754941,,,,,,0.983712,,,0.932366,,,,0.682962,,0.669464,0.968388,,0.706521,,,,0.85877,0.857677,0.849132,0.591234,0.724785,,,,0.91956,,,0.580824,27.08047,0.817027,0.765181,1.186844,,0.63195
1995Q1,0.799523,,0.811631,,0.472744,,0.704047,,,,,0.795459,,0.92786,,,,0.793423,,0.776055,,,,0.997205,,,0.976759,1.140838,,,0.704077,,0.688756,1.009111,,0.72308,,,,0.87381,0.888266,0.876859,0.60316,0.751503,,,,0.94549,,,0.604677,25.3026,0.852978,0.778994,1.203556,,0.64738
1995Q2,0.829935,,0.834,,0.491092,,0.725995,,,,,0.823578,,0.962962,,,,0.840756,,0.809742,,,1.58851,1.01789,,,1.03561,1.193474,,,0.74945,,0.71888,1.039628,,0.733908,,,,0.90303,0.927907,0.900681,0.629398,0.796788,,,,0.971588,,,0.635216,25.29434,0.894633,0.792546,1.222972,,0.656416
1995Q3,0.818808,,0.831513,,0.486339,,0.728395,,,,,0.815617,,0.985895,,,,0.824291,,0.7938,,,1.540193,1.020333,,,1.014057,1.164099,,,0.704273,,0.710187,1.065161,,0.736489,,,,0.890075,0.922954,0.902685,0.63059,0.808181,,,,0.947603,,,0.642525,23.26802,0.861223,0.789419,1.240422,,0.649757
1995Q4,0.811434,,0.823308,,0.497256,,0.728738,,,,,0.818676,,1.002256,,,,0.828357,,0.798405,,,1.536856,1.011764,,,1.041538,1.145073,,,0.676214,,0.693242,1.058176,,0.735304,,,,0.899992,0.912826,0.885965,0.627013,0.826912,,,,0.934924,,,0.677319,19.89464,0.838054,0.784467,1.256393,,0.653969
1996Q1,0.803976,,0.828468,,0.496321,,0.738683,,,,,0.805973,,1.014149,,,,0.818256,,0.784791,,,1.641281,1.01184,,,1.011698,1.128531,0.665808,,0.664553,,0.672942,1.038556,,0.734038,,,,0.879211,0.901981,0.910246,0.640429,0.815053,,,,0.929669,,,0.729466,15.97913,0.831764,0.793589,1.27973,,0.638626
