Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Chile,China,Czech Republic,Germany,Denmark,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Thailand,Turkey,United States,Viet Nam,World (WBG members)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,302480.5,,4907.498,,,,3726.028,,,,43028.2,,,,,,10063.68,,,,310483.9,13269.79,,,2190.482,,,,,31081.15,,12228.68,15531.35,,8626.369,,,,,2739.49,1093.115,,2315.543,,,,9356.82,,,7153.145,54.85036,65601.58,,
1994M01,282123.2,,4458.177,,,,2520.692,,,,37812.91,,,,,,7767.725,,,,289588.0,11042.27,,,2253.136,,,,,32118.3,,12360.79,13332.52,,8082.931,,,,,2310.125,904.4647,691.378,2540.969,,,,8738.783,,,7448.349,40.06232,62632.35,357.7644,
1994M02,280670.6,,4126.741,,,,2871.043,,,,39922.32,,,,,,9457.883,,,,288097.0,10790.39,,,2487.784,,,,,30077.66,,10852.72,14505.56,,8773.867,,,,,2536.858,1017.776,643.8672,2080.687,,,,7637.066,,,6888.443,37.98905,62552.72,387.3236,
1994M03,331663.4,,5406.229,,,,3180.776,,,,47162.95,,,,,,10658.26,,,,340439.0,13076.41,,,2670.947,,,,,35169.49,,13274.54,15763.77,,9409.819,,,,,3266.283,1168.117,764.1028,2408.295,,,,9361.59,,,8706.077,51.02247,73213.13,356.0425,
1994M04,314041.6,,4656.813,,,,3007.729,,,,41493.82,,,,,,11248.12,,,,322350.9,13827.51,,,2479.078,,,,,34167.91,,12860.42,14794.27,,8793.244,,,,,2865.385,998.3514,732.392,2541.394,,,,10007.99,,,7567.839,62.10877,68429.64,395.1059,
1994M05,317749.9,,5159.735,,,,3589.517,,,,44180.3,,,,,,10070.74,,,,326157.3,14171.44,,,2416.95,,,,,32879.55,,13289.99,16449.5,,9540.219,,,,,2548.772,1251.678,805.9005,2472.232,,,,9609.681,,,7829.016,57.13316,69853.67,371.2887,
1994M06,329698.6,,5072.508,,,,3513.409,,,,43787.35,,,,,,11658.06,,,,338422.2,14926.14,,,2397.455,,,,,34215.41,,12882.84,16764.98,,9976.546,,,,,2767.009,1119.009,712.947,2778.426,,,,9630.012,,,8576.904,59.65637,74701.84,461.7759,
1994M07,317569.9,,5354.892,,,,3388.901,,,,42607.98,,,,,,9948.59,,,,325972.6,14576.01,,,2180.785,,,,,32945.67,,12732.12,15558.5,,9057.69,,,,,2827.762,1270.371,734.2091,2362.914,,,,9882.358,,,7591.361,51.7605,70989.6,448.7556,
1994M08,327049.3,,6174.999,,,,3731.479,,,,40532.55,,,,,,7867.179,,,,335702.8,14562.16,,,2261.879,,,,,36635.06,,12915.25,17233.5,,10005.04,,,,,2747.556,1309.014,863.3063,2303.81,,,,9940.094,,,8169.238,61.8493,76499.08,424.5978,
