Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Thailand,Turkey,"Taiwan, China",United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,4339212.0,,63266.16,,,,46416.46,,,,,520327.9,,,,,,124808.1,,,,,,167313.9,,,29761.64,,,,422284.8,,160455.2,198890.6,,114141.2,,,,,33604.8,14621.94,9615.354,29322.51,,,,115913.1,,,96619.86,745.3398,108765.1,880205.7,4988.825,,
1995.0,4746594.0,,69578.4,,317165.1,,69384.06,,,,,553823.3,,,,,,139127.2,,36032.54,,,,190370.9,,,34085.86,24094.79,,,474726.1,,192532.0,211156.1,,98879.25,,,,,36120.26,15630.01,12404.23,33252.8,,,,130852.9,,,110515.4,1545.059,119856.9,945488.2,6696.583,,
1996.0,5043079.0,,74479.24,,327441.0,,73386.48,,,,,572928.0,,,,,,149308.5,,39821.07,,,5158468.0,198654.3,,,37538.59,27168.42,333222.8,,521364.7,,222160.0,242082.2,,121493.6,,,,220325.1,40066.21,16197.19,12248.15,37893.76,,,,143179.7,,,96369.71,3561.926,126171.5,1001349.0,8649.249,,
1997.0,5452834.0,,79165.6,,332424.0,,87283.54,261471.1,,,,618475.4,,,,,,166569.3,,44893.15,,310834.7,5577598.0,213796.4,,,43125.14,29788.66,368098.5,7952.153,522730.3,,228471.4,291348.3,,148137.2,,,,244241.0,44860.63,16780.86,13860.11,39726.64,,,,157025.4,,,85439.13,8137.803,149326.2,1122922.0,9289.554,6955741.0,
1998.0,5723316.0,,84734.3,,343508.6,,90161.52,277002.9,,,47830.78,684936.0,,,,,,189743.2,6275.593,50038.91,,334289.7,5854270.0,199728.6,,78272.8,51044.04,32745.23,403931.3,7503.309,491198.5,,171673.9,321306.2,,170522.3,,,,271736.7,50631.91,17145.59,14229.33,35478.16,,,,137335.8,,,64187.71,13614.72,158237.8,1252421.0,10261.01,7235848.0,
1999.0,6180591.0,,90727.13,,349559.8,,77244.66,300169.3,,,49731.46,722769.8,,,,,,215480.5,5681.899,50717.38,466629.4,357327.5,6324656.0,197606.0,,52086.8,55277.05,41692.84,425917.0,7367.863,521351.5,,211472.4,331052.7,,194366.5,,,,293361.9,49713.46,19425.24,11641.2,35552.91,,,,148972.4,,,77803.98,20615.95,167930.0,1392829.0,12428.71,7771486.0,
2000.0,6859608.0,,95892.12,,357377.9,,87409.49,326966.3,,,56836.63,792811.3,,,,,,233963.4,7648.18,56354.04,522888.1,393971.5,7021249.0,233746.0,,71172.7,70717.9,45868.57,467860.5,8917.824,577151.2,19330.23,251484.4,387966.1,,232397.3,,,,332077.9,54566.49,18949.46,12141.39,42574.32,87328.68,,,169056.6,,,92228.33,39193.86,197240.0,1555711.0,16262.37,8698332.0,
2001.0,6856829.0,,91353.96,,369107.3,,89747.97,306213.1,,,64607.53,796234.7,,15502.0,,,,244707.0,7963.352,56564.23,523604.5,422900.7,7020658.0,229534.7,,71800.96,76160.4,44509.78,474914.0,9344.816,584922.6,19525.13,244216.0,380694.1,,223705.7,,,103567.9,341605.0,53978.45,19303.43,12272.45,44447.42,89446.79,,,153695.0,,,91817.86,58356.8,168179.7,1513121.0,17966.25,8711374.0,
2002.0,7044254.0,,103895.5,,388216.3,11417.18,79164.05,311212.7,,,67417.12,776810.0,,19304.55,,,,254118.1,8427.876,57813.82,531037.8,443281.4,7216853.0,245019.3,,67201.06,79733.27,50002.05,473614.4,9536.766,591168.2,19255.12,270963.7,370008.0,,224648.5,,28841.31,113005.9,336694.6,54281.62,21033.89,12770.49,52708.23,95992.88,,,158192.6,,,95441.5,90955.04,179233.9,1577213.0,22487.37,8989976.0,
