Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Thailand,Turkey,"Taiwan, China",United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,339736.2,,5096.379,,,,3373.727,,,,,41204.26,,,,,,9646.741,,,,,,12749.47,,,2330.571,,,,33286.06,,12128.52,14651.75,,8446.045,,,,,2639.263,1142.507,,2227.444,,,,9081.419,,,7576.762,44.69002,9067.587,68980.4,,,
1994M01,333764.2,,4708.824,,,,2936.533,,,,,38704.32,,,,,,8885.203,,,,,,12446.68,,,2242.663,,,,34691.4,,12915.26,14415.11,,8692.337,,,,,2547.493,1077.444,704.8617,2597.216,,,,9027.439,,,7820.843,44.95127,9046.627,67553.36,353.2407,,
1994M02,343565.0,,4716.602,,,,3352.63,,,,,41891.61,,,,,,10118.98,,,,,,13206.31,,,2495.905,,,,34301.18,,11865.09,15712.75,,9377.748,,,,,2694.078,1129.516,713.6273,2248.202,,,,8533.673,,,7607.529,44.23627,8783.098,69567.3,417.3315,,
1994M03,358141.6,,5077.109,,,,3311.17,,,,,46236.21,,,,,,9823.442,,,,,,13322.71,,,2478.352,,,,34118.94,,12968.25,15468.94,,9148.868,,,,,2903.614,1173.262,775.3606,2300.149,,,,9194.396,,,8078.779,52.23864,8963.351,71731.54,382.3154,,
1994M04,350059.5,,4914.226,,,,3256.925,,,,,41529.2,,,,,,10832.83,,,,,,13276.78,,,2488.343,,,,33494.16,,13055.86,15408.06,,9152.887,,,,,2970.54,1073.684,773.498,2343.066,,,,10228.42,,,7508.121,65.57855,8747.838,70446.74,394.3874,,
1994M05,356987.4,,5180.172,,,,3608.895,,,,,44365.81,,,,,,9633.302,,,,,,13627.34,,,2414.543,,,,34479.3,,13268.18,16389.55,,9599.229,,,,,2727.612,1237.67,814.9603,2368.047,,,,9625.583,,,7629.041,58.36298,9188.742,71794.69,371.1715,,
1994M06,362637.3,,5173.15,,,,3480.802,,,,,43605.36,,,,,,11053.0,,,,,,14697.16,,,2491.672,,,,34735.76,,12778.65,16129.81,,9557.874,,,,,2753.453,1205.223,762.1688,2701.078,,,,9691.963,,,8306.607,61.80504,8570.393,73466.37,426.0835,,
1994M07,350837.5,,5146.829,,,,3226.329,,,,,42280.19,,,,,,10077.58,,,,,,13661.46,,,2323.198,,,,32974.22,,12861.39,15386.34,,9178.095,,,,,3054.522,1172.412,760.3022,2289.738,,,,9539.234,,,7442.753,52.89748,8669.978,71673.79,410.4823,,
1994M08,376416.8,,5870.324,,,,3670.481,,,,,44670.25,,,,,,10666.48,,,,,,14319.95,,,2505.576,,,,37281.07,,13631.91,17185.58,,10202.58,,,,,2933.334,1177.493,831.1072,2268.498,,,,10163.12,,,8095.814,62.14522,9014.593,76474.57,416.6239,,
1994M09,373526.2,,5571.07,,,,3825.277,,,,,44121.5,,,,,,11026.73,,,,,,14789.61,,,2492.259,,,,36128.8,,13772.65,16470.76,,9452.749,,,,,2754.371,1262.365,814.5408,2471.871,,,,10140.45,,,8086.933,69.09246,8878.089,75947.19,439.683,,
1994M10,366019.9,,5377.998,,,,4295.516,,,,,41835.66,,,,,,10283.41,,,,,,14612.09,,,2497.384,,,,36107.49,,13823.18,17215.25,,9590.175,,,,,2761.266,1283.033,843.8677,2519.068,,,,9851.985,,,8474.361,75.26473,9350.647,75192.49,449.1539,,
1994M11,380589.3,,5780.473,,,,5816.928,,,,,43915.96,,,,,,10384.99,,,,,,15231.75,,,2626.36,,,,37180.17,,14189.36,20181.62,,10537.38,,,,,2561.728,1547.764,913.3089,2571.357,,,,9921.127,,,8185.918,76.91192,10421.48,78789.66,466.5113,,
1994M12,386667.8,,5749.389,,,,5634.974,,,,,47171.82,,,,,,12022.14,,,,,,14122.04,,,2705.382,,,,36792.33,,15325.42,18926.8,,9651.253,,,,,2942.79,1282.078,907.7508,2644.219,,,,9995.709,,,9383.162,81.85525,9130.221,77567.96,461.841,,
1995M01,376793.8,,6101.063,,26046.48,,5308.06,,,,,42200.47,,,,,,11320.36,,2791.122,,,,15380.74,,,2735.096,2065.616,,,36694.75,,13434.56,18209.66,,9262.26,,,,,2935.956,1233.316,1010.068,2613.992,,,,9289.029,,,8518.313,90.67844,9054.694,78588.8,425.4914,,
1995M02,389532.1,,5795.4,,26507.42,,6678.301,,,,,46570.58,,,,,,11639.94,,2871.319,,,398444.8,15884.25,,,2584.195,1974.871,,,38023.07,,15565.36,18545.23,,8213.568,,,,,2896.725,1267.345,975.6396,2386.786,,,,10157.98,,,9182.982,103.2219,9667.634,77558.29,539.4627,,
