Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Brazil,Canada,Chile,China,Czech Republic,Germany,Denmark,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,High Income Countries,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Thailand,Turkey,"Taiwan, China",United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,1035471.0,,14502.53,,,,9600.332,,,,,126832.1,,,,,,28827.63,,,,,,38975.71,,,7216.92,,,,103111.5,,37748.6,45596.8,,27218.95,,,,,8145.185,3380.223,2193.85,7145.566,,,,26755.51,,,23507.15,141.4262,26793.08,208852.2,1152.888,,
1994Q2,1069684.0,,15267.55,,,,10346.62,,,,,129500.4,,,,,,31519.13,,,,,,41601.28,,,7394.558,,,,102709.2,,39102.7,47927.42,,28309.99,,,,,8451.605,3516.577,2350.627,7412.191,,,,29545.97,,,23443.77,185.7466,26506.97,215707.8,1191.642,,
1994Q3,1100780.0,,16588.22,,,,10722.09,,,,,131071.9,,,,,,31770.79,,,,,,42771.02,,,7321.033,,,,106384.1,,40265.94,49042.68,,28833.43,,,,,8742.227,3612.27,2405.95,7030.107,,,,29842.81,,,23625.5,184.1352,26562.66,224095.5,1266.789,,
1994Q4,1133277.0,,16907.86,,,,15747.42,,,,,132923.4,,,,,,32690.54,,,,,,43965.88,,,7829.126,,,,110080.0,,43337.97,56323.66,,29778.81,,,,,8265.785,4112.875,2664.927,7734.644,,,,29768.82,,,26043.44,234.0319,28902.35,231550.1,1377.506,,
1995Q1,1166010.0,,17619.67,,79551.5,,18638.41,,,,,139029.5,,,,,,34713.62,,8637.54,,,,47219.09,,,8123.805,5870.36,,,113027.7,,45010.29,55774.04,,25973.62,,,,,8901.266,3842.053,3108.864,7759.133,,,,29877.98,,,27471.08,294.2969,27940.85,234744.2,1512.253,,
1995Q2,1178179.0,,17200.17,,79788.86,,18840.29,,,,,138586.9,,,,,,34161.33,,9085.216,,,1205137.0,47495.68,,,8202.289,5680.894,,,115622.6,,47662.64,52621.26,,23119.92,,,,,9320.441,4025.259,3063.124,8274.86,,,,31980.05,,,27010.11,348.6573,30308.63,235457.1,1668.637,,
1995Q3,1191986.0,,17294.01,,79233.36,,16277.9,,,,,137784.8,,,,,,35637.06,,9102.288,,,1219259.0,48120.43,,,8618.954,6053.421,,,118426.5,,49529.96,51300.72,,24490.23,,,,,8778.371,3829.716,3125.347,8340.707,,,,34009.24,,,27922.06,394.8578,31218.58,237041.6,1684.289,,
1995Q4,1210418.0,,17464.55,,78591.35,,15627.46,,,,,138422.1,,,,,,34615.15,,9207.499,,,1238114.0,47535.7,,,9140.809,6490.114,,,127649.2,,50329.14,51460.1,,25295.48,,,,,9120.186,3932.986,3106.899,8878.099,,,,34985.64,,,28112.12,507.2468,30388.81,238245.3,1831.404,,
1996Q1,1250259.0,,18044.27,,81820.13,,15987.32,,,,,144240.0,,,,,,36097.67,,9797.245,,,1278866.0,49510.95,,,9480.693,6585.942,86292.06,,128729.2,,54215.34,54999.25,,28140.51,,,,54854.41,9593.093,4004.118,2930.141,9348.457,,,,36556.67,,,25584.63,663.731,30159.74,243298.2,2131.742,,
