Unnamed: 0,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,Gabon,Georgia,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tunisia,Turkey,"Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,534.4091,2871010.0,21591.0,,49942.81,55144.44,,224.53,129610.2,,,,,,258.88,1301.111,33079.0,3584.577,10850.3,115687.8,,3788.4,,14999.76,384191.8,96.34535,36610.0,,,290117.6,149948.3,10218.7,2539550.0,89599.25,1551.94,24523.22,225402.0,707.5145,,,3211.733,5414645.0,161773.6,,4982.553,14557.28,31988.6,26842.0,26409.81,11795.0,1339.182,23369.3,169710.5,2164.34,3380.082,275762.6,,2156.795,,102658.7,6663.633,196636.6,,1585.84,,3253.926,8605.382,,8287.592,,221.7,79345.9,1761029.0,,885.77,,,,491.48,59615.57,7401.284,866.4,,27447.05,11920.05,,,2404.1,5499.21,21236.4,21509.58,28373.16,,,7217.7,50453.0,35874.94,,102691.4,2575.4,,6624.119,4729.374,52006.8,206.0778,54449.08,6544.309,23270.0,,869.83,,2786.106,663251.8,8277.0,5759.295,5980195.0,81.48,,455.5491
1995.0,769.323,3445905.0,20123.0,,57404.56,64412.48,,234.21,154561.1,,5056.798,,,,258.28,1423.7,49972.0,4035.831,14613.5,132085.4,,4089.5,,25386.43,450583.5,117.2825,45717.0,,,357847.4,194675.7,11759.8,3861332.0,114229.1,2329.16,28693.79,270495.0,929.8231,488.6965,,3999.236,6507440.0,192800.4,,6969.925,15382.87,40654.1,34709.0,34736.86,12313.0,1602.865,27981.9,230081.6,2756.63,3699.2,336055.1,,2950.588,,135573.2,7784.238,219856.1,,1767.31,,5613.267,9933.294,1804.962,10042.27,,267.9,72453.0,2699345.0,,1334.58,,,,474.72,77603.73,34360.05,975.1,,32964.46,13958.93,,,2510.7,7732.89,26532.6,29191.38,34288.24,4417.736,,10260.0,62604.0,46364.48,,124549.7,3329.1,,8779.732,6217.447,64722.67,240.3905,70780.39,7929.984,35709.0,1843093.0,1058.38,,2874.587,743545.0,11396.0,8251.493,7911897.0,94.948,,782.294
1996.0,945.3956,3573591.0,23762.0,855.8,61423.0,66884.15,,127.08,162117.7,,6860.112,,,,255.57,1635.0,53347.0,3040.724,17663.5,138834.6,,4326.8,,27802.45,455755.3,129.9536,44994.0,,,378110.1,223923.7,13038.7,3607668.0,119694.5,2879.818,30765.03,272579.0,898.13,751.2236,,3818.746,6772863.0,198565.6,2739.405,7247.018,18205.13,42928.6,37946.0,36777.76,15117.0,1875.528,29583.7,214206.2,2926.57,4290.782,349127.0,4261.3,2913.524,,150896.4,8370.151,247409.8,7577.154,1938.34,,6811.461,9776.135,2337.384,9722.908,,301.7,89468.8,2499327.0,,1358.09,,,,623.51,78445.94,25663.9,1153.8,192371.3,35591.37,14729.32,,,2779.9,7864.22,32426.93,37050.83,36302.35,4291.723,,11609.1,68093.0,50700.17,,131368.7,3221.4,,11107.512,6878.495,66929.37,380.2813,72315.75,7675.847,43626.642,1587873.0,1187.75,17603.1,3335.694,795286.6,8902.0,11160.75,7854823.0,100.357,,834.2925
1997.0,496.6698,3613132.0,30450.0,892.2,61815.44,64964.08,,121.41,157683.2,,5379.546,,,8718.904,286.23,1850.9,60539.0,3631.199,19259.6,142371.0,,4969.5,,27132.49,446654.8,134.497,44398.0,,,376940.4,241073.8,13210.7,3645633.0,121456.1,3527.759,30617.17,263858.0,1232.925,995.3201,,4674.179,6868793.0,208609.3,3064.396,8610.325,21241.93,41679.8,41436.0,37174.51,15907.8,1855.513,28683.5,209099.9,3025.9,4107.321,338564.1,4275.1,3274.951,685.1,144828.9,8243.769,294572.5,7465.031,2172.952,,7387.509,9649.334,2538.55,9543.773,,349.0,109808.0,2508780.0,1778.517,2053.34,,,,750.892,78968.46,38634.51,1449.6,189736.5,35679.29,14509.35,,,3002.0,8535.54,35933.83,42261.35,36322.17,4095.61,,11250.9,71789.0,55389.12,,132382.8,3744.5,,11728.493,7057.963,65634.77,336.0113,63568.61,7957.45,48558.719,1533491.0,1300.65,17128.0,3726.756,869703.0,13159.0,11728.35,7938828.0,99.555,,697.109
1998.0,819.3273,3598197.0,31376.0,902.5,60792.01,68251.33,1723.903,157.6,164875.9,,4997.579,,,8514.977,326.83,1983.0,58672.0,3361.752,18326.5,140236.2,,6238.7,,28453.74,471887.5,132.2193,46329.0,,,313004.2,231005.2,16166.2,3829097.0,133041.9,3931.991,32395.7,283831.0,1094.557,882.4912,,5640.854,6872116.0,184581.4,3549.082,7890.113,25719.33,27336.9,42975.0,44297.73,14323.0,2283.428,27010.7,218071.4,3268.71,3830.23,280814.9,4250.2,3281.543,772.4204,93596.69,8616.585,313816.8,7066.309,1835.248,,7473.062,10856.86,2983.175,10309.67,,354.2,125373.0,2623581.0,1914.663,2665.79,,,,688.718,58328.82,38255.78,1491.6,199961.5,37447.67,12498.02,,,3349.7,8218.75,29659.88,46691.64,40479.0,3815.5,,11771.5,57538.0,57436.07,,101712.4,3968.2,,13071.399,7801.399,68539.14,383.0343,43073.8,8395.597,45921.391,1708566.0,988.93,14675.6,3810.501,911896.7,14250.39,11159.91,8083756.0,96.657,,1087.471
1999.0,1140.595,3801483.0,25507.0,811.3,65531.6,69561.71,1433.392,118.08,164637.7,,5468.254,,,6669.244,372.39,1755.1,50260.0,2804.324,14706.0,165696.2,,6354.6,,28038.09,473581.5,140.2248,44487.0,,,350645.8,199783.3,16022.2,4030826.0,144450.9,3425.61,31618.77,287235.0,1564.278,689.5899,,5518.027,7236028.0,179621.2,4060.456,7843.027,27916.81,24003.3,46968.0,47198.0,12683.0,2314.611,30629.7,220216.4,2864.84,3710.697,311691.5,3682.7,2777.327,707.4735,119869.8,7616.542,307999.8,6205.067,2133.64,,5700.556,10940.65,2606.885,10799.22,,402.4,141974.7,2774662.0,1776.15,2300.13,,1868519.0,,673.47,65388.08,9126.198,1861.2,202637.8,34165.81,14303.16,,,3515.7,6710.49,30742.47,45798.85,42183.14,2624.088,,10527.3,37263.0,62792.98,26926.11,111087.9,4094.9,,11322.204,8146.471,68921.26,433.5356,50307.61,8480.974,40671.272,1877684.0,1342.09,11846.1,3356.772,1024615.5,12669.21,11592.72,8525641.0,115.389,,876.1259
2000.0,1085.634,4275458.0,25281.0,884.7,67746.48,68998.86,1539.005,147.91,177042.5,,6024.624,,3178.625,8487.366,457.72,1822.5,56976.0,2232.552,17057.5,225092.5,,5544.8,,32093.34,495556.3,146.8204,44300.0,,,455432.0,234990.4,14009.8,4064171.0,152933.2,4234.603,33907.68,304673.0,1396.089,709.5091,,5930.694,8131195.0,213029.7,4302.284,7985.906,31928.93,33514.8,51561.0,50589.91,14363.48,2373.694,35221.0,238073.4,3192.66,4587.591,379621.4,5052.1,3246.175,642.5265,160316.7,7153.876,356205.9,6227.24,1936.34,,5567.006,10709.6,2530.932,11533.01,,388.6,174457.7,2783123.0,2093.87,2370.9,,1931898.0,,531.83,81962.07,9383.604,1805.3,211871.7,34388.57,13903.35,,,3405.0,7357.58,34490.86,48985.98,42137.95,2740.1,,13045.4,42131.0,68863.05,29134.9,134504.0,4948.2,,12725.199,10121.42,73276.61,375.7335,61808.56,8569.544,54502.821,1709325.0,1256.6,13956.0,3465.81,1218022.6,14584.01,15437.39,9159640.0,105.639,,1100.749
2001.0,1329.331,4087755.0,20319.0,877.6,60895.23,70517.91,1465.064,139.34,178780.6,,6719.384,,3353.4296,8082.575,446.09,1707.7,56570.0,1817.917,16395.7,243546.8,,5493.0,,36471.93,486242.9,130.6189,44087.0,,10185.76,462823.1,240106.3,12755.9,4407633.0,153691.0,4300.73,32167.45,301555.0,1444.387,752.0108,,6806.339,7797762.0,201456.6,4388.957,9063.923,33716.38,30962.1,50401.0,50623.76,16484.67,2090.6,32696.2,236196.9,3355.38,4862.15,349264.7,6363.0,3557.728,577.5796,141223.3,7871.065,344853.9,7290.634,1677.37,,6285.592,11259.28,2803.372,11041.71,,387.9,168396.3,3025436.0,1693.599,2802.03,696.4091,2034406.0,,562.6,73738.57,11746.63,1775.4,208334.1,32972.06,13307.8,,,2986.39,7204.48,33057.16,50375.5,41679.51,2349.501,,15549.2,51319.0,67011.87,30060.99,115974.7,5026.8,,14764.18,10155.43,64277.19,482.4449,61877.05,9533.584,41399.084,1946154.0,975.43,15775.1,3060.842,1140998.1,16435.59,16014.09,9233997.0,128.918,,1080.12
2002.0,1502.446,4208602.0,8991.0,987.2,69575.43,72900.77,1823.341,129.4,198400.7,,7302.343,,3908.6205,9057.678,525.3,1774.9,48274.0,2448.73,15762.8,295170.3,,5957.9,,40769.98,490957.7,204.7049,48941.0,,12239.84,532671.1,273107.1,12552.2,4477749.0,163819.6,4814.881,33690.3,311541.0,1142.239,794.6917,31328.9,7381.272,8040945.0,208002.0,4463.549,10557.99,37816.99,31288.9,56532.0,51860.06,20437.82,2096.334,32556.6,247157.6,3568.24,5082.061,338033.0,6490.5,3272.311,586.7,152322.0,9004.081,318936.4,6443.443,1864.83,,7552.269,11620.23,3377.721,11860.43,,391.7,168678.7,3069350.0,1995.156,2323.84,697.991,2184513.0,,694.96,79751.28,12360.65,1774.0,207015.1,34887.77,15061.12,,11266.48,3035.29,7392.79,39236.51,55157.38,42664.22,1975.274,,17869.5,58421.0,75298.07,31061.75,117265.4,5184.5,,16628.611,10949.06,67802.53,429.5274,64581.22,9527.494,51553.799,1901175.0,1040.47,16977.0,1966.845,1161366.4,11673.39,19486.44,9450853.0,134.62,,1071.907
