Unnamed: 0,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,Gabon,Georgia,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tunisia,Turkey,"Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,100.1458,638017.8,4915.0,,10702.02,12256.79,,48.23,30646.6,,,,,,61.03,312.0857,6048.0,838.1198,2385.6,20468.7,,906.8,,2966.638,86496.97,23.37313,8247.0,,,58285.46,33175.36,2124.9,496932.4,18797.46,329.5792,4831.844,51914.0,166.1547,,,662.2545,1202089.0,33114.94,,701.2043,3026.789,6977.1,6159.0,6149.837,3393.42,251.2097,5618.0,38358.96,483.58,733.833,61865.66,,483.2504,,22570.03,1840.994,42898.9,,339.55,,843.744,1980.442,,1877.709,,54.3,18073.1,342803.2,,206.38,,,,109.86,12302.99,802.9113,210.2,,6248.481,2390.729,,,549.1,1158.49,4578.9,4258.669,6251.038,,,1417.0,11316.0,8236.191,,21763.61,525.4,,1521.418,975.1754,11387.26,53.10592,12414.95,1423.047,5887.0,,181.46,,575.84,147830.5,1964.0,1234.461,1272293.0,18.88,,115.0654
1994Q2,142.6384,702515.7,5329.0,,11605.66,13367.71,,50.52,32266.13,,,,,,65.14,317.9036,7276.0,820.094,2640.5,28710.89,,923.0,,3645.74,93466.58,23.79891,8796.0,,,71379.83,35229.31,2201.9,564849.0,23093.84,371.0258,5943.447,55547.0,163.4593,,,813.5649,1324659.0,41012.99,,1080.274,3502.067,7775.7,6014.0,6355.86,2966.739,341.8547,6159.0,41491.66,519.02,819.1993,66289.55,,486.7535,,24907.93,1685.937,47652.89,,384.77,,776.5934,2074.226,,2306.441,,46.1,19618.0,389644.3,,218.21,,,,120.75,14293.21,1219.285,230.9,,6476.342,2672.102,,,583.4,1269.95,5561.1,5258.655,7092.403,,,1667.3,12091.0,8033.113,,25658.22,662.9,,1542.492,1194.185,12537.49,48.28404,13294.27,1745.004,4954.0,,213.5,,680.502,161597.3,2206.0,1405.63,1409681.0,19.054,,113.835
1994Q3,144.1857,726273.7,5645.0,,13637.43,13540.8,,67.61,31176.1,,,,,,66.51,323.7214,7931.0,907.0042,2962.4,28876.74,,1000.1,,3877.52,97237.81,23.30985,9117.0,,,74558.7,37127.09,2885.6,592036.6,21572.01,368.2913,6127.258,54442.0,188.4007,,,847.7842,1370146.0,43037.73,,1369.989,3748.454,8256.7,6962.0,6386.733,2502.166,332.5452,5192.8,39455.34,554.97,915.6672,71877.38,,548.967,,25813.64,1478.028,49490.99,,464.39,,768.2153,2084.306,,1840.7,,56.5,19858.5,408998.3,,225.4,,,,158.03,16138.35,2058.508,213.7,,7116.548,3201.416,,,614.4,1424.88,5460.0,5499.759,6704.208,,,1745.9,12549.0,9303.543,4869.173,27255.0,678.7,,1648.68,1161.45,12102.59,52.12324,13951.97,1488.686,5416.0,,238.75,,747.388,172989.8,1932.0,1521.029,1461401.0,22.208,,107.1188
1994Q4,147.4392,804203.2,5702.0,,13997.71,15979.15,,58.17,35521.42,,,,,,66.2,347.4,11824.0,1019.359,2861.8,37631.47,,958.5,,4509.861,106990.4,25.86347,10450.0,,,85893.64,44416.58,3006.3,885732.1,26135.94,483.044,7620.671,63499.0,189.4998,,,888.1297,1517751.0,44607.92,,1831.085,4279.974,8979.1,7707.0,7517.377,2932.675,413.5722,6399.5,50404.54,606.77,911.3829,75730.05,,637.8244,,29367.09,1658.673,56593.8,,397.13,,865.3737,2466.408,,2262.742,,64.8,21796.3,619583.7,,235.78,,,,102.84,16881.02,3320.581,211.6,,7605.674,3655.8,,,657.2,1645.89,5636.4,6492.499,8325.513,,,2387.5,14497.0,10302.1,,28014.6,708.4,,1911.529,1398.563,15979.46,52.56457,14787.89,1887.571,7013.0,,236.12,,782.376,180834.2,2175.0,1598.175,1836821.0,21.338,,119.5299
1995Q1,151.0916,815801.1,5239.0,,13780.6,15788.77,,60.12,38693.62,,1194.161,,,,65.07,334.0,12018.0,850.1794,3175.1,23864.54,,1072.0,,5538.873,109293.0,27.33362,11333.0,,,73684.23,41345.0,2495.9,731611.4,26791.12,502.6779,6652.576,66903.0,221.5968,98.858,,882.7967,1538444.0,42187.25,,1590.221,3699.574,8954.6,7965.0,8134.739,3225.809,348.4762,6950.0,54491.79,587.09,844.1111,78711.95,,691.5532,,30649.06,2037.841,53018.47,,456.27,,1229.775,2411.046,397.3271,2273.35,,66.8,18190.0,508614.1,,264.73,,,,112.21,16600.73,7455.399,236.5,,7856.538,3115.975,,,612.7,1796.32,5608.9,6233.423,8195.43,975.769,,2097.0,13428.0,10646.75,,27294.67,768.3,,1966.981,1411.571,15424.05,52.43994,16504.81,1712.063,6854.0,324447.1,283.94,,664.815,176093.6,2319.0,1760.042,1703119.0,20.823,,225.3507
1995Q2,177.691,880769.5,4780.0,,13977.0,16434.07,,61.59,40096.23,,1333.962,,,,65.29,405.1,13658.0,992.1702,3433.8,32728.44,,966.9,,6560.385,114395.2,30.10896,11396.0,,,89868.65,47680.73,2917.6,1111973.0,30117.44,572.9801,7363.702,70153.0,261.1216,81.9712,,1095.649,1663106.0,49791.63,,1780.098,4038.12,10318.5,8366.0,8456.408,3290.932,423.2011,6722.5,61179.12,700.56,941.8737,87222.19,,696.5506,,34867.89,2164.526,54686.75,,384.51,,1314.006,2500.913,411.6491,2502.161,,63.2,17032.6,781388.6,,326.8,,,,100.08,19907.38,8583.213,240.2,,8318.872,3480.78,,,627.5,1889.53,6701.9,7420.968,9058.853,1084.698,,2646.2,14615.0,11173.53,,31073.9,863.1,,2257.245,1680.569,15872.44,57.91621,17608.92,2278.246,8615.0,564239.8,222.84,,753.458,187081.6,2878.0,2128.831,2139439.0,19.751,,239.301
1995Q3,210.3431,846260.8,4918.0,,14803.15,15626.33,,62.4,35701.02,,1270.234,,,,63.35,327.6,12151.0,1022.519,4011.3,33996.75,,1045.8,,6017.154,109164.1,30.16157,10744.0,,,93388.62,48837.13,3034.2,1007959.0,26900.67,553.2236,6861.313,63256.0,225.8493,111.7702,,1056.986,1598653.0,51169.19,,1822.273,3651.733,11114.0,9148.0,8242.23,2605.189,378.1375,6780.2,52227.19,743.84,931.7844,82954.59,,931.1631,,34509.86,1623.664,55595.38,1894.252,469.21,,1370.192,2392.919,451.2746,2459.183,,64.6,17872.6,705189.1,,359.79,,,,128.88,20791.19,9153.92,255.6,,7858.017,3697.386,,,608.4,2030.71,6893.3,7173.88,7735.823,1243.234,,2561.1,15760.0,12211.99,6799.071,32575.13,850.5,,2080.719,1436.074,15220.42,62.08822,17961.93,1818.14,9134.0,485298.8,277.93,,670.547,189724.8,3464.0,2111.817,1998734.0,26.698,,169.038
1995Q4,230.1973,903073.9,5186.0,,14843.82,16563.31,,50.1,40070.25,,1258.441,,,,64.57,357.0,12145.0,1170.962,3993.3,41495.63,,1004.8,,7270.016,117731.3,29.67834,12244.0,,,100905.9,56812.82,3312.1,1009789.0,30419.91,700.2786,7816.196,70183.0,221.2554,196.0971,,963.8042,1707237.0,49652.33,,1777.332,3993.439,10267.0,9230.0,9903.478,3191.069,453.0506,7529.2,62183.47,725.14,981.4307,87166.36,1102.7,631.321,,35546.36,1958.207,56555.5,1872.184,457.32,,1699.293,2628.416,544.7108,2807.571,,73.3,19357.8,704153.2,,383.26,,,,133.55,20304.43,9167.519,242.8,,8931.035,3664.789,,,662.1,2016.33,7328.5,8363.106,9298.132,1114.035,,2955.7,18801.0,12332.21,,33606.03,847.2,,2474.787,1689.234,18205.75,67.94612,18704.73,2121.535,11106.0,469107.6,273.67,,785.767,190645.0,2735.0,2250.803,2070605.0,27.676,,148.6042
1996Q1,250.0516,876287.6,4986.0,158.9,14383.32,16725.35,,45.73,41530.66,,2972.539,,,,60.06,322.7,10751.0,793.8561,4085.1,29339.82,,1033.6,,6445.033,114772.1,30.47498,11277.0,,,87153.25,53450.74,3117.7,936620.6,28497.86,614.0551,7588.465,70293.0,216.02,198.5591,,918.2057,1656971.0,44891.52,632.7692,1571.793,4183.385,9617.4,9852.0,9771.886,3515.049,411.1999,7683.1,58571.51,681.0,926.5021,84538.1,984.3,730.5911,,35827.15,1992.875,53716.89,1782.835,497.99,,1519.391,2507.022,533.7309,2329.495,,74.8,19936.1,653235.1,,398.43,,,,153.71,19105.14,6384.881,250.8,48549.01,8606.146,3364.716,,,679.9,1781.72,7356.14,8176.241,8849.575,900.972,,2583.2,16368.0,13158.71,,32659.41,788.2,,2612.079,1625.262,16632.25,69.77943,18535.87,1899.396,9757.795,439626.3,298.55,4479.1,702.501,185852.2,1748.0,2651.318,1973520.0,24.869,,193.3889
