Unnamed: 0,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,Gabon,United Kingdom,Georgia,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,109.5336,242806.5,1641.0,,3818.076,4064.849,17.43462,9985.666,,,304758.4,,,24.34549,100.6976,2245.681,405.0315,11758.4,912.2583,9896.752,,323.6552,,1488.481,28482.57,6.834901,,,,22729.47,11523.63,827.3782,370554.3,6380.937,99.18681,1707.944,16522.23,88.80755,17596.0,,,289.8035,558252.0,11934.73,,336.577,1503.075,2475.703,2101.867,1939.279,1471.093,109.3434,1734.909,12556.46,185.9658,318.7735,20075.34,,160.053,,7245.007,588.1107,14787.13,488.3041,135.279,,259.4,834.7234,,664.6034,,14.77993,5768.221,53770.62,,79.07141,,,,47.96523,4093.439,613.4131,64.54713,,2055.832,863.6094,,,197.3504,413.7571,1588.417,1395.217,1967.173,,,400.0646,3174.809,2780.392,,7574.251,186.826,,677.768,396.911,3705.208,20.60237,4148.988,470.2785,2648.35,6696.1,,69.87912,,216.1714,50319.56,797.2206,407.5305,614956.6,9.764327,,51.19059
1994M01,29.55595,236874.5,1766.0,,3575.488,3953.022,19.04334,9772.873,,,328079.4,,,20.73139,107.7103,2024.153,314.8499,11613.4,787.6978,9035.53,,277.6496,,794.8493,26434.08,6.481165,,,,21954.87,11954.67,811.9245,392521.9,6037.987,117.5829,1661.976,16413.58,66.55067,17370.0,,,221.7207,576437.4,11730.29,,162.763,1085.838,2374.871,1980.162,1874.926,1051.291,89.15282,1868.022,11933.46,143.28,316.7037,20549.63,,168.1744,,7674.296,590.7181,14159.13,459.9555,125.9194,,319.3361,642.1857,,633.8328,,21.12634,5943.623,52151.03,,71.73233,,,,43.73306,4229.183,245.3753,65.13054,,1971.457,823.2377,,,187.2552,382.0628,1736.205,1511.971,1980.401,,,532.9162,4049.56,2628.859,2056.853,7517.867,184.5551,,515.2661,315.0143,3702.194,18.22432,4081.131,497.589,2366.49,6713.1,,63.14298,,206.806,49542.65,481.4837,392.2534,631480.9,5.171318,,44.45055
1994M02,33.22188,244674.1,1778.0,,3612.115,4199.453,15.60272,9845.057,,,311183.1,,,22.052,108.1967,2304.071,307.0081,11311.6,711.9685,8816.507,,305.5527,,1107.475,28835.61,8.632509,,,,21876.2,11252.28,789.0423,375688.1,6682.172,104.0093,1430.777,16837.32,57.95857,17506.0,,,285.4225,566250.8,12537.83,,332.3931,1038.159,2509.927,1911.192,2050.068,1248.253,101.3045,1848.162,12372.58,184.9436,288.9567,21155.27,,149.5819,,7175.437,588.5819,15473.89,411.8527,116.438,,271.4198,649.8754,,632.4332,,18.6694,6420.056,52595.04,,72.07472,,319557.9,,35.65858,4402.421,269.972,72.14707,,2087.447,869.1612,,,182.2958,392.5589,1497.679,1426.758,2125.564,,,534.2693,3947.425,2535.034,2060.512,7202.056,179.7268,,544.5159,327.9941,3818.271,16.75588,4074.726,474.5984,2033.847,6609.9,,65.1767,,214.0595,51291.61,825.8,466.9504,621949.1,7.221866,,36.60574
1994M03,42.546,256728.2,1795.0,,3920.02,4339.245,16.3556,10138.01,,,284624.6,,,21.67551,104.3933,2302.83,336.5213,12018.0,977.2308,9131.659,,299.5058,,1118.873,32458.0,8.024532,,,,22590.16,11510.41,818.2437,349850.6,6689.413,123.5941,1767.566,17930.76,57.95303,18073.0,,,244.8664,550557.9,12689.66,,289.3383,1079.139,2633.37,2297.387,2070.067,1177.413,94.46094,1689.555,13077.37,190.0502,284.1058,21254.83,,162.474,,7925.037,581.7021,15700.64,477.7694,109.9771,,270.904,676.6385,,685.3524,,13.10025,6278.513,53947.83,,73.01935,,292688.3,,39.6668,4368.284,305.2291,71.2449,,2260.671,910.3877,,,205.586,427.2112,1554.898,1608.866,2197.121,,,487.0601,3989.057,3035.018,1784.743,7737.718,180.6261,,502.9211,361.0,3949.04,18.30167,4361.105,531.9821,2013.793,6762.9,,53.95467,,208.3149,52943.37,885.4983,430.9455,607400.0,7.25486,,38.60543
1994M04,57.26685,252819.1,1820.0,,3828.253,4298.964,11.31934,10168.71,,,304930.1,,,19.48475,103.3271,2288.56,286.6461,11983.2,837.8521,9773.195,,307.706,,1059.505,29216.37,7.713027,,,,23325.29,11215.08,1125.86,371177.2,7247.939,117.0483,1750.797,17191.08,50.67688,17580.0,,,274.738,568036.8,12664.89,,387.2337,1063.024,2430.834,2118.222,2099.617,1003.583,108.3415,2147.107,12794.31,170.7152,282.0812,21115.91,,170.4561,,8008.108,561.519,15458.56,509.232,102.1449,,346.7068,668.3052,,666.2488,,18.20984,6294.198,54433.74,,55.08411,,313461.2,,33.53659,4824.784,348.3079,67.79967,,2333.088,841.6577,,,202.6929,424.8012,1686.884,1642.822,2056.556,,,584.0795,3830.471,2806.382,2000.123,8781.644,220.548,,468.2918,352.9998,3943.067,18.97788,4069.566,537.7631,1806.223,6683.6,,57.28899,,240.3176,52270.49,701.1662,447.7392,625312.2,6.618807,,40.23997
1994M05,42.92616,262397.4,1801.0,,4061.858,4417.202,18.24778,10407.54,,,292942.3,,,21.16867,103.5825,2554.444,273.9545,12328.8,935.1174,9254.045,,314.182,,1194.564,32036.79,7.647916,,,,23001.34,11235.99,530.6224,357705.6,6797.43,124.5535,2180.702,18463.24,53.23413,18244.0,,,286.4207,564119.5,12982.64,,289.8134,1087.856,2688.498,1951.342,2100.591,1010.814,107.771,2135.292,13229.94,191.2479,247.5394,22019.63,,181.1335,,8273.517,551.5717,16212.96,490.4014,123.088,,194.8078,662.6755,,742.1363,,14.44132,6608.148,53961.18,,69.03591,,300003.6,,45.20907,4544.839,406.9415,69.71074,,2167.149,980.2385,,,164.3009,451.2169,1746.685,1716.641,2347.678,,,515.0749,4181.928,2582.221,1204.308,8343.053,212.1577,,517.4625,369.0477,4235.528,15.61487,4236.644,518.3984,1456.207,7070.5,,59.6311,,235.5842,53551.32,708.0089,424.3224,620944.8,7.109997,,33.68624
1994M06,45.17759,270266.1,1794.0,,4077.993,4556.599,17.77967,10818.28,,,314442.3,,,21.45644,108.2056,2417.223,295.4815,12666.7,922.7316,9877.756,,324.8793,,1278.949,32147.35,6.957313,,,,24599.45,12034.27,633.2985,383095.5,7924.318,128.7872,2009.534,18739.87,54.96005,18655.0,,,228.069,595325.9,14069.23,,418.1432,1157.445,2553.02,2026.464,2197.582,905.6805,109.7356,1911.079,14027.72,164.0471,286.3882,22712.03,,160.3371,,8066.041,543.3006,15941.93,468.2781,127.0955,,242.2397,723.6708,,730.7272,,17.48312,6605.281,56204.46,,80.8511,,322680.3,,44.82721,4878.093,480.2875,80.03886,,2219.863,965.0877,,,220.4046,429.4869,2028.348,1821.157,2338.49,,,550.0284,4259.236,2684.895,2219.825,8512.884,204.2977,,521.4205,395.025,4355.975,15.12238,4651.664,551.6117,1807.056,6666.8,,64.48865,,236.946,55315.18,654.7778,490.4073,654507.6,7.052709,,38.35908
1994M07,43.74565,267342.4,1722.0,,4067.64,4469.498,22.08482,10825.1,,,339010.2,,,21.05196,108.5768,2326.808,286.9622,12315.3,862.0734,9663.919,,325.5024,,1266.114,32173.11,7.075051,,,,23795.22,11150.09,1004.762,406139.4,7403.086,124.3389,2104.172,18877.3,58.37988,18984.0,,,257.2879,617247.2,13191.63,,420.6325,1190.386,2619.805,2144.59,2113.566,891.7355,106.1267,1742.597,13885.03,156.0986,251.39,22097.03,,152.1978,,8289.587,534.1811,15382.37,479.8428,137.7826,,237.8402,702.6982,,727.022,,18.49084,6354.444,54508.65,,67.25499,,347050.1,,46.11746,4805.081,568.4881,58.07395,,2527.165,950.7457,,,175.493,433.8755,1749.086,1872.757,2436.039,,,531.6391,3676.641,2841.388,1587.656,8596.605,201.2125,,558.0628,383.6978,3946.911,19.72531,4376.079,520.9839,1616.657,6880.3,,69.58034,,217.0089,54581.92,686.128,475.5681,675132.8,7.218538,,34.13088
1994M08,47.35974,285407.7,1851.0,,4658.684,4522.234,20.52853,11361.41,,,309128.0,,,21.30658,110.124,2696.218,268.1767,13124.6,975.6051,10102.82,,341.4022,,1371.359,33881.33,8.845871,,,,25256.69,13068.38,965.2596,380837.7,7790.698,124.0989,2184.186,20158.64,72.31344,18975.0,,,289.7874,605121.5,13864.13,,530.1896,1637.144,2750.414,2371.332,2273.374,855.195,126.0544,2021.803,15129.07,190.567,328.4781,25212.73,,173.7036,,8972.307,531.1557,17104.91,542.9998,137.2141,,258.8652,761.9592,,578.8355,,20.94392,7097.535,59066.39,,75.61887,,317361.3,,36.08925,5340.82,670.4242,92.53046,,2461.149,966.0005,,,217.9485,480.2283,1736.807,1935.892,2529.255,,,729.6389,4248.71,3142.454,2025.666,9227.589,249.8377,,611.9339,431.1468,4341.661,17.76335,4724.683,538.1295,1869.734,7114.7,,80.59633,,254.8625,58357.45,592.8761,485.7008,667004.2,6.701227,,38.74452
