Unnamed: 0,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,Gabon,United Kingdom,Georgia,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994Q1,105.3238,738276.8,5339.0,,11107.62,12491.72,51.00166,29755.94,,,923887.1,,,64.45889,320.3003,6631.054,958.3793,34943.0,2476.897,26983.7,,882.708,,3021.198,87727.69,23.13821,,,,66421.22,34717.35,2419.21,1118061.0,19409.57,345.1863,4860.319,51181.67,182.4623,52949.0,,,752.0096,1693246.0,36957.78,,784.4944,3203.136,7518.168,6188.741,5995.06,3476.957,284.9183,5405.739,37383.41,518.2737,889.7663,62959.74,,480.2303,,22774.77,1761.002,45333.67,1349.578,352.3344,,861.66,1968.7,,1951.618,,52.89599,18642.19,158693.9,,216.8264,,,,119.0584,12999.89,820.5765,208.5225,,6319.574,2602.787,,,575.137,1201.833,4788.781,4547.594,6303.086,,,1554.246,11986.04,8198.911,5902.109,22457.64,544.908,,1562.703,1004.008,11469.5,53.28187,12516.96,1504.17,6414.13,20085.9,,182.2744,,629.1804,153777.6,2192.782,1290.149,1860830.0,19.64804,,119.6617
1994Q2,145.3706,785482.6,5415.0,,11968.11,13272.77,47.3468,31394.53,,,912314.7,,,62.10986,315.1152,7260.227,856.0821,36978.7,2695.701,28905.0,,946.7673,,3533.017,93400.51,22.31826,,,,70926.09,34485.34,2289.781,1111978.0,21969.69,370.389,5941.033,54394.19,158.8711,54479.0,,,789.2276,1727482.0,39716.77,,1095.19,3308.325,7672.352,6096.028,6397.79,2920.077,325.8481,6193.478,40051.97,526.0102,816.0089,65847.57,,511.9268,,24347.67,1656.391,47613.45,1467.911,352.3284,,783.7543,2054.652,,2139.112,,50.13427,19507.63,164599.4,,204.9711,,936145.1,,123.5729,14247.72,1235.537,217.5493,,6720.101,2786.984,,,587.3985,1305.505,5461.918,5180.621,6742.724,,,1649.183,12271.64,8073.497,5424.257,25637.58,637.0035,,1507.175,1117.073,12534.57,49.71513,12957.87,1607.773,5069.486,20420.9,,181.4087,,712.8478,161137.0,2063.953,1362.469,1900765.0,20.78151,,112.2853
1994Q3,137.3032,837578.2,5306.0,,13165.87,13802.95,63.64933,33644.32,,,952306.6,,,64.66846,329.3053,7797.532,855.5725,38669.3,2822.61,29161.46,,993.4209,,4076.855,99918.3,24.86996,,,,73860.21,37356.75,2850.721,1161548.0,23353.73,386.6874,6455.08,58631.25,183.9678,57485.0,,,815.1035,1820854.0,41432.08,,1358.973,4115.366,8053.52,6965.963,6698.013,2624.124,339.9791,5400.034,44140.41,533.579,895.4089,71862.91,,525.6063,,26366.73,1597.037,48905.67,1549.378,453.4982,,839.7218,2186.679,,1985.449,,57.73723,20065.64,172337.4,,218.6279,,976390.8,,145.9463,15588.49,2025.064,222.1627,,7324.345,2964.386,,,601.5409,1394.96,5364.731,5783.539,7460.543,,,1844.782,12595.11,9226.217,5207.84,26992.32,682.9075,,1747.657,1244.95,12748.18,54.48766,13878.81,1628.373,5448.664,21077.5,,243.9025,,714.2947,170597.5,1864.526,1476.898,2002189.0,20.81365,,107.8058
1994Q4,146.1229,882595.0,5530.0,,13587.13,15548.01,65.25341,34819.04,,,947619.3,,,68.4681,331.164,11056.53,938.8958,41310.7,2841.108,29968.91,,970.5755,,4305.983,102913.4,26.10546,,,,78046.74,40058.47,2672.761,1171309.0,24644.22,439.5961,7193.86,61301.28,186.0694,61669.0,,,850.3525,1860221.0,43248.31,,1648.858,3970.954,8693.627,7590.677,7296.935,2779.241,378.8244,6359.55,48061.35,583.9891,805.2994,75181.43,,651.1593,,29021.87,1634.059,54543.18,1607.691,438.1621,,770.9425,2405.784,,2164.353,,60.19042,21039.49,187275.0,,247.5173,,972229.2,,100.7985,16668.57,3294.129,217.2288,,7091.01,3492.373,,,637.6731,1575.949,5605.735,6000.461,7835.686,,,2111.109,13527.39,10050.05,5439.635,27375.13,711.7094,,1803.57,1361.59,15030.51,48.65563,15104.77,1785.482,6332.959,23616.0,,272.1101,,725.8983,177190.5,2165.764,1634.975,2056123.0,20.29186,,118.6961
1995Q1,158.5267,932252.4,5574.0,,14298.81,15964.25,64.40107,37614.74,,1106.886,908321.2,,,67.33013,349.3589,13101.35,973.4585,41456.5,3321.885,30926.82,,1043.633,,5657.685,110732.9,27.70353,,,,82711.54,43143.85,2778.765,1147006.0,27554.83,528.9922,6708.287,65822.43,239.1503,62298.0,97.59348,,985.0434,1869489.0,47090.69,,1775.272,3837.504,9620.335,7946.606,7938.058,3287.603,388.2028,6689.857,53113.4,630.5407,1010.438,79616.35,,689.7045,,31028.68,1958.912,56282.21,1749.414,473.2456,,1250.289,2399.924,423.8183,2360.405,,65.24371,18776.12,202099.0,,284.5371,,934694.3,,122.2724,17491.48,7540.633,234.3191,,7908.282,3369.863,,,640.0254,1876.039,5832.951,6572.675,8297.178,1113.214,,2280.538,14206.91,10524.23,5926.837,28260.12,795.932,,2011.228,1453.307,15520.97,52.49223,16604.46,1800.187,7447.338,23833.8,299.7186,286.5721,,719.6523,182863.8,2635.176,1820.95,2079836.0,21.53445,,227.8526
1995Q2,179.363,977812.7,4818.0,,14346.6,16354.18,55.56734,39165.43,,1250.156,907429.0,,,62.97901,404.1271,13671.13,1016.883,42145.2,3490.826,32954.31,,986.8304,,6417.918,114122.1,27.17232,,,,89209.77,46998.61,2958.993,1157187.0,28714.04,572.0562,7355.915,68984.62,251.1254,65791.0,84.66776,,1053.62,1914373.0,48345.88,,1797.386,3892.679,10174.7,8482.369,8492.716,3235.356,404.8715,6779.757,59275.86,700.4053,923.4052,86654.55,,716.8699,,34267.73,2129.973,54706.54,1835.811,361.0789,,1332.842,2483.958,417.9464,2331.782,,68.49797,16969.73,212379.5,,302.9337,,934544.3,,102.8729,19842.72,8668.584,227.3393,,8650.179,3625.987,,,632.8815,1928.479,6594.567,7299.907,8655.135,1182.632,,2607.723,14776.88,11232.28,6087.783,31070.69,826.4003,,2219.547,1575.292,15920.12,59.59154,17161.39,2112.555,8806.98,27114.4,491.3724,202.6387,,785.1329,186617.0,2670.888,2040.546,2134702.0,21.61329,,236.3648
1995Q3,200.4187,976006.9,4622.0,,14380.28,16059.27,58.09292,38534.44,,1471.572,872649.8,,,61.87553,331.2726,11856.95,969.7174,41748.3,3831.378,34404.89,,1042.636,,6328.823,112356.9,31.53566,,,,92745.76,49380.72,3016.666,1128853.0,29350.48,580.5188,7225.18,68189.81,221.2535,67797.0,113.1637,,1029.255,1877895.0,49097.6,,1790.329,3915.985,10870.76,9192.272,8733.738,2733.038,385.8004,7048.3,58799.88,727.1322,911.0636,83347.13,,893.5322,,35163.63,1752.789,54643.56,1885.517,453.0461,,1495.666,2498.626,462.0178,2659.686,,65.21646,18035.12,218080.9,,353.5686,,900120.1,,118.7101,20191.32,9069.972,263.6093,,8101.619,3456.934,,,595.8098,1970.84,6741.742,7549.002,8589.959,1120.523,,2681.497,15768.84,12160.48,7217.16,32228.3,851.052,,2199.593,1540.301,16259.16,65.65961,17947.57,1997.261,9169.42,26892.5,413.1337,276.2431,,647.7835,187121.6,3361.725,2089.21,2104048.0,25.05739,,170.7792
1995Q4,228.0345,982175.1,5108.0,,14378.78,16063.54,57.31302,39097.21,,1277.747,890500.2,,,67.44219,333.9514,11387.1,1090.499,41948.3,3937.706,33845.9,,1009.693,,6882.357,113321.8,30.17285,,,,92982.52,52328.95,3039.306,1150019.0,28679.52,635.1898,7352.165,67424.92,218.6383,68081.0,169.6376,,927.5226,1902802.0,48094.78,,1616.88,3722.244,9946.476,9099.626,9521.545,3039.21,419.5427,7431.126,58940.41,694.4476,892.406,86311.66,1021.491,653.713,,34890.8,1908.635,54453.83,1799.536,483.143,,1510.029,2537.589,491.974,2680.502,,68.38867,18599.83,221531.4,,397.5006,,918524.8,,130.5271,19964.03,9161.569,249.1965,,8326.215,3484.391,,,644.6728,1948.114,7341.846,7786.878,8681.45,1018.96,,2624.338,17661.56,12042.95,7264.613,32707.51,853.6806,,2328.904,1644.889,16933.14,63.35188,19037.29,1995.013,10071.77,25467.1,396.8836,295.303,,728.3544,186890.1,2666.729,2301.14,2131687.0,26.39683,,146.9577
1996Q1,262.8804,1005178.0,5389.0,182.8519,14947.48,16930.35,48.84132,40608.15,,2785.715,1059492.0,,,60.47888,345.2959,11809.32,919.1925,42609.5,4270.057,37833.08,,1012.051,,6645.437,116256.0,31.78423,,,,97724.95,56180.25,3416.795,1331458.0,29562.44,655.1009,7687.237,69292.09,236.85,69530.0,208.6623,,1020.55,2098977.0,50104.51,686.2662,1737.45,4370.547,10265.37,9769.916,9591.79,3577.966,455.0298,7434.051,57468.43,733.2286,1099.353,85534.44,1140.896,725.8076,,36487.07,1936.496,57119.79,1771.237,523.6731,,1575.936,2512.746,575.6858,2407.065,,73.97043,20656.76,230318.9,,428.2155,,1088531.0,,170.9197,20052.85,6374.771,249.7103,48226.27,8653.543,3644.045,,,707.6819,1876.388,7621.417,8594.484,9017.757,1025.996,,2890.495,17349.5,12930.77,6430.238,33985.73,814.5468,,2692.023,1657.329,16788.74,70.19779,18642.37,1994.002,10557.93,25083.8,405.3111,303.9121,4497.2,750.6437,193060.2,2000.594,2728.049,2337195.0,25.4398,,192.8373
