Unnamed: 0,Advanced Economies,Austria,Belgium,Bangladesh,Bulgaria,Bosnia and Herzegovina,Belarus,Brazil,Barbados,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,Guatemala,High Income Countries,Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Montenegro,Mongolia,EMDE Middle East & N. Africa,Malawi,Malaysia,Nicaragua,Netherlands,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,EMDE South Asia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,Uganda,Ukraine,Uruguay,United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,7310000000000.0,59200000000.0,57700000000.0,9810000000.0,,,,350000000000.0,407000000.0,179000000000.0,50100000000.0,,73900000000.0,4700000000.0,2720000000.0,48800000000.0,757000000000.0,63900000000.0,,634000000000.0,,,,313000000000.0,,46700000000.0,326000000000.0,398000000000.0,22700000000.0,,7540000000000.0,,8270000000.0,13900000000.0,238000000000.0,165000000000.0,19300000000.0,,23600000000.0,496000000000.0,,1620000000000.0,,126000000000.0,812000000000.0,,,,4950000000.0,,,267000000000.0,,,,,,,1580000000.0,44700000000.0,1130000000.0,127000000000.0,148000000000.0,,27400000000.0,62900000000.0,99600000000.0,40800000000.0,,60700000000.0,283000000000.0,190000000000.0,25900000000.0,3030000000.0,9280000000.0,87900000000.0,12700000000.0,9210000000.0,115000000000.0,,8580000000.0,100000000000.0,,,,2240000000000.0,,10000000000000.0,82700000000.0
1995.0,7570000000000.0,62300000000.0,61300000000.0,10900000000.0,,,,357000000000.0,438000000.0,187000000000.0,53500000000.0,,75400000000.0,4950000000.0,2770000000.0,48500000000.0,766000000000.0,66300000000.0,,614000000000.0,,,,329000000000.0,,49400000000.0,337000000000.0,405000000000.0,22600000000.0,,7790000000000.0,,8290000000.0,14700000000.0,260000000000.0,183000000000.0,23100000000.0,,25400000000.0,525000000000.0,,1670000000000.0,,141000000000.0,801000000000.0,,,,5050000000.0,,,241000000000.0,,,,,,,1590000000.0,50600000000.0,1180000000.0,127000000000.0,157000000000.0,,29700000000.0,71300000000.0,76800000000.0,44500000000.0,,66400000000.0,273000000000.0,212000000000.0,28600000000.0,3140000000.0,9700000000.0,94900000000.0,14000000000.0,9400000000.0,103000000000.0,,8860000000.0,109000000000.0,,,,2340000000000.0,,10300000000000.0,89400000000.0
1996.0,7750000000000.0,61700000000.0,61500000000.0,11800000000.0,,,,362000000000.0,442000000.0,190000000000.0,54600000000.0,,73400000000.0,4950000000.0,2680000000.0,49500000000.0,766000000000.0,67300000000.0,,616000000000.0,,,,324000000000.0,,49900000000.0,339000000000.0,410000000000.0,22800000000.0,,7980000000000.0,,8550000000.0,15200000000.0,262000000000.0,200000000000.0,24900000000.0,,26500000000.0,516000000000.0,,1700000000000.0,,153000000000.0,832000000000.0,,,6040000000.0,5050000000.0,,,266000000000.0,,,,,,,1640000000.0,56100000000.0,1240000000.0,129000000000.0,165000000000.0,,30600000000.0,74200000000.0,84000000000.0,46800000000.0,,70200000000.0,258000000000.0,230000000000.0,29600000000.0,3150000000.0,10200000000.0,98400000000.0,14300000000.0,9490000000.0,105000000000.0,,9060000000.0,115000000000.0,,,,2450000000000.0,,10600000000000.0,92700000000.0
1997.0,8150000000000.0,65500000000.0,64600000000.0,12500000000.0,,,,376000000000.0,462000000.0,204000000000.0,56800000000.0,580000000000.0,75200000000.0,5270000000.0,2670000000.0,51700000000.0,789000000000.0,70600000000.0,,621000000000.0,,,,347000000000.0,,53400000000.0,354000000000.0,423000000000.0,22900000000.0,,8370000000000.0,,9110000000.0,16800000000.0,276000000000.0,211000000000.0,29300000000.0,,27200000000.0,536000000000.0,4420000000.0,1770000000000.0,,161000000000.0,878000000000.0,,,6320000000.0,5350000000.0,,,289000000000.0,,,,,,,1630000000.0,62100000000.0,1300000000.0,131000000000.0,171000000000.0,,32400000000.0,78100000000.0,72900000000.0,48000000000.0,,65700000000.0,264000000000.0,244000000000.0,30900000000.0,3320000000.0,12000000000.0,101000000000.0,14500000000.0,9580000000.0,112000000000.0,,9460000000.0,125000000000.0,,,,2630000000000.0,,11100000000000.0,95200000000.0
1998.0,8300000000000.0,71000000000.0,66500000000.0,13000000000.0,,,,369000000000.0,492000000.0,210000000000.0,56100000000.0,632000000000.0,74200000000.0,5650000000.0,2750000000.0,52600000000.0,818000000000.0,72600000000.0,1060000000000.0,602000000000.0,,,2930000000000.0,366000000000.0,2890000000.0,56500000000.0,369000000000.0,441000000000.0,24900000000.0,,8510000000000.0,,9840000000.0,18900000000.0,226000000000.0,220000000000.0,35100000000.0,2000000000.0,28000000000.0,543000000000.0,4520000000.0,1650000000000.0,,150000000000.0,889000000000.0,,,7320000000.0,5330000000.0,,,310000000000.0,2720000000000.0,,,,,,1580000000.0,57700000000.0,1320000000.0,135000000000.0,169000000000.0,14600000000.0,31300000000.0,69000000000.0,76400000000.0,50700000000.0,,54500000000.0,250000000000.0,255000000000.0,30800000000.0,3640000000.0,12400000000.0,100000000000.0,15300000000.0,11100000000.0,117000000000.0,,10100000000.0,128000000000.0,,,,2780000000000.0,,11300000000000.0,94500000000.0
1999.0,8550000000000.0,75500000000.0,67300000000.0,13600000000.0,,,,366000000000.0,488000000.0,223000000000.0,55300000000.0,688000000000.0,64100000000.0,5940000000.0,2760000000.0,50800000000.0,827000000000.0,72700000000.0,1130000000000.0,627000000000.0,,,3040000000000.0,376000000000.0,2790000000.0,58500000000.0,377000000000.0,462000000000.0,25400000000.0,,8760000000000.0,,9670000000.0,20800000000.0,230000000000.0,233000000000.0,40300000000.0,2070000000.0,28300000000.0,542000000000.0,4630000000.0,1660000000000.0,19300000000.0,186000000000.0,882000000000.0,,,6370000000.0,5960000000.0,3420000000.0,,315000000000.0,2820000000000.0,,,,,,1400000000.0,62800000000.0,1420000000.0,140000000000.0,167000000000.0,15300000000.0,31200000000.0,69900000000.0,79900000000.0,52300000000.0,,50300000000.0,277000000000.0,270000000000.0,35100000000.0,3850000000.0,9180000000.0,99400000000.0,15000000000.0,11000000000.0,121000000000.0,,10600000000.0,124000000000.0,,,,2900000000000.0,,11600000000000.0,93800000000.0
2000.0,8970000000000.0,82200000000.0,76900000000.0,14700000000.0,8690000000.0,,,391000000000.0,480000000.0,238000000000.0,58000000000.0,768000000000.0,70200000000.0,6120000000.0,2880000000.0,52800000000.0,874000000000.0,74400000000.0,1250000000000.0,701000000000.0,15600000000.0,,3320000000000.0,392000000000.0,3190000000.0,63500000000.0,395000000000.0,473000000000.0,27500000000.0,,9200000000000.0,2930000000.0,9870000000.0,24700000000.0,244000000000.0,247000000000.0,46000000000.0,2200000000.0,31100000000.0,565000000000.0,4810000000.0,1740000000000.0,24100000000.0,219000000000.0,937000000000.0,,,6340000000.0,5770000000.0,3630000000.0,,331000000000.0,3080000000000.0,1950000000.0,1790000000.0,759000000.0,,,1430000000.0,74900000000.0,1480000000.0,150000000000.0,172000000000.0,20700000000.0,33600000000.0,71400000000.0,85900000000.0,52100000000.0,,53500000000.0,318000000000.0,291000000000.0,40500000000.0,3860000000.0,10300000000.0,104000000000.0,15300000000.0,11800000000.0,123000000000.0,77700000000.0,11000000000.0,131000000000.0,,,,3010000000000.0,,12300000000000.0,97900000000.0
2001.0,8780000000000.0,84900000000.0,80200000000.0,15100000000.0,8890000000.0,,,397000000000.0,451000000.0,231000000000.0,58400000000.0,841000000000.0,71000000000.0,6320000000.0,2930000000.0,56400000000.0,876000000000.0,76000000000.0,1330000000000.0,709000000000.0,16300000000.0,,3420000000000.0,387000000000.0,3470000000.0,63400000000.0,399000000000.0,493000000000.0,26600000000.0,9220000000.0,9020000000000.0,3030000000.0,10500000000.0,25700000000.0,255000000000.0,254000000000.0,51100000000.0,2600000000.0,29700000000.0,554000000000.0,5270000000.0,1630000000000.0,29400000000.0,219000000000.0,938000000000.0,,,7150000000.0,6050000000.0,4010000000.0,,323000000000.0,3180000000000.0,1890000000.0,1680000000.0,754000000.0,,,1300000000.0,71900000000.0,1540000000.0,152000000000.0,171000000000.0,21600000000.0,33300000000.0,69500000000.0,86600000000.0,53800000000.0,,55600000000.0,328000000000.0,299000000000.0,35900000000.0,3990000000.0,10300000000.0,105000000000.0,15800000000.0,12200000000.0,123000000000.0,77700000000.0,11400000000.0,120000000000.0,,,,2920000000000.0,,12300000000000.0,99700000000.0
2002.0,8800000000000.0,85600000000.0,80600000000.0,16200000000.0,9310000000.0,,,406000000000.0,453000000.0,235000000000.0,60400000000.0,949000000000.0,70700000000.0,6550000000.0,3040000000.0,57500000000.0,867000000000.0,77200000000.0,1460000000000.0,740000000000.0,16400000000.0,,3610000000000.0,387000000000.0,3770000000.0,64300000000.0,395000000000.0,501000000000.0,26700000000.0,9330000000.0,9030000000000.0,3210000000.0,11000000000.0,26400000000.0,263000000000.0,267000000000.0,55300000000.0,2720000000.0,29000000000.0,546000000000.0,5980000000.0,1610000000000.0,33600000000.0,238000000000.0,944000000000.0,,,7530000000.0,6350000000.0,4300000000.0,,318000000000.0,3370000000000.0,1770000000.0,1690000000.0,755000000.0,,,1310000000.0,75200000000.0,1600000000.0,153000000000.0,171000000000.0,21800000000.0,35400000000.0,69800000000.0,87900000000.0,53500000000.0,,55800000000.0,338000000000.0,313000000000.0,38800000000.0,4100000000.0,10500000000.0,110000000000.0,17000000000.0,12500000000.0,124000000000.0,85500000000.0,11400000000.0,131000000000.0,,29400000000.0,6230000000.0,2930000000000.0,,12500000000000.0,104000000000.0
