Unnamed: 0,Advanced Economies,Austria,Belgium,Bangladesh,Bulgaria,Bosnia and Herzegovina,Belarus,Brazil,Barbados,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,Guatemala,High Income Countries,Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Montenegro,Mongolia,EMDE Middle East & N. Africa,Malawi,Malaysia,Nicaragua,Netherlands,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,EMDE South Asia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,Uganda,Ukraine,Uruguay,United States,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,587000000000.0,4670000000.0,4920000000.0,689000000.0,,,,27700000000.0,34108267.0,14200000000.0,4000000000.0,,6010000000.0,382000000.0,227000000.0,4370000000.0,61900000000.0,4810000000.0,,,,,,24800000000.0,,3840000000.0,25900000000.0,32100000000.0,1900000000.0,,605000000000.0,,681000000.0,1080000000.0,17200000000.0,13600000000.0,1490000000.0,,1890000000.0,39000000000.0,,131000000000.0,,10000000000.0,64900000000.0,,,,395000000.0,,,21700000000.0,,,,,,,149000000.0,3390000000.0,,8940000000.0,12000000000.0,,1990000000.0,5830000000.0,6980000000.0,3500000000.0,,5070000000.0,24200000000.0,15600000000.0,2010000000.0,244000000.0,,7420000000.0,1030000000.0,746000000.0,8940000000.0,,701000000.0,9550000000.0,,,,181000000000.0,,806000000000.0,6960000000.0
1994M01,587000000000.0,4920000000.0,5040000000.0,877000000.0,,,,27600000000.0,32468470.0,14300000000.0,3930000000.0,,5970000000.0,369000000.0,215000000.0,3970000000.0,61400000000.0,4990000000.0,,54300000000.0,,,,24700000000.0,,3770000000.0,26400000000.0,32300000000.0,1860000000.0,,606000000000.0,,684000000.0,1130000000.0,18500000000.0,13400000000.0,1480000000.0,,1920000000.0,39100000000.0,,128000000000.0,,9950000000.0,64900000000.0,,,,412000000.0,,,21800000000.0,,,,,,,151000000.0,3410000000.0,80401402.0,10300000000.0,12200000000.0,,2040000000.0,5400000000.0,8020000000.0,3450000000.0,,5100000000.0,24100000000.0,15600000000.0,2000000000.0,248000000.0,635000000.0,7050000000.0,999000000.0,738000000.0,9310000000.0,,698000000.0,9510000000.0,,,,181000000000.0,,807000000000.0,6610000000.0
1994M02,592000000000.0,4890000000.0,4880000000.0,780000000.0,,,,27900000000.0,31579205.0,14400000000.0,4070000000.0,,5990000000.0,377000000.0,223000000.0,3850000000.0,62500000000.0,4970000000.0,,52200000000.0,,,,25400000000.0,,3720000000.0,26300000000.0,32400000000.0,1880000000.0,,610000000000.0,,674000000.0,1120000000.0,19000000000.0,13400000000.0,1570000000.0,,1960000000.0,39700000000.0,,131000000000.0,,9990000000.0,65300000000.0,,,,403000000.0,,,21700000000.0,,,,,,,139000000.0,3590000000.0,109000000.0,10400000000.0,12400000000.0,,2080000000.0,4880000000.0,8150000000.0,3430000000.0,,4720000000.0,23500000000.0,15500000000.0,2060000000.0,250000000.0,662000000.0,7090000000.0,1020000000.0,733000000.0,8930000000.0,,700000000.0,8490000000.0,,,,181000000000.0,,810000000000.0,6650000000.0
1994M03,596000000000.0,4900000000.0,4920000000.0,819000000.0,,,,29000000000.0,34855786.0,14600000000.0,4120000000.0,,5870000000.0,389000000.0,225000000.0,3950000000.0,62000000000.0,5230000000.0,,52000000000.0,,,,25400000000.0,,3620000000.0,26300000000.0,32500000000.0,1880000000.0,,614000000000.0,,690000000.0,1110000000.0,16900000000.0,13300000000.0,1550000000.0,,1910000000.0,40300000000.0,,132000000000.0,,10100000000.0,67000000000.0,,,,412000000.0,,,22000000000.0,,,,,,,143000000.0,3470000000.0,91690793.0,10600000000.0,12000000000.0,,2190000000.0,5120000000.0,8220000000.0,3420000000.0,,4450000000.0,23400000000.0,15400000000.0,2140000000.0,259000000.0,724000000.0,7340000000.0,1050000000.0,772000000.0,8990000000.0,,670000000.0,8490000000.0,,,,183000000000.0,,815000000000.0,6890000000.0
1994M04,602000000000.0,4690000000.0,4840000000.0,764000000.0,,,,26400000000.0,33416537.0,14700000000.0,4200000000.0,,6440000000.0,396000000.0,238000000.0,4210000000.0,62900000000.0,5030000000.0,,50600000000.0,,,,25800000000.0,,3920000000.0,27000000000.0,32900000000.0,1860000000.0,,621000000000.0,,673000000.0,1140000000.0,18900000000.0,13300000000.0,1600000000.0,,1910000000.0,41000000000.0,,134000000000.0,,10100000000.0,65900000000.0,,,,416000000.0,,,23000000000.0,,,,,,,134000000.0,3610000000.0,87818262.0,10500000000.0,12000000000.0,,2270000000.0,4930000000.0,8240000000.0,3430000000.0,,4880000000.0,22200000000.0,15300000000.0,2140000000.0,248000000.0,795000000.0,7140000000.0,1020000000.0,757000000.0,9770000000.0,,725000000.0,8000000000.0,,,,184000000000.0,,821000000000.0,6710000000.0
1994M05,603000000000.0,5050000000.0,4790000000.0,743000000.0,,,,29000000000.0,32947822.0,14800000000.0,4200000000.0,,5970000000.0,393000000.0,219000000.0,4040000000.0,62700000000.0,5200000000.0,,52500000000.0,,,,25600000000.0,,3830000000.0,27000000000.0,33400000000.0,1830000000.0,,622000000000.0,,686000000.0,1140000000.0,19100000000.0,13400000000.0,1580000000.0,,1920000000.0,41100000000.0,,133000000000.0,,10400000000.0,67200000000.0,,,,420000000.0,,,22200000000.0,,,,,,,124000000.0,3730000000.0,92693682.0,10700000000.0,12300000000.0,,2200000000.0,4800000000.0,8470000000.0,3400000000.0,,4760000000.0,23800000000.0,15400000000.0,2140000000.0,271000000.0,760000000.0,6810000000.0,1070000000.0,803000000.0,8950000000.0,,705000000.0,7940000000.0,,,,185000000000.0,,825000000000.0,6410000000.0
1994M06,609000000000.0,4640000000.0,4750000000.0,916000000.0,,,,29200000000.0,34852122.0,15000000000.0,4310000000.0,,6200000000.0,397000000.0,226000000.0,3980000000.0,62800000000.0,5800000000.0,,53100000000.0,,,,26000000000.0,,3820000000.0,27100000000.0,33000000000.0,1870000000.0,,628000000000.0,,663000000.0,1150000000.0,19900000000.0,13700000000.0,1640000000.0,,1930000000.0,41500000000.0,,135000000000.0,,10600000000.0,67900000000.0,,,,409000000.0,,,22200000000.0,,,,,,,132000000.0,3650000000.0,93931264.0,10500000000.0,12800000000.0,,2280000000.0,4710000000.0,8440000000.0,3300000000.0,,5020000000.0,24400000000.0,15900000000.0,2170000000.0,263000000.0,807000000.0,7280000000.0,1080000000.0,801000000.0,9720000000.0,,705000000.0,7540000000.0,,,,186000000000.0,,833000000000.0,6840000000.0
1994M07,610000000000.0,5050000000.0,4730000000.0,809000000.0,,,,27800000000.0,33371738.0,15000000000.0,4010000000.0,,6210000000.0,389000000.0,225000000.0,4000000000.0,62700000000.0,4930000000.0,,52800000000.0,,,,26300000000.0,,3920000000.0,27400000000.0,33100000000.0,1900000000.0,,629000000000.0,,660000000.0,1150000000.0,20100000000.0,13700000000.0,1590000000.0,,1960000000.0,41600000000.0,,136000000000.0,,10200000000.0,66100000000.0,,,,402000000.0,,,22100000000.0,,,,,,,133000000.0,3740000000.0,101000000.0,10700000000.0,12300000000.0,,2300000000.0,4610000000.0,8520000000.0,3440000000.0,,5160000000.0,23800000000.0,15900000000.0,2150000000.0,255000000.0,774000000.0,7310000000.0,1090000000.0,767000000.0,9990000000.0,,705000000.0,7790000000.0,,,,187000000000.0,,833000000000.0,6870000000.0
1994M08,612000000000.0,4880000000.0,4780000000.0,740000000.0,,,,30500000000.0,33829085.0,15100000000.0,4330000000.0,,6540000000.0,403000000.0,231000000.0,4080000000.0,62700000000.0,5300000000.0,,55000000000.0,,,,26400000000.0,,3720000000.0,27500000000.0,33300000000.0,1910000000.0,,632000000000.0,,706000000.0,1190000000.0,20400000000.0,13900000000.0,1660000000.0,,2000000000.0,41700000000.0,,137000000000.0,,10400000000.0,69900000000.0,,,,439000000.0,,,22400000000.0,,,,,,,140000000.0,3820000000.0,99899562.0,10700000000.0,11400000000.0,,2320000000.0,4620000000.0,8850000000.0,3280000000.0,,5420000000.0,24600000000.0,15900000000.0,2230000000.0,251000000.0,799000000.0,7290000000.0,1070000000.0,801000000.0,9190000000.0,,731000000.0,8320000000.0,,,,188000000000.0,,842000000000.0,6850000000.0
