Unnamed: 0,Advanced Economies,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Burundi,Belgium,Bulgaria,Bahrain,"Bahamas, The",Belize,Bolivia,Brazil,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.",Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,"Gambia, The",Equatorial Guinea,Greece,Grenada,Guyana,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Japan,St. Kitts and Nevis,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,St. Lucia,Low-Income Countries (LIC),Lesotho,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,Solomon Islands,Sierra Leone,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Togo,Thailand,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,Uruguay,United States,St. Vincent and the Grenadines,"Venezuela, RB",World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,278.4255,,,81.3464,,,,,,,,,342.8486,,72.56473,78.2479,97.82266,71.98001,,,,141.2704,,,67.43711,,,91.74121,,,,,106.3921,137.2298,,,,,,,100.3816,,,,,,,,,,92.67878,196.2479,415.3578,136.0903,,,,,116.104,,80.53571,,137.592,87.97527,,,,,,,,91.08259,,375.9725,,,,,,119.2696,,,,89.45062,89.08757,,,84.39166,95.36411,169.7191,,134.0996,,,,1700.975,,,111.17,84.11025,,,,71.48355,132.7591,96.02128,,122.5885,,,4957.611,118.7667,,,,88.52918,,,,,199.3016,
1995.0,87.75675,,305.9018,,,78.98979,,,,,,,,,156.446,,72.37504,85.4544,107.149,71.46737,,,,133.5865,,,68.37329,,,97.70256,,,99.68967,,102.931,129.1562,5244.992,,,,,,97.95423,,,,,,,,94.63137,,98.68572,153.9538,382.0804,127.2131,,,,,111.8203,,86.58183,,139.3823,84.98591,180.5564,,,,,,,93.21828,,197.8729,5809.035,,,,,119.8434,,,,93.37726,95.0605,,251.5903,86.56619,96.51599,167.7913,,117.3843,,,,1327.759,,142.9379,107.5432,87.34089,,,,73.42359,137.3998,97.84205,,118.31,,,2825.462,114.7454,,,,91.0079,,,1234.753,,186.3474,
1996.0,89.87583,,322.9131,,,86.32532,,,,838.8416,,,,,148.2941,,74.28594,84.35057,108.0768,76.04971,,,,134.4886,,,69.12259,,,96.49559,,,104.4032,,105.9886,136.0422,4228.538,,,,,,100.3606,,,,,,,,94.59962,,97.78225,130.9132,387.8019,121.0095,,,,,109.4641,,75.83153,,140.717,88.49063,172.0292,,,,,,,94.78208,,168.2636,4679.509,,,,,125.2609,323.3555,,,93.3432,101.8867,,231.1104,90.87075,96.02733,172.7947,,108.3027,,,,916.5948,441.7441,134.9294,111.8265,91.53701,,,,73.94641,124.5973,107.3205,,123.2082,,,1678.087,115.7025,,,,96.36518,,,1104.247,,163.6272,
1997.0,94.09623,,347.3173,,,87.35138,,,,81.51813,,,,,147.1287,,75.03909,79.46424,113.6841,82.90426,,,,131.9243,,,67.10309,,,94.09115,,,106.9916,500.0482,111.0038,153.8081,3668.901,,,,,,116.904,,,,,,,,96.37284,,97.90035,121.4586,353.5845,126.7694,,,,,109.5472,,72.43934,,129.8207,95.26641,174.429,,,,,,,97.05323,,165.4415,4104.775,,,,,122.3484,196.1913,,,93.90647,104.4076,,219.2096,95.31124,94.44118,166.1996,,99.90532,,,,453.7346,438.7414,138.4565,113.0668,93.84098,,,436.022,76.56716,119.4804,103.539,,112.3852,,,1017.16,118.4184,,,,103.5812,,,1040.065,,162.4984,
1998.0,99.64015,,369.7057,,,82.22849,,,,79.5475,,,,,144.1801,,72.37662,83.2264,111.5406,93.23025,,,,112.2541,,,68.60169,,,96.79402,,,95.40496,355.7322,118.4067,166.7898,3126.162,,,,,,125.2159,,,,,,,,101.3437,,98.12681,110.4087,109.3422,120.6058,,,,,105.3014,,75.32865,,94.86427,103.1262,170.6932,,,,,,,100.6907,,148.0755,3469.628,,,,,95.8246,193.8164,,,91.77504,93.21347,,200.9943,100.5388,92.37279,130.7394,,98.4673,,,,393.5834,343.0926,130.7692,113.7322,93.83675,,,413.6682,76.13453,119.8998,104.3237,,90.8093,,,618.3164,110.059,,,,115.3267,,,985.1994,,144.6548,
1999.0,102.1279,,420.9304,,,82.49015,,,,88.39558,,,,,94.55295,,72.21977,83.53694,105.1771,91.45708,,,,97.28762,,,67.75419,,,96.63956,,,95.98258,189.9245,116.7224,179.1895,2586.119,,,,,,126.203,,,,,,,,102.8623,,92.90659,105.6051,134.4695,118.8246,,,,,99.44814,,87.00821,,110.4073,102.6837,153.1896,,,,,,,103.5072,,141.2903,2860.127,,,,,95.92782,180.9924,,,91.82289,89.7546,,188.501,100.7701,83.74454,132.6107,,92.18348,,,,244.2696,117.6756,127.6337,113.0066,90.3064,,,381.3084,68.78406,116.2154,104.3803,,95.47641,,,416.3438,111.7399,,,,115.9315,,,915.2035,,130.4448,
2000.0,105.1939,103.7579,439.2428,70.42918,107.345,76.63312,95.94773,192.5716,91.81812,87.64257,119.9709,107.6836,105.7069,115.4445,97.36319,93.22096,73.13532,81.85648,103.4028,93.16739,86.9387,91.89956,7791.864,86.66693,189.3349,87.12535,68.31947,90.69384,101.2323,92.35039,247.3294,124.4168,96.55446,159.2789,118.026,189.4084,2531.383,94.29642,89.42885,113.9793,92.2017,92.53751,128.8614,87.91358,343.6577,264.2332,82.52069,89.71162,105.866,125.2033,105.639,121.9393,90.123,99.28753,128.6865,120.2022,85.72238,703.1693,413757.5,202.0369,107.8954,89.37896,94.67489,107.3571,118.7822,106.9819,157.174,121.3688,104.6526,,108.3401,94.81764,111.38,106.621,109.4982,144.5735,2800.846,87.73898,91.67977,,289.4206,97.89505,178.6276,173.7668,91.23543,89.07422,80.50185,115.4799,188.071,103.081,84.93826,119.0081,127.4723,94.29405,94.78097,131.1314,118.3454,194.5522,114.5826,128.7827,118.1393,90.56632,199.6055,253.4427,378.4771,69.224,106.5073,103.7232,81.64171,91.70386,107.145,139.2701,305.0607,117.7427,143.3355,161.49,143.3053,119.2638,114.8169,417.43,922.4203,97.09188,130.7403,172.9828
2001.0,106.4479,108.2816,485.4631,71.87953,109.9983,71.7201,95.79657,174.4951,92.18366,89.87652,124.5133,111.4975,108.599,115.7539,78.38784,93.66436,71.01534,84.9298,92.66361,98.34039,88.68634,92.89682,1071.692,81.71328,182.1653,89.3043,71.31376,91.61321,104.305,93.27741,243.9176,128.7649,99.33399,131.3001,122.228,174.562,2594.794,94.75237,90.31409,114.1601,92.5706,92.52849,126.6804,93.96217,263.3439,225.0293,81.72509,90.83494,107.875,125.8931,106.8597,126.4494,92.88209,100.8621,111.7816,119.7697,86.2918,748.8786,426649.5,170.3655,108.7863,90.99411,87.01085,109.2426,109.7545,113.2189,155.7519,127.7938,106.9206,492.3566,89.56671,94.90827,111.8027,103.8794,112.3002,148.3229,2880.925,90.63079,92.24039,23305.22,259.452,103.2085,172.1159,169.887,91.81267,91.48697,78.73147,119.8065,169.218,106.9628,89.18502,108.2298,112.6242,103.4765,95.21344,122.3659,123.4204,151.63,119.4666,126.0214,124.2388,92.02561,206.393,277.7725,172.5733,67.63161,101.6477,94.93117,84.21183,87.77649,110.4746,138.3165,172.4272,114.4185,141.1337,174.7733,139.4897,125.4196,117.7543,409.9152,944.6109,99.21773,111.6959,167.3596
2002.0,106.8376,115.9304,184.0178,75.75223,109.6805,73.96395,96.43788,159.1516,93.87113,92.22881,122.1753,109.7547,108.3045,120.3241,73.4081,95.11004,69.87032,88.83492,90.22475,97.90321,91.64892,95.33152,335.2306,80.47865,166.3733,92.2047,79.5686,93.38316,105.2203,94.42274,230.3348,121.9747,99.7509,117.296,121.9654,150.2885,2643.358,95.72789,92.12712,116.0222,93.95569,94.02987,127.7797,94.20793,234.1912,175.7287,84.44338,92.88983,107.0579,123.6297,107.1069,125.1471,94.47285,107.9401,122.2062,115.2706,88.37982,262.3781,438909.1,174.5434,95.1186,93.2613,83.09827,108.5214,113.8122,112.5801,112.4892,124.9206,106.095,224.3388,72.57833,95.7786,110.6429,102.5102,106.6654,143.4083,2936.445,92.54442,93.53541,23876.22,259.883,102.6001,156.5823,160.2335,93.36693,99.67912,84.99888,118.462,172.2966,109.4134,93.99036,106.689,96.34558,99.19325,96.03557,104.1757,121.1938,128.1504,113.6591,122.4803,122.2637,91.28918,159.8875,253.0358,135.4457,68.57547,99.2991,96.92929,86.96036,90.71146,111.3179,136.1454,128.5578,111.8852,138.5023,178.7064,118.3253,125.4439,116.5462,274.3259,961.2274,99.01348,88.9477,147.4308
