Unnamed: 0,Advanced Economies,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Burundi,Belgium,Bulgaria,Bahrain,"Bahamas, The",Belize,Bolivia,Brazil,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.",Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,"Gambia, The",Equatorial Guinea,Greece,Grenada,Guyana,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Japan,St. Kitts and Nevis,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,St. Lucia,Low-Income Countries (LIC),Lesotho,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,Solomon Islands,Sierra Leone,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Togo,Thailand,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,Uruguay,United States,St. Vincent and the Grenadines,"Venezuela, RB",World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M01,,,209.9449,,,79.54797,,,,,,,,,1043.296,,75.70704,75.3377,85.60147,73.6717,,,,133.375,,,67.45137,,,89.85357,,,,,108.4016,140.6426,,,,,,,101.3331,,,,,,,,,,88.3596,211.3596,439.4435,138.8597,,,,,120.0401,,74.16459,,139.1468,89.46092,,,,,,,,89.36057,,405.5339,,,,,,118.9194,,,,87.46238,87.07134,,,82.16755,87.47917,165.0202,,147.5455,,,,2065.437,,,113.2354,82.0565,,,,71.01698,130.7322,94.68931,,124.9378,,,9082.929,121.389,,,,87.82086,,,,,225.765,
1994M02,85.77405,,225.0751,,,81.17244,,,,,,,,,744.2883,,74.13591,75.87271,88.33854,72.80459,,,,134.6556,,,67.31567,,,89.51658,,,104.3931,,107.7189,140.5398,10845.0,,,,,,99.98974,,,,,,,,96.12663,,90.03723,208.7185,431.301,138.4079,,,,,120.0098,,77.94063,,138.1129,89.48566,474.2563,,,,,,,89.6165,,402.8883,12415.99,,,,,115.4466,,,,87.24186,87.79352,,,82.44809,89.32218,163.9261,,145.1759,,,,1922.29,,155.2382,112.7963,82.32753,,,,71.08145,129.2419,95.99182,,124.0481,,,7688.095,120.5805,,,,88.01249,,,2001.266,,220.0702,
1994M03,86.20269,,241.2922,,,80.23115,,,,,,,,,528.9442,,72.97152,76.5226,90.54687,72.67289,,,,136.2974,,,67.63382,,,90.35572,,,103.7985,,107.5638,139.9629,9138.905,,,,,,100.0629,,,,,,,,95.83095,,92.72334,205.8475,424.0891,137.8398,,,,,119.6065,,78.42655,,138.1923,89.11548,378.7194,,,,,,,90.34598,,382.1719,10382.39,,,,,117.2057,,,,88.02533,87.18985,,,83.1288,91.70516,164.0955,,142.4902,,,,1781.975,,154.6009,112.6208,82.21044,,,,71.49642,129.755,95.80272,,123.8491,,,6223.758,120.3823,,,,88.79212,,,1764.95,,215.558,
1994M04,86.70304,,260.8098,,,80.89287,,,,,,,,,370.911,,72.01554,76.25439,95.05558,72.35907,,,,137.2688,,,67.7766,,,90.12307,,,103.3678,,107.6189,140.9343,7468.943,,,,,,99.62861,,,,,,,,96.04801,,92.73235,206.1655,421.5819,138.3242,,,,,119.3034,,80.31645,,138.153,89.74097,313.0692,,,,,,,90.58312,,379.607,8369.81,,,,,118.0104,,,,87.81311,86.75271,,,83.95185,93.91558,164.0897,,140.3292,,,,1725.469,,155.1442,113.0061,83.02068,,,,71.90227,131.0045,96.5185,,123.7095,,,4586.407,120.4471,,,,89.34567,,,1534.094,,205.8882,
1994M05,86.95091,,280.5645,,,81.53813,,,,,,,,,258.0297,,72.04222,76.75164,97.93863,72.46669,,,,139.4847,,,67.47394,,,91.24494,,,103.4601,,107.3719,139.7886,6847.955,,,,,,100.201,,,,,,,,96.23905,,91.41271,204.1577,419.5845,137.6298,,,,,117.3136,,79.99239,,138.4498,89.22074,268.4573,,,,,,,91.05305,,383.0556,7618.776,,,,,120.9246,,,,89.00231,88.78863,,,84.85472,96.67133,167.0587,,137.2024,,,,1723.413,,154.3654,112.6202,83.7277,,,,71.33512,129.6325,97.44338,,123.6389,,,4107.897,118.3011,,,,89.65617,,,1448.597,,195.3582,
1994M06,87.05357,,302.7628,,,81.69158,,,,,,,,,178.7626,,71.89357,78.10458,101.7277,72.24235,,,,145.165,,,67.15334,,,91.76902,,,103.0388,,107.0154,138.8766,6862.814,,,,,,100.3546,,,,,,,,96.14995,,91.47655,200.9812,416.078,136.9985,,,,,115.6522,,80.68782,,138.1262,88.5902,237.4509,,,,,,,91.45846,,380.7758,7646.395,,,,,121.5787,,,,89.67168,88.79454,,,85.71512,99.39468,167.6974,,134.7976,,,,1690.513,,153.6573,111.9386,84.24665,,,,71.15415,131.9809,95.34148,,123.3669,,,4346.039,116.8882,,,,89.66998,,,1451.255,,193.8318,
1994M07,86.62088,,307.7961,,,80.77196,,,,,,,,,154.6368,,71.57449,79.13697,101.4296,70.85967,,,,146.7256,,,67.13244,,,92.87302,,,101.2206,,105.8939,136.1703,6745.07,,,,,,99.49542,,,,,,,,95.28797,,94.35244,199.3006,408.4053,134.87,,,,,114.3149,,83.603,,136.1918,87.32004,225.4116,,,,,,,91.40704,,371.499,7526.645,,,,,119.204,,,,90.45258,89.07334,,,85.24194,98.8946,168.5489,,131.461,,,,1614.287,,151.27,109.9415,84.02813,,,,70.89585,135.6763,93.8792,,121.8085,,,4335.329,116.7829,,,,88.45371,,,1432.339,,190.1484,
1994M08,86.57141,,305.7475,,,81.71911,,,,,,,,,160.7038,,71.88431,79.66698,101.7148,71.5641,,,,147.5424,,,67.63599,,,92.72703,,,101.9834,,105.7679,136.4717,6698.838,,,,,,99.68888,,,,,,,,95.29384,,94.27512,186.7442,409.9535,134.9654,,,,,114.0218,,81.92427,,136.8435,87.06677,228.4955,,,,,,,91.7797,,374.4841,7467.839,,,,,120.8039,,,,90.5648,89.66367,,,85.26074,97.06733,168.9166,,130.3243,,,,1636.272,,151.377,110.258,84.44345,,,,71.66612,136.072,94.06794,,122.0412,,,4240.668,118.1325,,,,88.57357,,,1425.591,,195.6028,
1994M09,86.3118,,302.8455,,,81.32669,,,,,,,,,165.7411,,72.75384,80.7378,102.07,71.37031,,,,143.9915,,,67.30164,,,92.68162,,,101.4023,,105.043,135.2302,6431.146,,,,,,100.1815,,,,,,,,94.73643,,94.14119,184.7667,404.3928,133.9832,,,,,113.3248,,82.55436,,136.3827,86.60811,229.4264,,,,,,,91.39943,,372.2755,7159.01,,,,,120.2854,,,,90.58417,89.53969,,,84.92972,95.53181,170.1786,,127.6272,,,,1582.317,,150.2754,109.5088,84.98164,,,,71.43367,136.8239,95.86043,,121.221,,,3929.428,118.2269,,,,87.74721,,,1386.669,,194.0225,
1994M10,86.08169,,299.8179,,,80.13884,,,,,,,,,168.4799,,72.70019,81.24906,101.7678,70.83664,,,,141.2955,,,67.3381,,,93.5474,,,100.8356,,104.5804,132.7938,6260.714,,,,,,101.5555,,,,,,,,94.25987,,95.16263,183.1561,402.3618,132.7861,,,,,112.0808,,82.39224,,135.9609,85.99378,228.9709,,,,,,,91.77621,,368.2514,6965.464,,,,,119.2861,,,,91.28024,90.03136,,,84.65746,95.68024,173.4116,,125.1863,,,,1540.339,,148.9327,108.4703,85.32763,,,,71.60415,135.4964,97.96287,,120.5065,,,3749.2,118.011,,,,87.15464,,,1361.523,,186.7163,
1994M11,86.37509,,300.42,,,82.22064,,,,,,,,,170.1524,,71.96328,80.05208,101.9623,70.92953,,,,143.6713,,,67.41843,,,93.33189,,,101.1088,,104.6258,131.7007,6166.344,,,,,,101.3039,,,,,,,,94.60587,,93.10348,182.551,402.5461,133.3984,,,,,113.026,,82.89293,,136.5827,86.14549,229.1287,,,,,,,92.17028,,364.8406,6847.564,,,,,119.2496,,,,90.79079,91.08995,,,84.74891,97.65442,180.5615,,124.0159,,,,1555.439,,149.6195,109.0729,86.0255,,,,72.03724,133.94,97.61096,,120.5456,,,3622.673,117.8707,,,,87.52801,,,1349.972,,185.1011,
1994M12,87.40491,,304.0301,,,84.90546,,,,,,,,,170.2367,,71.13481,79.28832,105.7185,71.98253,,,,145.7721,,,67.61399,,,92.8707,,,102.263,,105.1038,133.6462,6106.551,,,,,,100.7844,,,,,,,,95.70848,,94.3687,181.2256,404.5562,135.02,,,,,114.5539,,81.5333,,138.9619,86.95503,220.2497,,,,,,,92.04074,,326.2869,6768.779,,,,,120.3213,,,,90.51818,93.26228,,,85.59499,101.0528,183.1243,,123.0404,,,,1573.953,,151.4383,110.5715,86.92709,,,,72.17913,132.7532,97.0868,,121.3889,,,3578.913,118.1882,,,,89.59572,,,1347.413,,183.5571,
1995M01,88.7696,,303.5604,,,83.20902,,,,,,,,,171.9546,,70.85527,80.86541,104.655,72.73421,,,,143.5623,,,67.98427,,,94.21461,,,102.328,,104.6663,132.4603,5760.234,,,,,,100.8787,,,,,,,,96.83331,,96.66882,179.0283,398.0535,134.332,,,,,114.8506,,82.01813,,138.968,86.7032,195.8045,,,,,,,92.54855,,229.1758,6357.633,,,,,120.686,,,,91.44528,93.55446,,263.5321,86.55768,99.85074,179.9003,,121.6055,,,,1546.908,,150.6665,109.6935,86.71526,,,,72.62597,134.0439,96.45628,,120.9211,,,3301.128,118.2726,,,,92.06717,,,1306.649,,209.1773,
1995M02,88.63236,,302.1947,,,80.78636,,,,,,,,,172.3988,,71.31637,81.31324,102.823,72.36024,,,,142.2222,,,68.14036,,,94.97973,,,101.6609,,104.4775,131.4261,5651.815,,,,,,99.97866,,,,,,,,96.50207,,97.49531,176.874,395.145,133.5169,,,,,114.219,,83.19639,,138.164,86.34309,194.297,,,,,,,92.73514,,224.1849,6236.42,,,,,120.0813,,,,92.06534,92.88828,,261.8074,86.40479,98.49643,175.5525,,120.0101,,,,1515.146,,149.7365,109.1521,86.28285,,,,73.08565,135.3258,96.93884,,120.5175,,,3199.123,117.5012,,,,91.8035,,,1290.634,,204.189,
1995M03,89.03654,,303.2074,,,77.77028,,,,,,,,,160.8063,,70.63423,85.92109,102.8541,70.39131,,,,139.445,,,69.19404,,,97.18237,,,98.60932,,102.7541,128.232,5396.505,,,,,,99.18363,,,,,,,,96.50429,,101.2974,164.7871,381.7335,129.5716,,,,,112.8324,,89.31146,,136.8872,85.3315,179.6718,,,,,,,93.42667,,187.2411,5946.46,,,,,117.1843,,,,94.18545,93.04596,,255.0848,86.32352,95.75276,166.0847,,119.6408,,,,1453.111,,145.44,106.8284,86.2875,,,,73.92375,140.5535,95.46859,,117.7079,,,3054.476,115.6854,,,,91.25094,,,1256.989,,193.4447,
1995M04,88.26713,,301.3218,,,76.32695,,,,,,,,,155.2977,,71.56191,87.06753,105.9359,68.30735,,,,136.806,,,69.14676,,,99.46742,,,95.77511,,101.1047,126.6976,5283.282,,,,,,97.94074,,,,,,,,95.48491,,102.4297,157.2284,370.4223,128.208,,,,,111.6676,,96.25253,,135.3635,84.87961,180.6557,,,,,,,93.3954,,201.7814,5823.777,,,,,117.0993,,,,94.07051,94.47128,,249.7186,85.10109,94.15813,159.8946,,118.5407,,,,1404.56,,143.5704,104.8902,85.56466,,,,73.98208,141.8198,93.05612,,115.0238,,,2971.976,115.7036,,,,88.35037,,,1236.762,,186.9425,
1995M05,88.12185,,300.9437,,,75.69389,,,,,,,,,157.4433,,72.28511,85.48714,110.7442,69.52471,,,,136.5942,,,68.66513,,,98.69235,,,97.02667,,100.9377,126.9396,5285.782,,,,,,97.57656,,,,,,,,95.27574,,100.5187,154.1452,372.4793,128.7507,,,,,110.4866,,94.71672,,136.9985,84.17864,183.6815,,,,,,,92.84924,,209.2604,5830.388,,,,,118.177,,,,93.2777,95.37566,,251.074,85.0714,94.41795,161.666,,118.1586,,,,1384.916,,144.2159,105.5951,86.43124,,,,73.41701,141.0321,94.42655,,115.2471,,,2944.489,115.8549,,,,88.45545,,,1236.301,,179.5158,
