Unnamed: 0,Advanced Economies,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Burundi,Belgium,Bulgaria,Bahrain,"Bahamas, The",Belize,Bolivia,Brazil,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.",Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,"Gambia, The",Equatorial Guinea,Greece,Grenada,Guyana,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Japan,St. Kitts and Nevis,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,St. Lucia,Low-Income Countries (LIC),Lesotho,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,Solomon Islands,Sierra Leone,EMDE Sub-Saharan Africa,Slovakia,Sweden,Togo,Thailand,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,Uruguay,United States,St. Vincent and the Grenadines,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994M01,,174.2519,,,74.0482,,,,,,,,,86.25885,,88.70364,99.7539,94.53499,63.64326,,,,84.13389,,,52.28146,,,95.25422,,,,,111.1627,84.39856,,,,,,,112.9327,,,,,,,,,133.7143,84.12337,70.15964,141.8475,73.96142,,,,101.4357,,123.6672,,122.6184,93.47672,,,,,,,100.9148,,120.9889,,,,,,114.0841,,,,91.67806,,120.858,,101.8371,102.8726,,68.12308,,,59.36018,,,131.5842,98.08754,,,,,118.0375,,105.9408,,,72.0404,147.5876,,,,103.6695,,,,,,120.8801,
1994M02,102.0875,173.4308,,,75.10237,,,,,,,,,84.95225,,85.77776,100.0354,94.3234,63.66791,,,,86.51273,,,52.10928,,,94.59742,,,72.81859,,110.8628,84.48922,86.70379,,,,,,111.0745,,,,,,,,101.8286,133.4165,84.14813,69.62346,139.1835,73.68311,,,,101.2961,,128.7454,,122.0457,93.43262,108.499,,,,,,101.9083,,120.4026,85.10963,,,144.5233,,111.2047,,,,91.19292,,119.5201,,102.4744,102.219,,67.13702,,,57.77467,,79.47822,130.5597,97.98111,,,,,119.1256,,104.9717,,,64.35441,147.3511,,,,103.0613,,,,97.09545,,118.3845,
1994M03,102.1595,171.2742,,,74.00386,,,,,,,,,86.03604,,84.01854,100.3102,94.05921,64.03792,,,,87.62495,,,52.08687,,,95.12227,,,73.02159,,113.457,84.24734,86.04058,,,,,,110.769,,,,,,,,101.8709,132.157,85.38551,69.00433,137.9293,73.45735,,,,101.4299,,129.719,,122.2504,92.30334,107.1114,,,,,,103.1261,,113.7292,84.44568,,,143.6799,,111.8689,,,,91.9825,,118.9188,,104.1093,101.315,,66.99871,,,57.75063,,79.20497,129.4427,96.8973,,,,,118.6684,,104.7321,,,54.65148,145.7418,,,,103.2171,,,,96.90865,,117.4194,
1994M04,102.1745,170.827,,,74.21245,,,,,,,,,86.13961,,82.66132,99.45677,95.40452,65.02123,,,,88.63357,,,52.11276,,,94.64682,,,73.70906,,104.2798,84.65288,86.11318,,,,,,110.7519,,,,,,,,101.9031,132.412,83.23001,69.59375,136.2855,73.68982,,,,102.534,,131.4156,,121.3718,92.28912,106.7617,,,,,,103.5314,,112.5819,84.48682,,,143.6628,,112.0789,,,,91.43911,,118.9989,,104.7019,101.1382,,67.61205,,,58.79227,,79.41817,129.1188,98.09176,,,,,119.1999,,104.3245,,,49.27184,145.9803,,,,102.9856,,,,96.94398,,113.6944,
1994M05,101.6772,169.8697,,,74.61053,,,,,,,,,85.23178,,82.25605,98.76228,96.07832,65.18654,,,,89.31685,,,51.80128,,,95.83377,,,73.93446,,105.654,83.44932,86.03409,,,,,,110.8812,,,,,,,,101.4098,132.568,82.22243,69.31066,135.8377,73.67462,,,,101.6518,,130.0568,,120.8962,90.76804,106.6491,,,,,,102.429,,113.7555,84.43898,,,142.042,,114.4151,,,,92.13093,,118.9078,,104.9682,102.6589,,67.006,,,60.96182,,79.39338,127.8809,98.58778,,,,,119.9618,,104.8777,,,47.79993,143.9408,,,,102.3961,,,,96.592,,111.1132,
1994M06,101.4912,168.2431,,,74.9577,,,,,,,,,87.61522,,81.89985,100.4597,96.57377,65.808,,,,91.6779,,,52.40809,,,96.40587,,,74.39505,,106.4786,81.66034,86.52129,,,,,,111.1034,,,,,,,,101.2161,132.1132,81.96117,68.93258,135.0935,74.28803,,,,100.819,,130.0597,,120.7378,89.93732,107.2523,,,,,,101.6669,,112.2259,85.00145,,,140.3472,,114.3495,,,,92.92486,,118.3894,,105.2388,102.6195,,67.21587,,,61.17125,,79.8637,126.6738,99.28592,,,,,117.1458,,104.8269,,,51.35937,141.1037,,,,102.0138,,,,96.64249,,110.5708,
1994M07,100.9947,168.5283,,,73.87777,,,,,,,,,81.49436,,81.60587,101.4954,96.0135,65.00121,,,,92.54297,,,52.2372,,,97.19613,,,73.57235,,105.0584,80.87938,85.18614,,,,,,109.1276,,,,,,,,100.6709,130.8539,84.0243,68.94273,134.0754,74.02148,,,,100.585,,133.3382,,119.7802,87.9215,104.1795,,,,,,101.137,,110.5724,83.70099,,,137.7861,,112.9474,,,,93.83175,,117.2148,,104.606,103.1513,,66.47009,,,59.78372,,79.48235,123.7959,98.90024,,,,,114.982,,103.4805,,,52.69479,140.8632,,,,100.7389,,,,95.84829,,108.698,
1994M08,100.4807,167.3541,,,74.36252,,,,,,,,,85.63282,,81.64716,101.925,96.60755,67.34331,,,,92.78972,,,52.62072,,,97.02241,,,75.65018,,103.4185,81.38675,86.78024,,,,,,109.1476,,,,,,,,100.1663,130.1327,84.04653,65.07862,134.9893,74.4121,,,,100.9476,,130.3363,,120.3807,87.94916,105.9102,,,,,,101.6678,,111.0992,85.45927,,,137.7456,,113.9707,,,,93.47737,,116.765,,103.3731,104.0499,,66.42961,,,60.57568,,79.76671,123.3496,99.12996,,,,,114.7072,,103.6061,,,52.70817,144.6118,,,,100.4515,,,,96.07514,,111.9316,
1994M09,99.89785,164.8922,,,73.65012,,,,,,,,,89.36874,,82.60886,102.9587,96.87852,69.52368,,,,90.89055,,,52.85654,,,96.68035,,,77.38806,,103.4,81.71949,87.95421,,,,,,109.5328,,,,,,,,99.61561,128.2759,84.09927,65.65894,133.8897,74.59098,,,,101.3857,,130.8533,,118.8609,89.24517,106.9024,,,,,,101.8067,,110.6443,86.72011,,,137.2222,,113.6348,,,,93.46221,,115.8776,,101.6685,104.1916,,67.85423,,,60.61304,,79.81079,122.1189,99.0912,,,,,117.45,,103.6242,,,51.73612,144.0999,,,,99.15049,,,,96.10897,,113.0315,
1994M10,99.5604,162.9194,,,72.77079,,,,,,,,,92.95876,,82.37791,103.2634,96.71227,69.63482,,,,89.65748,,,53.09339,,,97.59871,,,77.53467,,102.464,81.46054,88.22869,,,,,,110.4626,,,,,,,,99.28399,128.3441,84.63825,66.21037,134.5649,74.00422,,,,101.6936,,131.0967,,117.7401,87.83053,107.9475,,,,,,102.6634,,110.1443,87.03724,,,136.348,,112.7376,,,,94.16003,,115.2677,,101.538,106.0952,,68.37661,,,61.41252,,79.22109,121.0838,99.61151,,,,,119.9518,,103.0907,,,52.76578,141.7681,,,,98.33743,,,,95.98576,,112.5203,
1994M11,99.80375,162.2407,,,74.69154,,,,,,,,,96.24077,,81.8396,101.6392,97.01779,70.42949,,,,91.28161,,,53.74724,,,97.60868,,,78.39058,,103.1117,82.9693,89.26653,,,,,,110.2343,,,,,,,,99.54853,128.7018,83.08645,67.17097,135.7322,74.68487,,,,103.5289,,131.1031,,118.2447,88.34496,109.4241,,,,,,103.8836,,109.8194,88.09635,,,137.4692,,113.2493,,,,93.40812,,115.4416,,104.3203,110.7894,,68.98319,,,63.4687,,79.83769,121.5778,100.5309,,,,,119.2166,,102.4367,,,54.05174,139.9827,,,,98.75174,,,,96.51015,,114.0357,
1994M12,100.8063,163.3719,,,77.54539,,,,,,,,,97.72801,,80.80919,100.6639,100.8576,72.4827,,,,93.24979,,,54.26409,,,96.97265,,,80.26447,,105.0874,83.69002,90.11096,,,,,,110.1792,,,,,,,,100.5668,129.7155,84.97546,67.89503,136.7122,74.90338,,,,105.2432,,128.3334,,120.1684,89.22626,107.7282,,,,,,103.2269,,98.20191,88.88631,,,138.4829,,114.6513,,,,93.23526,,116.2618,,108.0966,112.418,,69.53273,,,65.1462,,80.13227,122.6231,101.1774,,,,,118.357,,102.6789,,,56.99988,139.4323,,,,101.1181,,,,97.46121,,114.7285,
1995M01,101.7753,161.9818,,,76.28051,,,,,,,,,99.62913,,79.82989,102.935,100.1712,74.46347,,,,93.05148,,,54.7415,,,97.5109,,,81.69218,,106.1711,87.05046,89.48519,,,,,,109.595,,,,,,,,101.571,128.0187,86.50586,69.18414,133.7407,74.07789,,,,104.7497,,127.7864,,120.5054,88.52443,101.23,,,,,,105.0071,,70.9437,88.04251,,,142.3883,,114.4908,,,,94.51568,,116.3213,120.083,106.3267,112.1658,,71.30606,,,65.07137,,79.41867,126.3217,101.3945,,,,,117.3736,,102.6537,,,55.96046,141.3773,,,,103.2607,,,,97.87219,,115.3343,
1995M02,101.2525,162.187,,,74.1119,,,,,,,,,100.2601,,80.45327,103.8013,98.14377,74.38962,,,,94.80175,,,55.12351,,,98.20666,,,81.51827,,103.9537,86.99402,89.47265,,,,,,108.4891,,,,,,,,101.0447,128.2074,86.87549,69.79582,133.241,73.83383,,,,103.9143,,128.614,,119.958,87.47067,101.8135,,,,,,106.214,,72.43322,88.08663,,,142.0563,,114.5117,,,,94.99592,,115.3894,118.5971,105.3228,109.3267,,71.29369,,,64.09869,,79.08764,125.845,100.6045,,,,,117.7466,,102.5353,,,56.62778,139.4268,,,,102.3331,,,,97.52737,,113.9061,
1995M03,101.7104,161.3936,,,71.49133,,,,,,,,,94.49964,,79.57851,109.2733,97.95525,72.39752,,,,94.32048,,,55.69515,,,100.3992,,,79.26233,,103.5334,84.60655,86.67071,,,,,,107.5768,,,,,,,,101.4074,126.1933,89.96514,67.35948,129.5783,71.91088,,,,102.2074,,137.87,,119.737,85.61702,96.88608,,,,,,107.6951,,63.8618,85.19288,,,138.7487,,111.1281,,,,97.34871,,114.8047,116.0433,103.0151,103.4226,,72.06369,,,61.70248,,77.33389,122.3806,100.0171,,,,,115.9383,,100.2424,,,56.37201,137.0655,,,,101.0458,,,,96.83604,,110.3804,
1995M04,100.7479,157.8171,,,69.94556,,,,,,,,,92.97476,,80.43816,110.3802,100.2916,71.30245,,,,93.40078,,,55.96806,,,102.4724,,,77.9614,,102.7618,83.14836,86.11324,,,,,,106.4513,,,,,,,,100.4536,124.4254,90.61737,65.67702,126.8968,71.21593,,,,101.6176,,147.1853,,118.3226,84.7633,98.23433,,,,,,108.609,,73.84782,84.66054,,,136.4855,,110.5301,,,,96.7928,,112.2937,113.127,101.1994,99.53281,,72.72211,,,60.31771,,76.40933,119.851,99.1375,,,,,113.1651,,98.24269,,,57.75356,138.1628,,,,97.21111,,,,96.01246,,109.2762,
1995M05,100.0556,156.815,,,69.44455,,,,,,,,,96.28457,,81.26504,107.7028,104.7028,72.61209,,,,93.51167,,,55.59643,,,101.858,,,79.2578,,102.9808,83.38934,87.67779,,,,,,106.177,,,,,,,,99.82844,124.716,89.58963,65.69721,127.9715,72.50469,,,,101.4351,,144.4745,,119.5925,84.05128,101.282,,,,,,106.6918,,79.77848,86.28881,,,136.2752,,111.921,,,,95.70497,,111.922,113.9205,101.5315,101.4095,,73.70236,,,59.62496,,77.48817,119.8786,99.76486,,,,,114.6341,,99.29404,,,58.94829,137.601,,,,96.60434,,,,96.11415,,108.4082,
