Unnamed: 0,Advanced Economies,Belgium,Brazil,Canada,Switzerland,Czech Republic,Germany,Denmark,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),Spain,Finland,France,United Kingdom,Greece,High Income Countries,Hungary,Ireland,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Latvia,Mexico,Middle-Income Countries (MIC),EMDE Middle East & N. Africa,Norway,Portugal,Romania,EMDE South Asia,Singapore,EMDE Sub-Saharan Africa,Slovenia,Sweden,Turkey,United States,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,57.14838,65.20562,,,,,93.93773,69.57867,,,,,,,,,56.91163,,,,89.56842,,,,,304.5066,,,46.60257,,,,43.56591,,,50.71344,,66.45265,69.98344,
1995.0,61.9264,72.23497,,,,,104.763,79.47804,,,,,54.57255,,,,61.57082,,,,97.51632,81.21783,,,,131.3004,,,59.37217,,,,48.19862,,,55.17638,,68.96098,64.56978,
1996.0,61.60891,71.33585,,,,,101.0353,78.09913,,,,,55.27507,,71.64832,,61.26571,,,,84.90844,86.7616,,,,104.295,,,58.57915,,,,49.954,,,58.8611,,71.56217,62.87489,
1997.0,58.71701,64.42306,,45.52972,,,87.13187,69.90717,,,,,51.0074,,77.86086,,58.56758,,,,75.76267,77.54245,,,,108.9462,,,51.27143,,,,47.43048,,,52.95472,,74.50159,60.74494,
1998.0,57.19537,69.70602,,44.16406,,,86.11649,70.59821,,,,,54.06715,,80.27809,,57.21092,70.5356,,,69.46532,44.95392,,,,100.2896,,,47.13272,,,,39.5576,,,52.81673,,78.66535,59.20202,80.91658
1999.0,59.87487,68.56929,,45.91874,,,82.13639,68.52328,,,,,54.598,59.95416,80.05614,,59.62388,67.04974,,,78.72668,58.98988,,,,99.51689,,,45.06488,,,,45.44946,71.96768,,53.68948,,83.99968,61.02857,71.96768
2000.0,59.40089,63.5189,34.68176,48.17477,51.33284,33.39634,71.83954,61.29609,,,,66.44947,49.77352,54.01209,77.95138,43.19304,58.79464,57.20312,,75.52066,81.67415,69.17986,,,27.0456,110.3483,,,37.15421,,,,55.6768,63.85342,44.6892,51.80787,,87.20248,60.52554,63.85342
2001.0,58.96181,61.6152,28.6226,47.61118,52.52075,37.19795,69.88103,59.59331,,,61.1216,66.86586,51.10241,55.70564,78.50882,44.9901,58.44736,58.75598,,73.95081,71.18928,65.27527,72.26663,,28.38524,115.9106,64.83182,,36.02559,,,,58.2451,52.72009,47.03315,47.17403,,89.12743,59.77889,52.72009
2002.0,63.36511,64.88267,25.08527,49.22987,56.83413,43.22305,71.92837,64.83056,,,59.87344,73.22574,55.94772,60.31473,86.5544,51.75034,63.07301,71.15096,,77.86307,66.83663,74.51623,68.93023,,33.70327,112.7752,60.38973,,48.24247,,,,57.65867,45.40746,51.64954,52.64161,,91.56493,63.28092,45.40746
2003.0,73.92555,77.70198,26.57031,56.68421,65.51632,52.58682,85.16626,79.75679,,,64.88529,90.05207,70.17615,72.97969,96.45375,67.16298,73.66705,88.7216,,92.93214,72.30398,76.27847,64.70831,,46.9806,102.8463,63.38418,,59.5075,,,,64.28751,66.38951,64.41915,65.88103,,95.0351,72.98718,66.38951
2004.0,82.99894,87.54321,31.24181,66.08743,71.7694,60.93328,95.01189,91.85189,,,73.90931,101.3898,80.64045,82.12415,113.4366,78.48358,82.78983,103.9639,,100.0238,77.95509,79.94609,68.81593,,60.93798,106.3901,71.83918,,66.5636,,,,75.63181,86.16951,73.56835,75.74486,,98.73471,82.0365,86.16951
2005.0,87.74666,89.99363,41.66995,73.44712,73.07025,70.30029,96.50202,96.11055,,,82.33092,102.8293,84.56416,83.36558,113.0244,84.1162,87.51981,111.2847,,99.09804,78.18043,92.03662,78.17466,,79.08272,114.6794,80.8207,,74.82318,,58.99226,,83.54962,93.97826,81.31436,79.50563,,102.3926,87.20418,93.97826
2006.0,93.39852,90.52731,49.88994,82.20477,74.55269,82.26334,97.82562,100.4201,,,89.15049,105.5761,89.62943,86.84643,117.7298,95.49303,93.46876,110.1917,,100.0698,73.92111,103.7496,83.61636,,101.0411,117.3428,86.35787,,79.87326,,78.41618,,93.62695,99.2939,87.97733,86.99437,,105.6818,93.01108,99.2939
2007.0,104.9951,100.7692,62.58689,91.2797,81.29553,101.0307,105.3722,111.5167,,,101.2202,118.231,102.9884,98.51974,131.3279,110.2669,105.9951,122.7293,,108.9837,73.39594,112.2228,91.36663,,135.7125,120.1464,92.81697,,102.758,,111.1694,,102.6194,101.52,105.5078,100.3059,,107.1766,104.5904,101.52
2008.0,110.9362,108.1732,77.07954,94.68024,93.07603,123.8583,112.5881,117.137,,,107.7129,119.3289,111.3279,106.5193,120.9628,124.7688,112.7911,131.4187,,113.3616,83.86773,96.97674,98.26606,,151.2043,119.4526,94.28234,,115.9677,,134.6822,,107.674,87.41881,123.4397,105.2294,,102.6886,110.4513,87.41881
2009.0,98.91418,103.8159,78.02252,86.76684,93.44287,101.5561,103.8376,106.8017,,,91.78476,106.8163,103.1038,101.8046,102.3949,106.067,99.39985,105.7428,,104.8489,91.26167,84.39216,86.09708,,106.7862,94.17163,84.94043,,91.97425,,103.6791,,94.80448,83.27463,101.7677,91.4077,,97.10098,97.70595,83.27463
2010.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011.0,106.8022,103.915,117.184,105.9217,118.77,110.8968,106.0641,102.0105,,314.3568,106.8185,99.07505,107.7002,108.4712,103.3164,97.30662,106.8281,104.009,,101.5591,108.8855,108.7034,109.8026,,113.3138,102.4212,106.6763,,118.3767,96.4537,110.1966,,110.3363,106.9489,108.8386,112.1263,100.1512,103.0629,106.8201,106.9489
