Unnamed: 0,United Arab Emirates,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Brazil,Canada,Switzerland,Chile,China,Colombia,Czech Republic,Germany,Denmark,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Greece,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,North Macedonia,Malta,Malawi,Malaysia,Nigeria,Netherlands,Norway,New Zealand,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,United States,"Venezuela, RB",Viet Nam,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,,42.4885,42.14428,57.68867,,,,4.561994,36.68019,41.46135,23.84872,,,67.38285,36.18066,,,25.81675,,,49.35661,56.88595,,44.57128,,7.421985,,23.57759,,,,,,27.65128,186.8235,,,,30.92801,,,,,7.818644,,,,,,55.51261,,,,,7.988811,,39.43754,52.09446,,,,23.40379,79.28521,,,27.7553,,,0.397479,77.16811,,,36.2304,,,
1995.0,,41.89403,37.96797,56.59466,,,,5.678756,37.95398,43.25554,26.29137,,,37.05506,36.48002,31.6234,,24.22523,,28.9727,44.31505,59.52023,41.62914,42.01247,,6.412822,18.04764,19.46978,65.82189,,,,,27.51213,162.7832,,,,21.40242,,,,,6.883634,,26.57128,,76.39445,,59.25877,,,,,8.625933,,32.00418,47.44354,,,5.344315,20.37793,73.97088,,,30.93487,177.7473,,0.769368,68.89827,,,42.91526,,,
1996.0,,46.76944,41.2498,69.18068,,,,8.548834,44.80248,55.27796,26.70699,,,44.04965,43.82486,35.80655,,29.56574,,30.87248,50.45749,68.46351,43.88823,53.62465,,13.42713,22.36281,19.58883,82.06062,,,,,26.55348,197.6919,,,221.1711,17.6182,,,,,9.918278,,26.44815,,87.93231,,75.11963,25.93253,,,,9.048309,100.3276,53.71965,54.20208,,,9.272274,21.61922,79.11767,,,37.80416,160.5735,,1.254962,73.72872,,,54.8444,,,
1997.0,,52.52276,49.58121,91.0867,,,,15.0849,55.54253,79.58429,29.11714,,,44.91939,63.39075,50.97036,,45.16824,,48.44647,65.14945,80.77776,69.30742,62.49184,49.18573,29.43477,23.17411,22.03759,110.9505,14.12828,,26.51846,105.4971,29.22669,172.255,,,231.3347,20.50314,,,,,13.77483,,28.50522,,75.89954,30.78871,112.2354,37.67249,,,,12.26931,85.23355,66.18521,85.5525,,16.71011,25.71776,27.61552,68.63517,72.96866,,55.3546,82.20776,22.04987,3.726362,103.4971,,13.26857,71.06273,,,
1998.0,,54.98296,51.29708,123.4229,,,,13.51706,58.24352,108.2671,22.93702,,,37.22491,85.64321,59.31206,,66.26335,,68.60152,85.18939,94.88749,102.3375,44.08102,37.16765,31.78637,15.96788,19.36541,156.4671,13.70057,,27.38412,137.9907,30.74338,144.0665,,,148.6993,17.50833,,,,,13.3926,,30.05396,,40.14057,27.26126,147.5309,36.92923,,,,10.3777,59.09967,61.64606,136.3374,,11.34214,12.10253,26.86058,43.90684,49.70247,,65.24015,48.66261,21.14789,5.969752,95.553,,6.668523,82.37348,,,
1999.0,,61.23722,45.14462,127.7335,,,,16.10553,60.25975,108.8801,25.67365,,,38.4903,91.05949,57.37926,,73.19953,,118.0734,103.9746,105.4301,206.3428,59.21344,31.97372,30.26429,20.73055,24.03829,163.9368,14.66812,,35.36554,157.721,30.48067,157.4667,,,285.0159,15.71515,,91.88282,,,16.39173,,51.03188,,53.65352,23.74059,167.7189,36.08107,,,,10.82143,71.23879,60.45412,124.4318,,8.887868,6.357822,25.01358,66.69846,34.92844,,75.83954,57.8835,24.2034,10.4741,91.25262,,4.166204,99.93933,,,
2000.0,,65.38391,43.32975,117.8372,25.09559,,,23.6896,83.16192,117.6049,29.70867,,,46.58245,121.4049,77.58354,,82.39137,30.27781,225.6636,142.5516,110.0448,200.6486,74.88902,39.89104,39.37895,19.40748,26.73596,174.8671,20.95699,,48.18341,197.8264,25.84479,160.9583,5.669149,,274.8598,14.19891,33.60402,123.4556,41.04841,,20.80431,,101.5006,,65.31178,29.91569,197.9098,47.52692,,,,9.943199,52.07975,80.00878,142.8163,,10.72487,12.75859,34.1682,72.40855,34.61366,,113.6816,47.09476,30.22758,26.54202,97.53913,,8.880357,102.518,,26.82231,
2001.0,,66.68048,44.47369,111.38,21.12026,,,20.4746,66.71023,106.0242,30.48071,,8.063123,34.77696,95.71735,73.61806,,69.86655,27.73187,129.7438,115.2688,96.85131,132.2402,58.74414,44.879,31.09484,15.40996,20.1778,187.2295,28.02818,,37.98731,157.5004,26.64271,113.5134,5.559874,,132.4068,12.70569,28.24341,81.9392,56.72573,,19.0831,,70.88417,,49.49095,45.92554,162.0003,44.47349,,26.82543,,8.369349,44.19655,54.65504,104.3666,,12.89632,12.82867,37.45604,57.62507,42.75642,,79.79833,41.73724,29.34538,18.5613,60.67241,,8.144407,97.30585,,61.90963,
2002.0,,65.35452,45.46643,95.73456,32.18658,,,16.75262,60.5393,87.35488,28.15416,,10.61615,37.04458,71.32779,60.67966,,59.5392,37.08048,100.4847,90.19967,80.43225,101.0886,48.85875,54.22851,34.99879,17.23164,18.89441,152.9042,37.28094,,34.33309,120.5769,31.62595,94.91556,5.962759,,122.6378,19.79613,29.89505,56.75986,64.29063,31.46722,20.3932,,53.99267,,55.09258,52.98952,124.9181,36.29388,,27.14008,,8.234228,39.81135,50.94162,78.97632,,24.36893,22.68692,41.64362,55.24802,48.81185,,61.21153,50.40889,26.33567,20.21019,64.78786,,8.597542,88.11217,,38.72049,35.24253
