Unnamed: 0,United Arab Emirates,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Brazil,Canada,Switzerland,Chile,China,Colombia,Czech Republic,Germany,Denmark,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Greece,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,North Macedonia,Malta,Malawi,Malaysia,Nigeria,Netherlands,Norway,New Zealand,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,United States,"Venezuela, RB",Viet Nam,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,,42.82378,41.95613,57.03067,,,,,36.54122,43.97367,17.30092,,,56.40468,36.97119,,,25.49576,,,52.27616,59.00609,,48.61621,,5.490142,,19.12963,,,,,,28.03096,161.9194,,,,26.70689,,,,,7.636095,,,,,,54.04727,,,,,5.76998,,,49.96948,,,,,79.00438,,,25.76464,,,0.345961,,,,35.75609,,,
1994M01,,45.728,45.47309,59.34881,,,,0.838577,38.41941,46.40412,20.97108,,,78.17071,36.95714,,,27.6321,,,54.77306,61.75144,,52.84481,,6.872234,,22.0952,,,,,,29.61702,175.0306,,,,30.18644,,,,,8.169894,,,,,,57.32557,,,,,6.656005,,,54.4298,,,,27.84363,81.12961,,,28.59301,,,0.443519,74.64288,,,36.94277,,,
1994M02,,46.21681,45.56907,60.41521,,,,1.375714,38.01561,46.37209,22.98214,,,96.33036,36.15092,,,28.40585,,,54.93117,61.75315,,51.66039,,8.851713,,23.33668,,,,,,29.76486,184.756,,,,35.2281,,,,,8.573725,,,,,,58.06815,,,,,7.788497,,,58.49808,,,,27.19165,82.0703,,,29.39073,,,0.313309,73.02294,,,37.29855,,,
1994M03,,44.1195,44.1355,59.51521,,,,1.893318,38.29108,43.48122,20.91428,,,94.83014,36.28297,,,27.3163,,,52.75692,58.52674,,44.92462,,8.451303,,22.08086,,,,,,29.93503,187.7918,,,,36.41414,,,,,7.780143,,,,,,56.17557,,,,,7.785701,,,58.45414,,,,25.38908,75.47512,,,28.04989,,,0.265954,66.38829,,,36.45209,,,
1994M04,,42.62607,42.75566,59.11789,,,,2.196053,36.41356,43.08031,20.34432,,,79.55031,37.69206,,,26.19887,,,51.37212,57.09391,,43.53198,,7.743347,,22.15911,,,,,,28.63825,185.7841,,,,32.94673,,,,,6.906589,,,,,,56.29138,,,,,7.005646,,48.81326,56.88155,,,,23.29695,77.22717,,,27.6624,,,0.3456,69.65036,,,34.96708,,,
1994M05,,42.55018,41.1665,60.52862,,,,2.704323,36.54861,41.1597,21.77199,,,67.64615,37.88077,,,26.8226,,,51.04536,56.2785,,42.49625,,7.347895,,21.76134,,,,,,28.14478,190.4325,,,,28.75841,,,,,7.28008,,,,,,55.37905,,,,,7.275844,,47.15355,51.63395,,,,23.69011,80.04201,,,28.60663,,,0.288452,73.07219,,,35.41122,,,
1994M06,,41.96604,40.36803,57.1955,,,,4.536552,35.53478,40.83962,23.48678,,,58.36071,35.29459,,,25.61616,,,47.22792,54.1057,,42.22081,,6.807992,,23.96041,,,,,,27.20387,197.1066,,,,27.48557,,,,,7.285266,,,,,,53.16375,,,,,7.503803,,35.79055,46.81824,,,,22.69595,79.01482,,,26.78313,,,0.334481,74.09346,,,35.6938,,,
1994M07,,41.54672,40.85852,56.49923,,,,5.786475,35.47906,39.12412,22.45046,,,59.55679,35.68364,,,24.74595,,,47.54195,54.8376,,41.69628,,6.739889,,23.79402,,,,,,26.96253,192.7359,,,,28.03319,,,,,7.216838,,,,,,53.20999,,,,,7.080175,,41.33994,46.82691,,,,21.65337,76.49776,,,26.62891,,,0.390363,79.20281,,,35.50966,,,
1994M08,,42.69539,42.90596,58.24819,,,,7.060826,36.22401,39.53507,23.8416,,,61.07472,36.87874,,,25.69157,,,49.04992,57.56437,,44.45722,,7.601403,,25.5347,,,,,,27.20544,193.2489,,,,28.53749,,,,,8.331525,,,,,,56.29736,,,,,7.454947,,47.30851,51.11365,,,,22.29569,80.20458,,,27.38048,,,0.450314,83.99164,,,36.2658,,,
1994M09,,42.2666,42.62653,56.61861,,,,7.752523,37.41086,39.97413,25.09608,,,60.72275,36.11342,,,24.53097,,,46.89166,56.14815,,46.00977,,7.453393,,26.13631,,,,,,25.87951,186.9714,,,,32.28909,,,,,8.625916,,,,,,55.20532,,,,,8.610122,,38.60163,50.52408,,,,23.01821,80.56572,,,27.14916,,,0.458326,86.16903,,,37.05961,,,
