Unnamed: 0,United Arab Emirates,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Brazil,Canada,Switzerland,Chile,China,Colombia,Czech Republic,Germany,Denmark,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,North Macedonia,Malta,Malawi,Malaysia,Nigeria,Netherlands,Norway,New Zealand,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,United States,"Venezuela, RB",Viet Nam,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,,,34.00822,35.52493,48.62237,,,,12.24026,28.0257,31.34528,28.50962,,,42.71753,30.50948,,,21.73362,,,41.52491,53.90027,,52.70219,44.76736,,13.33622,,34.47949,,,,,,27.97946,166.7728,,,,71.95754,,,,,29.79755,,,,,,46.81913,,,,,10.39156,,49.24192,43.85403,,,,23.38809,72.61138,,,25.75362,,,20.7951,93.06078,,,36.2304,,,
1995.0,,,33.9869,35.29171,52.61066,,,,10.99475,28.86615,37.94662,33.3058,,,25.60448,33.89669,29.63374,,22.51277,,26.93873,41.17721,58.12789,38.70853,56.98221,42.1633,,9.632691,74.61393,27.65948,61.17846,,,,,27.80707,157.7488,,,,48.30663,,,,,13.82296,,24.94237,,102.9494,,55.07517,,,,,10.94077,,37.76941,44.07571,,,35.17077,20.37168,72.96707,,,31.08572,235.6585,,24.71689,83.21106,,,42.91526,,,
1996.0,,23.91518,40.1,37.32716,62.57487,,,,15.102,34.27985,46.21229,32.48027,,,29.7115,39.62967,32.19989,,26.72446,,27.92461,45.62223,66.25207,39.72202,65.71686,53.82249,,16.54737,89.1614,25.44385,74.20793,,,,,26.4964,165.5807,,,306.331,36.58825,,,,,16.74144,,23.9605,,118.0174,,67.92361,23.03616,,,,10.54254,176.2413,56.63711,49.01035,,,53.21031,21.61267,78.40222,,,40.30775,209.3541,,22.63387,85.58155,,,54.8444,,,
1997.0,,31.96844,42.72983,39.26318,72.09075,,,,24.86574,41.82613,56.70224,34.83665,,,26.19825,50.09615,40.19254,,35.71044,,38.33494,51.57126,81.93109,54.78761,76.3635,62.64894,38.36096,29.61185,80.88636,27.90047,87.74681,46.61675,,27.9946,80.63166,29.21554,130.0952,,,286.1221,39.78505,,,,,22.29729,,22.57055,,95.6599,211.5466,88.69578,30.48164,,,,13.17443,138.272,57.88163,67.55691,,63.32965,132.3027,27.60642,65.00854,56.97089,,51.73423,93.50412,25.72753,35.30163,115.4566,,56.77023,71.06273,,,
1998.0,,23.74431,37.92748,39.90513,96.45048,,,,20.79932,41.09265,77.11799,25.03707,,,21.09108,66.75488,46.08975,,51.66365,,53.61928,66.44743,97.26319,80.05317,88.29574,44.17202,28.84917,28.09143,15.28214,21.65608,121.9038,45.82994,,26.9302,107.6177,30.69973,100.6068,,,120.4176,31.12518,,,,,19.03924,,23.49671,,34.84068,187.3098,115.0122,28.05336,,,,10.1948,67.39993,50.43012,106.1787,,38.0149,54.90778,26.85019,36.86618,38.6033,,58.65006,39.09179,24.775,34.31029,91.31537,,25.04638,82.37348,,,
1999.0,,20.79165,43.27264,33.73018,95.5748,,,,15.82107,42.33465,75.03629,25.25163,,,20.35573,67.93692,42.86839,,54.64112,,87.72763,77.50132,105.5433,153.442,104.6631,59.23153,23.96091,24.06014,25.12817,25.60264,122.6602,77.41779,,31.69117,117.8114,30.38579,126.8116,,,274.2676,25.46092,,68.47076,,,22.07536,,37.85398,,47.65315,37.96175,125.1918,26.51363,,,,9.12997,84.09812,43.47726,93.08214,,16.87137,7.584862,25.00721,55.04742,26.17307,,65.51059,50.58971,27.0769,35.4972,90.20352,,7.928107,99.93933,,,
2000.0,,21.45833,41.63047,28.07375,76.22327,15.20993,,,23.09659,58.41466,72.03045,27.67415,,,22.17138,78.70083,50.00281,,53.40149,19.66694,146.7066,92.24469,103.2712,130.7515,113.4837,74.60434,25.84105,26.55564,21.87221,27.41437,112.9497,118.4326,,43.89165,127.9423,25.74667,136.1668,5.866441,,277.9738,21.19876,21.82948,80.11474,26.44346,,28.20418,,65.84873,,58.00769,42.78347,128.1269,30.93336,,,,8.146842,54.91231,52.75847,92.75568,,14.56247,13.50771,34.15793,58.70709,22.32381,,89.1968,39.20224,29.2784,63.47868,100.0078,,13.10554,102.518,,34.61077,
2001.0,,15.6,37.80406,27.92258,69.96057,13.33601,,,15.86677,44.97797,64.97288,24.1523,,6.891227,16.75315,60.09754,46.18667,,43.86198,17.42818,81.59134,72.38201,86.33995,83.09095,90.76241,58.46543,28.19594,20.50718,14.06521,19.66309,117.4408,158.3047,,33.58001,98.9266,26.54571,85.19385,5.610376,,117.0038,16.23489,17.76133,51.45653,35.64091,,26.22498,,44.60421,,43.95293,59.8441,101.7532,28.37614,,26.81524,,6.815663,40.06294,38.12487,65.58553,,12.84071,13.07972,37.44849,44.99567,26.86384,,55.46058,31.01358,27.09761,23.8609,57.40929,,12.22603,97.30585,,77.20752,
2002.0,,17.03334,38.8739,30.06042,62.99667,21.52815,,,10.78907,40.21192,57.8413,20.57047,,8.357663,20.86339,46.73836,40.05094,,39.22168,24.66976,66.0624,59.28222,74.45201,66.61714,75.43339,48.6263,35.88861,25.69131,17.22318,17.85193,100.8073,81.43429,,26.95638,79.30472,31.60555,69.00947,5.759744,,111.1181,23.66116,19.84185,37.28372,42.55594,22.59535,27.16842,,35.61104,,48.92614,65.20742,81.98103,25.97688,,27.12679,,6.692437,35.59385,35.60361,51.96629,,21.3009,21.54266,41.63968,43.06437,32.39058,,44.74022,38.77151,24.5742,19.94833,59.77165,,13.02482,88.11217,,46.82833,26.17536
2003.0,,31.23999,45.01805,39.87157,62.2896,57.93172,,,12.37518,45.79351,56.79164,24.46407,,11.59195,30.77349,43.34446,47.75898,,45.87035,41.28708,68.32111,60.00255,72.44655,71.16579,73.87881,47.83816,42.15195,31.87007,21.14442,22.1214,112.9783,78.12441,,31.13213,84.74297,37.04963,68.88754,6.677155,,81.92392,33.27873,37.67326,39.62838,62.70338,26.98946,26.23981,,41.83714,,48.50539,78.93247,71.94023,27.13751,77.74868,35.84982,,9.999425,33.24556,39.86435,55.60659,,31.53279,29.98019,55.70102,41.73902,54.58557,47.97479,48.17627,53.17287,26.40451,22.3642,58.89343,,14.68479,85.88855,,36.39025,32.05762
2004.0,,47.17606,58.96969,66.37044,88.58039,106.4626,,,19.872,59.29829,71.49112,34.34218,,21.4521,50.17677,59.24694,66.89833,,61.41565,64.0972,80.70458,78.59846,92.26598,99.70215,90.17463,60.10519,51.74276,49.63298,31.57137,32.73899,155.6531,123.1151,,43.77391,105.9062,54.73473,88.2237,10.93834,,73.549,42.93001,66.99313,55.00121,93.41261,34.61712,37.32257,33.43185,62.22942,,58.55753,126.3578,88.05891,43.18868,104.077,49.59689,,16.8511,43.30363,56.49805,75.96076,78.71889,55.55492,42.56018,95.70882,54.94408,77.97672,74.02702,67.89042,74.99791,30.91455,37.72481,71.09287,50.47136,33.96969,98.53079,,55.32391,46.32004
2005.0,,63.6547,73.40358,99.87017,110.4121,161.407,152.7175,,29.61215,74.78331,81.54974,47.91748,,44.41961,81.04111,69.34926,86.50611,,75.51322,109.8327,94.33137,92.3884,105.1329,128.5733,100.0891,66.85259,77.44577,80.79265,39.76146,44.49155,186.2659,111.0005,,54.01282,123.5754,124.9628,96.01747,20.5492,,109.3798,64.04018,124.4724,68.19248,139.6034,38.4288,52.61473,60.53708,85.57698,,62.49954,118.4893,99.70801,62.01534,122.6177,71.39836,,25.03886,54.26728,78.10585,80.97285,151.1218,111.4315,55.06177,201.9019,65.08399,159.2531,77.26692,80.95365,78.11018,33.82983,58.91501,74.55041,81.60951,81.95722,100.7299,,60.6327,62.42404
2006.0,261.1364,74.62035,86.26591,133.3015,136.5499,193.5557,147.1395,,45.48984,94.45102,101.7302,56.16031,43.46857,71.5345,101.6335,88.57552,104.3125,73.66847,95.59944,123.7312,119.2823,113.6601,124.6929,164.7089,114.8648,78.80071,112.0344,91.29277,55.10765,67.24087,229.8305,89.9857,,66.15394,144.1828,119.9291,118.3514,104.3218,,138.4903,71.35988,129.1421,102.0029,171.9242,63.49989,76.33225,102.9595,127.7895,,68.27901,148.179,121.3184,85.08938,119.7483,80.13724,179.0543,49.03438,70.01412,113.328,103.3042,119.8216,156.9771,111.3183,204.092,78.18547,148.6689,104.4483,104.0081,86.30018,43.7564,75.70289,82.75994,110.1952,106.4945,108.9524,,115.4305,84.68823
2007.0,261.4862,92.00042,117.791,170.4043,168.113,336.2627,162.9773,,71.77117,114.198,118.2926,80.76468,120.5495,87.71157,136.2163,122.5456,141.2953,104.2301,128.3763,177.626,162.2025,140.2432,148.0134,219.5316,133.3843,107.7316,207.2098,121.2277,84.30147,100.7199,273.0046,89.74891,,89.26377,170.1721,110.4188,123.1531,165.8596,,164.5457,77.90235,176.401,146.0249,210.0064,107.6446,108.8603,243.1559,124.9263,,99.95147,261.8005,149.4506,117.1649,149.3662,102.1849,213.276,116.6296,112.7953,152.1888,142.364,111.0773,217.9645,152.1659,128.331,110.96,169.999,207.0346,135.6021,101.1302,58.22892,101.0253,101.6828,130.046,238.5384,125.773,,230.8412,108.1348
