Unnamed: 0,United Arab Emirates,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Bosnia and Herzegovina,Brazil,Canada,Switzerland,Chile,China,Colombia,Czech Republic,Germany,Denmark,"Egypt, Arab Rep.",Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,Kenya,"Korea, Rep.",Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,North Macedonia,Malta,Malawi,Malaysia,Nigeria,Netherlands,Norway,New Zealand,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uganda,Ukraine,United States,"Venezuela, RB",Viet Nam,South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,,,31.58271,33.5336,45.58628,,,,,28.61657,31.07106,20.33357,,,34.51955,29.53927,,,20.34839,,,41.7583,54.45304,,50.39891,48.86012,,10.34692,,27.94079,,,,,,28.28963,134.3104,,,,62.13007,,,,,31.48474,,,,,,43.20789,,,,,7.617036,,,39.8977,,,,,69.10296,,,22.03561,,,36.14562,,,,35.75609,,,
1994M01,,,34.86761,35.81923,46.73523,,,,10.45919,30.39983,32.61807,24.40851,,,47.24226,29.09579,,,21.75039,,,43.12277,57.09109,,51.86267,53.10146,,12.69807,,32.28408,,,,,,29.72606,143.2972,,,,69.79464,,,,,33.69223,,,,,,45.1373,,,,,8.771801,,,42.84542,,,,27.81953,70.7036,,,25.20871,,,42.49472,89.93302,,,36.94277,,,
1994M02,,,36.25833,36.13449,47.89025,,,,12.23336,29.53336,32.92136,26.87322,,,58.34096,28.65106,,,22.50805,,,43.53272,56.54868,,53.13631,51.85959,,16.19845,,34.06664,,,,,,29.92755,158.4349,,,,82.04308,,,,,35.21048,,,,,,46.0236,,,,,10.2353,,,46.34816,,,,27.16461,72.20977,,,26.34359,,,25.90139,88.11195,,,37.29855,,,
1994M03,,,34.34478,35.73731,48.17243,,,,12.05984,29.25366,31.43366,24.34517,,,58.67027,29.3653,,,22.08564,,,42.69065,54.06967,,52.44122,45.12559,,15.45382,,32.24111,,,,,,30.13706,162.8604,,,,85.1128,,,,,30.22533,,,,,,45.46347,,,,,10.24049,,,47.30088,,,,25.36334,66.67337,,,25.3739,,,18.0472,80.13513,,,36.45209,,,
1994M04,,,33.45583,34.63061,47.87785,,,,9.753453,27.49305,30.98661,24.01787,,,49.35314,30.51772,,,21.21081,,,41.5911,52.4304,,51.57853,43.73319,,14.14168,,32.37351,,,,,,28.66942,163.4998,,,,77.03677,,,,,26.43647,,,,,,45.58303,,,,,9.166249,,62.06506,46.01514,,,,23.27465,69.09816,,,25.12295,,,15.47886,84.14227,,,34.96708,,,
1994M05,,,33.77775,34.124,50.16063,,,,8.288436,27.59107,30.13398,25.69771,,,42.53756,31.37642,,,22.21366,,,42.28547,52.39643,,52.1738,42.69575,,13.51019,,31.82687,,,,,,28.35802,166.57,,,,66.9852,,,,,28.11217,,,,,,45.8792,,,,,9.502722,,59.94198,42.76573,,,,23.66442,72.32731,,,26.49526,,,12.66067,87.04288,,,35.41122,,,
1994M06,,,33.68439,33.98362,48.09048,,,,9.685324,26.78949,30.74263,27.9837,,,37.16967,29.66392,,,21.52484,,,39.6963,51.11776,,52.40299,42.39521,,12.493,,35.05413,,,,,,27.63402,175.2627,,,,63.72224,,,,,27.73576,,,,,,44.68964,,,,,9.773594,,45.34074,39.45212,,,,22.67962,72.10853,,,24.5441,,,15.54927,87.43443,,,35.6938,,,
1994M07,,,33.45821,35.56116,49.16497,,,,11.06576,26.76999,30.4889,26.75811,,,38.90552,31.00568,,,21.53258,,,41.30364,52.43991,,52.90857,41.88886,,12.58416,,34.81966,,,,,,27.6543,177.8831,,,,65.3934,,,,,27.18463,,,,,,46.28791,,,,,9.19554,,52.57948,40.72931,,,,21.64038,70.57332,,,24.50168,,,18.53549,94.83217,,,35.50966,,,
1994M08,,,34.59391,37.34776,50.68251,,,,14.0033,27.4261,31.01794,28.49158,,,39.96262,32.08628,,,22.34471,,,42.66728,54.95564,,53.96227,44.66092,,13.33944,,37.37215,,,,,,27.70525,176.1348,,,,66.32893,,,,,31.57873,,,,,,48.99042,,,,,9.47351,,59.2203,44.46181,,,,22.28859,74.49432,,,25.31293,,,20.9895,101.4251,,,36.2658,,,
1994M09,,,34.31278,37.50543,49.7979,,,,15.96655,28.83074,32.03179,30.30593,,,39.89932,31.75532,,,21.56594,,,41.23387,54.36833,,53.80929,46.21965,,13.00729,,38.25769,,,,,,26.33542,172.2434,,,,74.98889,,,,,32.52368,,,,,,48.55166,,,,,10.91073,,47.87877,44.42256,,,,23.01284,75.59888,,,25.80078,,,19.84232,104.8355,,,37.05961,,,
1994M10,,,33.40411,36.02164,48.49631,,,,14.83249,28.49502,31.50516,34.45529,,,37.35532,31.0732,,,21.61633,,,40.29399,54.52645,,53.50484,44.02812,,12.771,,36.89989,,,,,,26.61375,172.542,,,,73.49792,,,,,31.26184,,,,,,48.60733,,,,,12.31023,,45.46755,44.49301,,,,22.54957,78.0655,,,26.7419,,,20.05296,101.1163,,,36.94024,,,
1994M11,,,32.98022,34.97577,48.62389,,,,14.48126,27.19599,31.30072,34.52447,,,32.53559,31.17339,,,21.62924,,,40.45293,54.42461,,52.8677,43.17453,,12.36833,,35.07739,,,,,,26.75733,167.8746,,,,72.75828,,,,,29.26268,,,,,,48.75135,,,,,12.58825,,35.4591,44.37336,,,,20.86858,76.7743,,,27.16121,,,19.71615,95.76259,,,36.21761,,,
1994M12,,,32.96074,34.45816,47.77597,,,,14.05414,26.53011,30.96253,34.25387,,,30.63808,30.34965,,,20.82124,,,39.42824,52.43426,,51.77809,38.32549,,11.46925,,33.48072,,,,,,26.23532,164.6702,,,,65.82835,,,,,24.34655,,,,,,47.86468,,,,,12.53029,,35.22431,43.04081,,,,20.33098,72.70951,,,26.43647,,,20.27267,101.958,,,36.00632,,,
1995M01,,,32.17416,34.4315,47.85596,,,,11.88046,26.1179,31.68856,31.97195,,,30.8221,31.17192,,,20.27827,,24.97332,38.47434,52.91216,34.84365,51.84456,34.91061,,10.22595,72.63995,30.96594,53.6123,,,,,26.28324,162.3902,,,,64.71878,,,,,15.39442,,,,93.4141,,49.06383,,,,,10.83198,,34.47057,42.57488,,,,19.85233,70.46255,,,27.3223,230.445,,17.35252,99.00384,,,36.98185,,,
1995M02,,,31.1598,33.94037,47.86097,,,,10.31782,26.24531,32.49742,30.29886,,,27.87011,32.00565,,,20.83917,,24.40671,38.81064,52.98701,34.25297,52.25005,37.53986,,9.066307,72.19844,29.46304,55.164,,,,,26.07972,157.1844,,,,55.583,,,,,12.92209,,,,99.54436,,49.68446,,,,,9.396005,,30.67799,42.37138,,,,19.36268,70.64723,,,28.09604,234.1935,,18.17587,97.89078,,,37.75788,,,
1995M03,,,31.41283,35.23495,48.07164,,,,8.566383,26.79482,33.92846,28.67042,,,25.83977,31.73073,,,20.59537,,23.27596,39.68682,54.07726,35.17849,53.23233,39.27533,,9.072173,68.50358,28.61013,55.98461,,,,,26.11938,155.259,,,,55.73573,,,,,9.711323,,,,98.27964,,49.83699,,,,,8.755983,,30.65586,44.26668,,,,19.39499,71.79668,,,27.19472,221.6557,,22.08201,97.82407,,,38.79941,,,
1995M04,,,33.12235,34.7914,51.56295,,,,9.498071,27.82951,35.46933,32.11865,,,25.22494,32.02973,,,21.42357,,24.2484,42.22051,56.39234,36.08278,55.70889,39.86023,,9.060765,66.93123,28.4598,57.90803,,,,,27.52762,166.9376,,,,52.48854,,,,,12.4106,,,,101.9437,,51.9009,,,,,10.89213,,37.90609,46.41112,,,,18.66657,72.11938,,,27.82906,217.9669,,30.11485,95.91896,,,40.40268,,,
1995M05,,,33.36655,36.28554,54.00761,,,,11.43137,28.60638,36.59032,36.64352,,,24.58719,33.054,,,22.70193,,25.96099,43.41659,57.34333,39.70104,56.83593,41.87404,,9.933446,71.54085,27.15337,58.53203,,,,,29.57451,163.2091,,,,45.53801,,,,,13.56659,,,,106.3914,,53.86095,,,,,12.07882,,40.48688,46.14347,,,,18.33701,74.78478,,,29.09531,246.1551,,29.70614,88.11889,,,41.93938,,,
1995M06,,,32.42506,37.46598,53.78234,,,,10.57424,29.26163,38.41165,37.56329,,,23.88291,34.28924,,,22.86524,,27.48461,43.00352,58.67426,40.05754,57.06705,43.49831,,9.869551,77.85602,28.26227,60.99601,,,,,29.713,151.9601,,,,47.94859,,,,,13.16509,,,,113.0975,,55.38208,,,,,11.76311,,39.59117,45.54416,,,,19.86241,74.79027,,,30.02218,256.1312,,32.15566,84.15012,,,43.07763,,,
