Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Ireland,Iceland,Israel,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,7.818439,,9.703104,6.54548,9.753783,14.06583,,,,10.39167,4.718465,,,,4.283333,7.340639,,,24.4,,9.316928,,,,22.05,7.55,16.936,10.275,9.5,,8.132352,1.910873,,,14.35,,,,2.890953,,,,13.1,3.625,,,,,,,,,,6.383333,8.341879,4.84,,9.575,16.50833,,10.975,7.02222,5.755012,,1.725,,14.62917,14.55,10.76615,,,,1.566667,,6.1,,,,
1995.0,7.352983,,8.46731,6.589767,9.673502,11.38583,,,,9.466667,4.232892,,,,4.033333,7.091995,,,28.1,,9.77318,,,,20.79167,9.75,15.82557,9.625,8.658333,,7.626676,3.039959,,,12.28333,,,,3.153574,,,,12.3,6.116667,2.559387,,,,,,,,,5.791667,6.449457,5.37,,9.525,15.225,7.850721,9.975,8.289285,6.13768,,1.725,,13.68083,14.04167,10.42116,,,,1.808333,,5.591667,,,,
1996.0,7.321219,,8.512719,7.033851,9.544409,11.06167,,,,9.608333,4.665679,,,,3.891667,7.744782,,,28.0,,10.06778,,,,19.90833,9.95,14.98687,10.1,8.116667,,7.50638,2.856166,,,11.65,,,,3.350839,,,,11.3,7.133333,2.818333,,,,,,,,,5.083333,6.304477,5.37,,8.55,14.3,7.954561,7.775,9.273822,6.026903,,1.65,,12.605,13.91667,10.90144,,,,2.6,,5.408333,,,,
1997.0,7.02236,,8.358484,7.103283,9.212289,14.04583,,,,9.091667,5.201972,,,,4.783333,8.564591,,,28.0,,10.70362,,,,18.4,9.65,13.03176,10.25,6.983333,,7.102786,2.237825,,,9.858333,,,,3.403121,,,,10.5,5.908333,3.025643,,,,,,,,,4.141667,6.833208,6.12,,8.725,11.50833,7.452022,7.508333,10.82492,6.6052,,1.425,,12.91417,14.41667,10.88397,,,,2.725,11.55833,4.941667,,,,
1998.0,6.646693,,7.677949,7.184796,9.340881,12.20333,,,,8.291667,3.840284,,,,6.458333,8.107012,,,28.0,,11.26106,,,,16.40833,9.825,11.75578,9.8,6.266667,,6.729708,4.360939,,,7.55,,,,4.114412,,,,9.2,6.408333,2.796701,,,,,,,,,3.308333,7.734764,5.89,,10.05,10.00833,5.693785,9.266667,11.88359,6.256669,,2.575,,13.825,14.48333,8.817731,,,,2.7,10.125,4.5,,,,
1999.0,6.324519,,6.867747,6.645249,8.41108,13.7825,,,,7.566667,2.713548,,,,8.708333,7.482197,,,29.2,,12.65698,,,,13.6,12.25,10.59787,9.55,5.983333,,6.576309,6.254886,18.63333,6.525,5.908333,,,,4.683277,,,,8.9,8.383333,2.655528,,,,,,,,,3.241667,7.016475,5.89,,9.775,11.99167,5.07826,11.38333,13.02706,6.223437,4.351138,2.8,,17.49083,13.56667,7.566815,,,,2.925,11.2,4.216667,14.50367,,,
2000.0,5.84488,,6.27552,5.803798,6.875592,18.12917,,,,6.833333,1.817696,,,4.85,8.766667,6.874555,,,29.5,,11.45246,,,,11.91667,14.575,10.17562,8.175,5.45,,6.24309,5.119731,20.6,5.975,4.383333,,,,4.714846,4.4,,,7.6,11.53333,2.380519,,,,,,,,,3.466667,6.1447,7.82,,11.2,14.025,4.697619,11.175,10.55149,7.795629,4.571755,2.6,,18.265,12.18333,6.334392,,,,3.0,13.4,3.966667,13.98188,,,
2001.0,5.990868,,6.757151,6.094126,6.589738,17.50833,,,,7.225,1.700255,,14.97301,3.916667,8.125,6.901246,,,27.3,,10.51659,,,,10.575,13.0,9.534451,7.35,5.083333,,6.416962,4.922822,21.51667,5.3,4.183333,,,,5.039315,3.983333,,,7.9,12.53333,2.198996,,,,,,6.422907,,,3.633333,5.45462,7.82,,11.175,16.21667,4.772225,8.991667,8.950524,7.828862,4.621904,2.675,,18.26667,11.55833,5.977376,3.2725,,,4.561667,15.19167,4.741667,13.3524,,8.280329,26.05511
2002.0,6.550385,22.42537,6.361517,6.871619,7.526965,17.42667,,,,7.683333,2.550812,,15.67144,3.516667,7.291667,7.665995,,,25.9,5.983834,10.64736,,,,11.46667,11.225,9.471138,7.525,5.175,,7.107251,7.227346,21.78333,5.4,4.733333,,,,5.373721,3.25,,,8.8,11.34167,2.499262,12.47432,,,,,6.956842,,,3.908333,5.306666,8.27,9.402833,11.4,19.71667,5.767419,10.18333,8.058492,8.328711,5.27082,3.575,27.83813,17.80833,11.59167,6.094949,2.370833,,,5.171667,16.75,5.783333,16.22996,,8.725093,27.83813
2003.0,6.762134,17.21658,5.927986,7.014325,8.182808,14.25917,,,,7.591667,3.699936,,14.07279,4.108333,7.8,8.770507,,,23.7,5.895526,10.46769,,10.41368,,11.49167,10.35,9.406623,8.125,5.008333,,7.259902,7.920709,19.075,5.45,4.85,3.510446,,,5.252234,3.566667,,,8.1,10.275,3.285751,11.65806,,,,,7.556805,,5.920346,4.491667,4.777104,8.27,9.447859,11.375,19.91667,6.945851,7.558333,8.243252,8.251168,5.558241,4.0,27.56754,15.18167,11.175,6.710715,2.166667,,,4.995,17.15,5.991667,18.07433,,8.620542,27.56754
2004.0,6.525721,13.62201,5.394249,7.067989,8.39029,12.67,,,,7.15,3.877498,,13.61259,4.616667,8.3,9.181314,,,17.7,6.042697,9.937595,,10.75131,9.489009,10.975,10.125,9.203872,8.5,4.75,10.60097,7.013688,6.882274,17.775,5.675,4.758333,3.37461,,8.059599,4.714356,3.658333,,,8.1,6.816667,3.691951,11.75632,,,,37.15246,7.184147,11.82062,6.778997,4.541667,4.02132,7.69,9.447917,11.8,19.5,7.348092,6.75,7.735818,7.735418,5.815326,3.375,25.09254,14.24167,10.59167,7.529154,2.054167,,,4.419167,13.34167,5.541667,14.99684,,8.117227,25.09254
2005.0,6.196512,11.56038,5.034545,7.272197,8.44185,11.45083,,,,6.75,3.763605,,11.82128,5.291667,7.941667,9.119307,,,15.3,5.755575,9.267732,,11.03416,8.966131,9.158333,8.025,8.787693,8.55,4.841667,10.02038,6.663618,5.708736,17.59167,6.775,4.633333,2.912352,,7.787296,4.423202,3.733333,,,7.7,4.808333,4.103193,10.0311,,3.4775,,37.24998,7.177866,11.43323,6.955206,4.808333,3.826852,7.69,9.558387,11.35,18.18333,8.302134,5.825,7.16063,7.691108,6.093714,3.125,24.63184,11.62583,10.14167,7.911618,1.825833,,9.25,4.126667,12.14167,5.083333,12.19567,,7.684998,24.63184
