Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Ireland,Iceland,Israel,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,8.30522,,10.66106,6.869156,9.450078,16.08,,,,11.4,4.967008,,,,4.2,7.476794,,,23.2,,8.362991,,,,22.0,7.1,18.40252,10.18148,10.3,,8.592656,1.897131,,,15.4,,,,2.748238,,,,13.8,3.4,,,,,,,,,,6.4,9.435944,4.73,,9.8,16.1,,10.3,5.826314,5.734741,,1.6,,14.34,15.2,11.36529,,,,1.3,,6.5,,,,
1994M01,8.328236,,10.58005,6.672157,9.518617,15.86,,,,11.4,4.847199,,,,4.2,7.378757,,,24.4,,8.572781,,,,22.2,7.5,18.08644,10.24815,10.1,,8.634724,1.976987,,,15.3,,,,2.741259,,,,13.1,3.2,,,,,,,,,,6.4,9.391557,4.84,,9.5,16.4,,10.6,6.02464,5.755012,,1.7,,14.49,15.1,11.26787,,,,1.4,,6.6,,,,
1994M02,8.328561,,10.36909,6.637267,9.631846,15.67,,,,11.1,4.870878,,,,4.2,7.472062,,,24.4,,8.809694,,,,22.3,7.5,17.08085,10.3037,9.9,,8.644388,1.799313,,,15.1,,,,2.921206,,,,13.1,3.1,,,,,,,,,,6.4,9.275544,4.84,,9.5,16.5,,10.8,6.327454,5.755012,,1.7,,14.31,15.1,11.13366,,,,1.7,,6.6,,,,
1994M03,8.265035,,10.33146,6.425844,9.716527,15.49,,,,10.6,4.837618,,,,4.0,7.546336,,,24.4,,8.985756,,,,22.2,7.5,18.18436,10.34815,9.8,,8.593232,1.847609,,,15.0,,,,2.930223,,,,13.1,3.1,,,,,,,,,,6.4,9.08555,4.84,,9.5,16.6,,10.9,6.554162,5.755012,,1.7,,14.45,15.0,10.84779,,,,1.6,,6.5,,,,
1994M04,8.214047,,10.10692,6.683679,9.837231,15.02,,,,10.9,4.809402,,,,4.4,7.544923,,,24.4,,9.157639,,,,22.2,7.4,17.35272,10.3963,9.7,,8.544289,1.782868,,,14.8,,,,2.841703,,,,13.1,3.2,,,,,,,,,,6.5,8.798568,4.84,,8.8,16.5,,11.0,6.841641,5.755012,,1.6,,14.52,14.8,10.61952,,,,1.6,,6.4,,,,
1994M05,8.06584,,9.833122,6.609101,9.949417,14.73,,,,10.7,4.808228,,,,4.2,7.544081,,,24.4,,9.211977,,,,22.2,7.4,17.09123,10.40741,9.7,,8.415612,1.816187,,,14.7,,,,2.756557,,,,13.1,3.3,,,,,,,,,,6.6,8.565828,4.84,,8.8,16.6,,11.1,6.895477,5.755012,,1.6,,14.62,14.7,10.62802,,,,1.5,,6.1,,,,
1994M06,8.041545,,9.843557,6.5552,9.929197,13.93,,,,10.3,4.801329,,,,4.4,7.463501,,,24.4,,9.25067,,,,22.2,7.4,16.67789,10.3963,9.6,,8.395636,1.597483,,,14.5,,,,2.80998,,,,13.1,3.5,,,,,,,,,,6.5,8.347225,4.84,,8.8,16.7,,11.0,6.978217,5.755012,,1.6,,14.75,14.5,11.19166,,,,1.5,,6.1,,,,
1994M07,8.010865,,9.560337,6.497267,9.765964,13.77,,,,10.1,4.749887,,,,4.2,7.344045,,,24.4,,9.380441,,,,22.1,7.6,17.6486,10.34815,9.5,,8.36755,1.714462,,,14.4,,,,2.935855,,,,13.1,3.5,,,,,,,,,,6.3,8.118422,4.84,,10.6,16.7,,11.0,7.176029,5.755012,,1.8,,14.78,14.5,10.82523,,,,1.6,,6.1,,,,
1994M08,7.953854,,9.439597,6.526983,9.8053,13.41,,,,10.2,4.768194,,,,4.4,7.313291,,,24.4,,9.457844,,,,22.0,7.6,16.27316,10.3037,9.4,,8.315359,1.876969,,,14.1,,,,2.994295,,,,13.1,3.7,,,,,,,,,,6.2,7.966037,4.84,,10.6,16.7,,11.0,7.306908,5.755012,,1.8,,14.72,14.4,10.72337,,,,1.6,,6.0,,,,
1994M09,7.895471,,9.379394,6.586046,9.751336,13.16,,,,10.1,4.663314,,,,4.4,7.244005,,,24.4,,9.540366,,,,22.0,7.6,16.79506,10.24815,9.3,,8.259647,2.301994,,,13.9,,,,2.989447,,,,13.1,4.0,,,,,,,,,,6.3,7.825694,4.84,,10.6,16.6,,11.1,7.45282,5.755012,,1.8,,14.69,14.3,10.75047,,,,1.6,,5.9,,,,
1994M10,7.793204,,9.048224,6.547258,9.763418,12.74,,,,10.0,4.56148,,,,4.4,7.143248,,,24.4,,9.545945,,,,21.8,7.7,16.29309,10.18148,9.1,,8.16376,2.225149,,,13.7,,,,3.00657,,,,13.1,4.1,,,,,,,,,,6.3,7.758396,4.84,,9.4,16.5,7.525215,11.2,7.494357,5.755012,,1.8,,14.75,14.2,10.4108,,,,1.5,,5.8,,,,
1994M11,7.658275,,9.069623,6.386024,9.706113,12.5,,,,9.7,4.482516,,,,4.3,7.081448,,,24.4,,9.586211,,,,21.8,7.7,15.9997,10.1037,9.0,,8.035463,2.028353,,,13.5,,,,2.890224,,,,13.1,4.3,,,,,,,,,,6.3,7.589884,4.84,,9.4,16.4,7.675136,11.2,7.591389,5.755012,,1.8,,14.76,14.1,10.31605,,,,1.6,,5.6,,,,
1994M12,7.572795,,8.875872,6.418939,9.670425,12.51,,,,9.6,4.421532,,,,4.3,7.011964,,,24.4,,9.481603,,,,21.6,7.7,15.74885,10.01481,8.9,,7.924813,1.963106,,,13.2,,,,2.874117,,,,13.1,4.5,,,,,,,,,,6.4,7.379837,4.84,,9.4,15.9,7.778994,10.8,7.623543,5.755012,,1.8,,14.71,13.9,10.47937,,,,1.6,,5.5,,,,
1995M01,7.600206,,8.858514,6.500057,9.643244,12.37,,,,9.6,4.332081,,,,4.2,6.980894,,,28.1,,9.503534,,,,21.4,9.7,16.37678,9.885185,8.9,,7.93834,2.177525,,,12.9,,,,2.954072,,,,12.3,4.8,2.497398,,,,,,,,,6.3,6.949573,5.37,,9.6,15.8,7.781222,10.5,7.729294,6.13768,,1.7,,14.48,13.9,10.53471,,,,1.6,,5.6,,,,
1995M02,7.501557,,8.830849,6.396073,9.637258,12.12,,,,9.6,4.301528,,,,4.1,6.923936,,,28.1,,9.458904,,,,21.2,9.7,15.8272,9.796296,8.9,,7.836385,2.435234,,,12.7,,,,3.03013,,,,12.3,4.8,2.52925,,,,,,,,,6.3,6.744122,5.37,,9.6,15.6,7.833783,10.4,7.742367,6.13768,,1.7,,14.36,13.9,10.3286,,,,1.7,,5.4,,,,
1995M03,7.475176,,8.63606,6.409441,9.616655,11.76,,,,9.7,4.270732,,,,4.3,6.966218,,,28.1,,9.324179,,,,20.9,9.7,15.0687,9.718519,8.8,,7.793771,2.587379,,,12.5,,,,3.048459,,,,12.3,5.0,2.593925,,,,,,,,,6.2,6.57372,5.37,,9.6,15.3,7.879158,10.2,7.668738,6.13768,,1.7,,14.2,13.9,10.54521,,,,1.6,,5.4,,,,
1995M04,7.596623,,8.300247,6.382009,9.60666,11.54,,,,9.5,4.247923,,,,4.2,6.969108,,,28.1,,9.429031,,,,20.6,9.8,15.33241,9.651852,8.8,,7.900546,2.692413,,,12.3,,,,3.122074,,,,12.3,5.4,2.518402,,,,,,,,,6.0,6.51324,5.37,,9.7,15.2,7.996253,10.2,7.859364,6.13768,,1.9,,14.01,13.9,10.23959,,,,1.7,,5.8,,,,
1995M05,7.488167,,8.525738,6.485034,9.602147,11.28,,,,9.5,4.224613,,,,4.1,6.966915,,,28.1,,9.496379,,,,20.5,9.8,14.84638,9.596296,8.7,,7.796521,2.631171,,,12.2,,,,3.024936,,,,12.3,5.8,2.542118,,,,,,,,,5.9,6.405749,5.37,,9.7,15.1,8.011793,10.2,7.997025,6.13768,,1.9,,13.86,13.9,10.20586,,,,1.7,,5.6,,,,
