app_id,game_name,release_date,month,base_price,lowest_price,price_changes,days_on_sale,publisher,positive,negative,total_reviews,review_change_percent,description
3527290,PEAK,2025-06-16,2025-10-01,7.99,6.39,1,2,Landfall Aggro Crab,152949.0,10228.0,163177.0,-0.01%,Very Positive
3527290,PEAK,2025-06-16,2025-09-01,7.99,6.39,1,1,Landfall Aggro Crab,142980.0,9537.0,152517.0,+0.12%,Very Positive
3527290,PEAK,2025-06-16,2025-08-01,7.99,4.95,2,5,Landfall Aggro Crab,122586.0,8343.0,130929.0,+0.26%,Very Positive
3527290,PEAK,2025-06-16,2025-07-01,7.99,7.99,0,0,Landfall Aggro Crab,71524.0,5077.0,76601.0,+0.3%,Very Positive
3527290,PEAK,2025-06-16,2025-06-01,7.99,4.95,1,6,Landfall Aggro Crab,27268.0,2029.0,29297.0,-,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-10-01,59.99,20.99,1,3,CD PROJEKT RED,757762.0,126765.0,884527.0,+0.11%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-09-01,59.99,20.99,1,10,CD PROJEKT RED,750542.0,126656.0,877198.0,+0.13%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-08-01,59.99,20.99,2,8,CD PROJEKT RED,742483.0,126573.0,869056.0,+0.18%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-07-01,59.99,20.99,1,8,CD PROJEKT RED,730355.0,126302.0,856657.0,+0.24%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-06-01,59.99,20.99,1,3,CD PROJEKT RED,715534.0,126095.0,841629.0,+0.12%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-05-01,59.99,23.99,2,6,CD PROJEKT RED,709303.0,126178.0,835481.0,+0.13%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-04-01,59.99,59.99,0,0,CD PROJEKT RED,701882.0,126136.0,828018.0,+0.14%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-03-01,59.99,23.99,2,13,CD PROJEKT RED,695274.0,126267.0,821541.0,+0.18%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-02-01,59.99,26.99,1,2,CD PROJEKT RED,686303.0,126328.0,812631.0,+0.19%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2025-01-01,59.99,26.99,2,6,CD PROJEKT RED,677182.0,126430.0,803612.0,+0.25%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-12-01,59.99,26.99,4,21,CD PROJEKT RED,664884.0,126471.0,791355.0,+0.28%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-11-01,59.99,26.99,2,11,CD PROJEKT RED,651256.0,126498.0,777754.0,+0.17%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-10-01,59.99,29.99,1,1,CD PROJEKT RED,644224.0,126672.0,770896.0,+0.17%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-09-01,59.99,29.99,2,9,CD PROJEKT RED,637351.0,126876.0,764227.0,+0.24%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-08-01,59.99,29.99,2,4,CD PROJEKT RED,627722.0,127091.0,754813.0,+0.13%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-07-01,59.99,29.99,1,5,CD PROJEKT RED,622377.0,127183.0,749560.0,+0.12%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-06-01,59.99,29.99,1,2,CD PROJEKT RED,614261.0,126557.0,740818.0,+0.16%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-05-01,59.99,29.99,2,6,CD PROJEKT RED,608186.0,126736.0,734922.0,+0.22%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-04-01,59.99,29.99,1,7,CD PROJEKT RED,599695.0,126916.0,726611.0,+0.19%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-03-01,59.99,29.99,3,7,CD PROJEKT RED,592417.0,127057.0,719474.0,+0.24%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-02-01,59.99,29.99,2,5,CD PROJEKT RED,583602.0,127206.0,710808.0,+0.23%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2024-01-01,59.99,29.99,1,3,CD PROJEKT RED,574599.0,127179.0,701778.0,+0.32%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2023-12-01,59.99,29.99,3,12,CD PROJEKT RED,562652.0,127251.0,689903.0,+0.44%,Very Positive
1091500,Cyberpunk 2077,2020-12-09,2023-11-01,59.99,29.99,3,12,CD PROJEKT RED,547262.0,127428.0,674690.0,+0.33%,Very Positive
252490,Rust,2018-02-08,2025-10-01,39.99,19.99,1,4,Facepunch Studios,1105109.0,164409.0,1269518.0,-0.07%,Very Positive
252490,Rust,2018-02-08,2025-09-01,39.99,19.99,1,1,Facepunch Studios,1098348.0,162435.0,1260783.0,-0.03%,Very Positive
252490,Rust,2018-02-08,2025-08-01,39.99,19.99,2,6,Facepunch Studios,1092226.0,161164.0,1253390.0,-0.04%,Very Positive
252490,Rust,2018-02-08,2025-07-01,39.99,23.99,1,8,Facepunch Studios,1084310.0,159454.0,1243764.0,-0.04%,Very Positive
252490,Rust,2018-02-08,2025-06-01,39.99,23.99,1,4,Facepunch Studios,1076182.0,157749.0,1233931.0,-0.03%,Very Positive
252490,Rust,2018-02-08,2025-05-01,39.99,19.99,2,3,Facepunch Studios,1069786.0,156397.0,1226183.0,-0.02%,Very Positive
252490,Rust,2018-02-08,2025-04-01,39.99,23.99,1,1,Facepunch Studios,1060934.0,154821.0,1215755.0,-,Very Positive
252490,Rust,2018-02-08,2025-03-01,39.99,23.99,3,11,Facepunch Studios,1052427.0,153629.0,1206056.0,-0.01%,Very Positive
252490,Rust,2018-02-08,2025-02-01,39.99,19.99,2,3,Facepunch Studios,1039356.0,151626.0,1190982.0,-,Very Positive
252490,Rust,2018-02-08,2025-01-01,39.99,19.99,1,2,Facepunch Studios,1025696.0,149696.0,1175392.0,+0.02%,Very Positive
252490,Rust,2018-02-08,2024-12-01,39.99,19.99,2,16,Facepunch Studios,1009844.0,147699.0,1157543.0,+0.06%,Very Positive
252490,Rust,2018-02-08,2024-11-01,39.99,23.99,3,4,Facepunch Studios,990919.0,145676.0,1136595.0,+0.08%,Very Positive
252490,Rust,2018-02-08,2024-10-01,39.99,23.99,2,2,Facepunch Studios,974542.0,144348.0,1118890.0,+0.02%,Very Positive
252490,Rust,2018-02-08,2024-09-01,39.99,39.99,0,0,Facepunch Studios,964435.0,143101.0,1107536.0,-,Very Positive
252490,Rust,2018-02-08,2024-08-01,39.99,39.99,0,0,Facepunch Studios,957917.0,142109.0,1100026.0,+0.01%,Very Positive
252490,Rust,2018-02-08,2024-07-01,39.99,19.99,3,18,Facepunch Studios,948777.0,140870.0,1089647.0,-0.01%,Very Positive
252490,Rust,2018-02-08,2024-06-01,39.99,19.99,2,4,Facepunch Studios,936944.0,138975.0,1075919.0,-,Very Positive
252490,Rust,2018-02-08,2024-05-01,39.99,19.99,1,5,Facepunch Studios,924467.0,137096.0,1061563.0,-,Very Positive
252490,Rust,2018-02-08,2024-04-01,39.99,26.79,2,4,Facepunch Studios,917315.0,135994.0,1053309.0,-,Very Positive
252490,Rust,2018-02-08,2024-03-01,39.99,26.79,2,4,Facepunch Studios,908503.0,134630.0,1043133.0,-,Very Positive
252490,Rust,2018-02-08,2024-02-01,39.99,39.99,0,0,Facepunch Studios,898668.0,133144.0,1031812.0,+0.01%,Very Positive
252490,Rust,2018-02-08,2024-01-01,39.99,26.79,1,4,Facepunch Studios,890233.0,131990.0,1022223.0,+0.01%,Very Positive
252490,Rust,2018-02-08,2023-12-01,39.99,19.99,2,11,Facepunch Studios,875753.0,129925.0,1005678.0,-,Very Positive
252490,Rust,2018-02-08,2023-11-01,39.99,26.79,2,7,Facepunch Studios,865232.0,128378.0,993610.0,+0.11%,Very Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-10-01,59.99,23.99,1,3,Xbox Game Studios,53580.0,14506.0,68086.0,+0.01%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-09-01,59.99,23.99,1,4,Xbox Game Studios,53250.0,14429.0,67679.0,-0.03%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-08-01,59.99,23.99,2,10,Xbox Game Studios,52913.0,14315.0,67228.0,-0.1%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-07-01,59.99,29.99,1,6,Xbox Game Studios,52398.0,14088.0,66486.0,-0.07%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-06-01,59.99,29.99,1,2,Xbox Game Studios,51994.0,13923.0,65917.0,-,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-05-01,59.99,29.99,1,6,Xbox Game Studios,51752.0,13861.0,65613.0,-0.02%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-04-01,59.99,29.99,1,4,Xbox Game Studios,51403.0,13748.0,65151.0,-,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-03-01,59.99,29.99,2,7,Xbox Game Studios,51058.0,13652.0,64710.0,-0.05%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-02-01,59.99,59.99,0,0,Xbox Game Studios,50702.0,13515.0,64217.0,-0.02%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2025-01-01,59.99,29.99,1,1,Xbox Game Studios,50414.0,13420.0,63834.0,+0.01%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2024-12-01,59.99,29.99,2,10,Xbox Game Studios,49975.0,13308.0,63283.0,+0.02%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2024-11-01,59.99,38.99,1,3,Xbox Game Studios,49365.0,13162.0,62527.0,+0.05%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2024-10-01,59.99,59.99,0,0,Xbox Game Studios,48939.0,13089.0,62028.0,+0.07%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2024-09-01,59.99,29.99,2,12,Xbox Game Studios,48486.0,13020.0,61506.0,+0.04%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2024-08-01,59.99,59.99,0,0,Xbox Game Studios,47741.0,12849.0,60590.0,+0.11%,Mostly Positive
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,2020-08-17,2024-07-01,59.99,29.99,1,8,Xbox Game Studios,47195.0,12784.0,59979.0,+0.02%,Mostly Positive
